f,u,n,d,a,&,f,d,n,d,a,#,f,d,n,d,a,$,COPY	f,u,n,d,a
o,h,f,a,s,&,c,h,f,f,b,#,c,h,f,f,b,$,COPY	o,h,f,a,s
o,h,f,a,s,&,s,w,f,a,s,#,n,g,i,s,w,f,a,s,$,V,SG,1,PRS	n,g,i,o,h,f,a,s
l,h,u,z,i,&,l,h,a,v,i,#,l,h,a,v,i,$,COPY	l,h,u,z,i
l,h,u,z,i,&,n,h,b,z,i,#,n,g,a,n,h,b,z,i,$,V,SG,1,PST+RMT	n,g,a,l,h,u,z,i
b,h,e,k,y,&,s,h,e,o,y,#,s,h,e,o,y,$,COPY	b,h,e,k,y
b,h,e,k,y,&,b,e,e,b,t,#,n,g,i,y,o,b,e,e,b,t,$,V,SG,1,FUT	n,g,i,y,o,b,h,e,k,y
t,h,e,g,q,h,q,a,&,t,f,e,f,q,h,h,a,#,t,f,e,f,q,h,h,a,$,COPY	t,h,e,g,q,h,q,a
t,h,e,g,q,h,q,a,&,t,k,e,k,o,h,v,a,#,n,g,i,z,o,t,k,e,k,o,h,v,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,e,g,q,h,q,a
t,h,a,n,g,i,t,a,&,t,h,a,n,g,i,y,a,#,t,h,a,n,g,i,y,a,$,COPY	t,h,a,n,g,i,t,a
t,h,a,n,g,i,t,a,&,t,h,a,c,g,i,t,a,#,n,g,i,t,h,a,c,g,i,t,a,$,V,SG,1,PRS	n,g,i,t,h,a,n,g,i,t,a
t,h,a,n,g,o,b,a,&,t,h,z,n,g,o,b,a,#,t,h,z,n,g,o,b,a,$,COPY	t,h,a,n,g,o,b,a
t,h,a,n,g,o,b,a,&,t,h,a,h,g,z,b,a,#,n,g,i,y,o,t,h,a,h,g,z,b,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,a,n,g,o,b,a
t,h,e,u,g,j,s,a,&,t,h,e,u,g,j,b,a,#,t,h,e,u,g,j,b,a,$,COPY	t,h,e,u,g,j,s,a
t,h,e,u,g,j,s,a,&,t,h,e,w,g,j,s,a,#,n,g,i,t,h,e,w,g,j,s,e,$,V,SG,1,PST+RCT	n,g,i,t,h,e,u,g,j,s,e
t,y,e,n,g,w,l,a,&,t,i,b,n,a,w,l,a,#,t,i,b,n,a,w,l,a,$,COPY	t,y,e,n,g,w,l,a
t,y,e,n,g,w,l,a,&,t,q,e,n,g,w,l,a,#,n,g,a,t,q,e,n,g,w,l,a,$,V,SG,1,PST+RMT	n,g,a,t,y,e,n,g,w,l,a
e,m,n,a,&,b,w,n,v,#,b,w,n,v,$,COPY	e,m,n,a
e,m,n,a,&,e,w,n,l,#,n,g,i,y,o,e,w,n,l,$,V,SG,1,FUT	n,g,i,y,o,e,m,n,a
s,a,l,m,&,z,a,c,m,#,z,a,c,m,$,COPY	s,a,l,m
s,a,l,m,&,s,a,l,o,#,n,g,a,s,a,l,o,$,V,SG,1,PST+RMT	n,g,a,s,a,l,m
s,a,l,q,&,q,a,z,e,#,q,a,z,e,$,COPY	s,a,l,q
s,a,l,q,&,s,a,l,m,#,n,g,i,z,o,s,a,l,m,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,a,l,q
s,a,q,p,&,s,a,q,a,#,s,a,q,a,$,COPY	s,a,q,p
s,a,q,p,&,s,z,q,p,#,n,g,i,s,z,q,p,$,V,SG,1,PRS	n,g,i,s,a,q,p
s,u,l,a,&,s,u,j,a,#,n,g,i,s,u,j,e,$,V,SG,1,PST+RCT	n,g,i,s,u,l,e
b,d,a,&,o,d,a,#,o,d,a,$,COPY	b,d,a
b,d,a,&,d,d,q,#,n,g,a,d,d,q,$,V,SG,1,PST+RMT	n,g,a,b,d,a
s,b,z,&,c,t,p,#,c,t,p,$,COPY	s,b,z
s,b,z,&,b,b,z,#,n,g,i,z,o,k,w,a,b,b,z,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,s,b,z
o,k,a,&,z,d,a,#,z,d,a,$,COPY	o,k,a
o,k,a,&,y,q,a,#,n,g,i,y,q,a,$,V,SG,1,PRS	n,g,i,o,k,a
n,y,i,&,n,y,k,#,n,y,k,$,COPY	n,y,i
n,y,i,&,n,z,a,#,n,g,i,y,o,k,w,e,n,z,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,n,y,i
s,w,b,e,k,p,a,&,s,l,b,m,k,p,a,#,s,l,b,m,k,p,a,$,COPY	s,w,b,e,k,p,a
s,w,b,e,k,p,a,&,s,a,b,e,k,k,a,#,n,g,i,y,o,s,a,b,e,k,k,a,$,V,SG,1,FUT	n,g,i,y,o,s,w,b,e,k,p,a
s,o,b,e,g,q,a,&,s,o,b,e,g,d,a,#,s,o,b,e,g,d,a,$,COPY	s,o,b,e,g,q,a
s,o,b,e,g,q,a,&,s,z,a,e,g,q,a,#,n,g,i,z,o,s,z,a,e,g,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,o,b,e,g,q,a
s,s,b,b,n,f,a,&,s,s,b,b,k,f,a,#,s,s,b,b,k,f,a,$,COPY	s,s,b,b,n,f,a
s,s,b,b,n,f,a,&,s,s,b,b,n,b,a,#,n,g,a,s,s,b,b,n,b,a,$,V,SG,1,PST+RMT	n,g,a,s,s,b,b,n,f,a
s,h,p,e,c,z,a,&,s,p,h,e,z,z,a,#,s,p,h,e,z,z,a,$,COPY	s,h,p,e,c,z,a
s,h,p,e,c,z,a,&,s,h,p,m,c,z,a,#,n,g,i,s,h,p,m,c,z,a,$,V,SG,1,PRS	n,g,i,s,h,p,e,c,z,a
s,e,y,e,n,z,a,&,s,e,y,e,f,z,a,#,s,e,y,e,f,z,a,$,COPY	s,e,y,e,n,z,a
s,e,y,e,n,z,a,&,s,e,y,i,n,z,a,#,n,g,i,s,e,y,i,n,z,e,$,V,SG,1,PST+RCT	n,g,i,s,e,y,e,n,z,e
z,i,e,a,&,t,i,v,a,#,n,g,i,t,i,v,a,$,V,SG,1,PRS	n,g,i,z,i,e,a
z,i,s,a,&,z,i,s,c,#,n,g,i,y,o,k,w,a,z,i,s,c,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,z,i,s,a
n,w,s,a,&,n,d,s,a,#,n,d,s,a,$,COPY	n,w,s,a
n,w,s,a,&,n,w,v,e,#,n,g,i,z,o,k,w,a,n,w,v,e,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,n,w,s,a
c,m,s,a,&,j,m,s,a,#,j,m,s,a,$,COPY	c,m,s,a
c,m,s,a,&,c,i,p,o,#,n,g,a,c,i,p,o,$,V,SG,1,PST+RMT	n,g,a,c,m,s,a
z,o,s,a,&,z,c,s,v,#,z,c,s,v,$,COPY	z,o,s,a
z,o,s,a,&,z,t,s,a,#,n,g,i,y,a,z,t,s,e,$,V,SG,1,PST+RCT	n,g,i,y,a,z,o,s,e
n,z,w,k,n,&,t,z,w,k,m,#,t,z,w,k,m,$,COPY	n,z,w,k,n
n,z,w,k,n,&,n,z,w,h,n,#,n,g,e,n,z,w,h,n,$,V,SG,1,PRS	n,g,e,n,z,w,k,n
n,z,e,k,a,&,n,z,e,d,v,#,n,g,i,y,o,k,w,e,n,z,e,d,v,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,z,e,k,a
n,k,g,k,a,&,n,k,c,k,a,#,n,k,c,k,a,$,COPY	n,k,g,k,a
n,k,g,k,a,&,n,u,t,w,a,#,n,g,e,n,u,t,w,e,$,V,SG,1,PST+RCT	n,g,e,n,k,g,k,e
n,z,e,z,a,&,n,z,e,k,a,#,n,g,i,z,o,k,w,e,n,z,e,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,z,e,z,a
h,z,m,q,a,&,c,z,m,q,a,#,c,z,m,q,a,$,COPY	h,z,m,q,a
h,z,m,q,a,&,h,z,m,n,a,#,n,g,a,h,z,m,n,a,$,V,SG,1,PST+RMT	n,g,a,h,z,m,q,a
k,f,g,c,g,m,a,&,k,f,g,o,g,m,a,#,k,f,g,o,g,m,a,$,COPY	k,f,g,c,g,m,a
k,f,g,c,g,m,a,&,k,f,d,c,g,m,a,#,n,g,i,z,o,k,f,d,c,g,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,f,g,c,g,m,a
k,h,u,l,a,m,a,&,k,h,u,l,d,m,a,#,n,g,i,k,h,u,l,d,m,e,$,V,SG,1,PST+RCT	n,g,i,k,h,u,l,a,m,e
k,u,b,f,u,s,a,&,k,u,b,f,u,f,a,#,k,u,b,f,u,f,a,$,COPY	k,u,b,f,u,s,a
k,u,b,f,u,s,a,&,k,u,b,f,u,d,a,#,n,g,i,y,o,k,u,b,f,u,d,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,b,f,u,s,a
k,b,u,h,u,d,a,&,k,y,u,h,d,d,a,#,k,y,u,h,d,d,a,$,COPY	k,b,u,h,u,d,a
k,b,u,h,u,d,a,&,k,m,z,w,u,f,a,#,n,g,i,k,m,z,w,u,f,a,$,V,SG,1,PRS	n,g,i,k,b,u,h,u,d,a
k,h,u,l,u,u,a,&,k,s,u,z,u,u,a,#,n,g,a,k,s,u,z,u,u,a,$,V,SG,1,PST+RMT	n,g,a,k,h,u,l,u,u,a
m,u,k,e,y,a,&,m,u,d,u,y,a,#,m,u,d,u,y,a,$,COPY	m,u,k,e,y,a
m,u,k,e,y,a,&,m,u,k,w,m,a,#,n,g,i,z,o,k,w,a,m,u,k,w,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,m,u,k,e,y,a
m,f,k,v,l,a,&,m,f,b,v,l,a,#,m,f,b,v,l,a,$,COPY	m,f,k,v,l,a
m,f,k,v,l,a,&,m,h,g,v,f,a,#,n,g,i,m,h,g,v,f,a,$,V,SG,1,PRS	n,g,i,m,f,k,v,l,a
m,k,o,k,s,a,&,m,k,o,t,s,a,#,m,k,o,t,s,a,$,COPY	m,k,o,k,s,a
m,k,o,k,s,a,&,m,k,o,o,s,a,#,n,g,i,y,o,k,w,a,m,k,o,o,s,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,m,k,o,k,s,a
m,u,k,b,i,a,&,m,u,l,b,i,a,#,m,u,l,b,i,a,$,COPY	m,u,k,b,i,a
m,u,k,b,i,a,&,m,u,k,b,n,a,#,n,g,i,y,a,m,u,k,b,n,e,$,V,SG,1,PST+RCT	n,g,i,y,a,m,u,k,b,i,e
m,u,k,e,o,a,&,m,u,k,e,s,a,#,m,u,k,e,s,a,$,COPY	m,u,k,e,o,a
m,u,k,e,o,a,&,m,u,v,b,o,a,#,n,g,a,m,u,v,b,o,a,$,V,SG,1,PST+RMT	n,g,a,m,u,k,e,o,a
s,a,a,y,e,l,a,&,s,o,m,y,b,t,a,#,n,g,i,y,o,s,o,m,y,b,t,a,$,V,SG,1,FUT	n,g,i,y,o,s,a,a,y,e,l,a
s,z,s,u,e,l,a,&,s,z,s,u,e,t,a,#,s,z,s,u,e,t,a,$,COPY	s,z,s,u,e,l,a
s,z,s,u,e,l,a,&,s,z,s,u,e,a,a,#,n,g,i,s,z,s,u,e,a,a,$,V,SG,1,PRS	n,g,i,s,z,s,u,e,l,a
s,h,a,e,m,l,a,&,s,h,a,c,m,l,a,#,s,h,a,c,m,l,a,$,COPY	s,h,a,e,m,l,a
s,h,a,e,m,l,a,&,s,h,l,e,m,l,a,#,n,g,i,s,h,l,e,m,l,e,$,V,SG,1,PST+RCT	n,g,i,s,h,a,e,m,l,e
s,s,w,q,h,w,a,&,s,v,h,q,h,v,a,#,s,v,h,q,h,v,a,$,COPY	s,s,w,q,h,w,a
s,s,w,q,h,w,a,&,s,s,e,q,v,i,a,#,n,g,a,s,s,e,q,v,i,a,$,V,SG,1,PST+RMT	n,g,a,s,s,w,q,h,w,a
s,c,a,y,e,l,a,&,s,c,z,y,e,l,a,#,s,c,z,y,e,l,a,$,COPY	s,c,a,y,e,l,a
s,c,a,y,e,l,a,&,s,t,g,w,e,a,a,#,n,g,i,z,o,s,t,g,w,e,a,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,c,a,y,e,l,a
z,v,k,a,&,z,t,k,a,#,z,t,k,a,$,COPY	z,v,k,a
z,v,k,a,&,n,v,k,a,#,n,g,i,n,v,k,a,$,V,SG,1,PRS	n,g,i,z,v,k,a
n,o,l,a,&,n,f,l,a,#,n,f,l,a,$,COPY	n,o,l,a
n,o,l,a,&,n,i,l,a,#,n,g,i,n,i,l,e,$,V,SG,1,PST+RCT	n,g,i,n,o,l,e
n,a,k,m,&,n,a,n,m,#,n,g,i,y,o,n,a,n,m,$,V,SG,1,FUT	n,g,i,y,o,n,a,k,m
g,a,s,z,&,g,a,l,z,#,g,a,l,z,$,COPY	g,a,s,z
g,a,s,z,&,g,a,s,g,#,n,g,i,z,o,g,a,s,g,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,a,s,z
n,z,k,a,&,m,z,k,a,#,m,z,k,a,$,COPY	n,z,k,a
n,z,k,a,&,n,g,z,o,#,n,g,a,n,g,z,o,$,V,SG,1,PST+RMT	n,g,a,n,z,k,a
q,a,l,a,&,q,h,z,a,#,n,g,i,q,h,z,e,$,V,SG,1,PST+RCT	n,g,i,q,a,l,e
h,a,l,s,&,h,t,l,q,#,h,t,l,q,$,COPY	h,a,l,s
h,a,l,s,&,f,k,l,s,#,n,g,i,y,o,f,k,l,s,$,V,SG,1,FUT	n,g,i,y,o,h,a,l,s
e,a,l,a,&,e,o,b,a,#,n,g,i,e,o,b,a,$,V,SG,1,PRS	n,g,i,e,a,l,a
q,a,d,a,&,y,a,d,a,#,n,g,a,y,a,d,a,$,V,SG,1,PST+RMT	n,g,a,q,a,d,a
p,z,l,a,&,n,z,l,a,#,n,z,l,a,$,COPY	p,z,l,a
p,z,l,a,&,b,z,l,a,#,n,g,i,z,o,b,z,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,z,l,a
v,a,k,a,&,t,a,k,a,#,n,g,i,t,a,k,a,$,V,SG,1,PRS	n,g,i,v,a,k,a
f,a,w,s,&,v,a,a,k,#,v,a,a,k,$,COPY	f,a,w,s
f,a,w,s,&,f,a,w,q,#,n,g,i,z,o,f,a,w,q,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,a,w,s
f,a,k,a,&,o,k,q,a,#,n,g,i,o,k,q,e,$,V,SG,1,PST+RCT	n,g,i,f,a,k,e
f,k,k,a,&,f,k,k,w,#,f,k,k,w,$,COPY	f,k,k,a
f,k,k,a,&,f,k,z,a,#,n,g,a,f,k,z,a,$,V,SG,1,PST+RMT	n,g,a,f,k,k,a
v,a,e,a,&,v,a,e,n,#,v,a,e,n,$,COPY	v,a,e,a
v,a,e,a,&,v,a,s,q,#,n,g,i,y,o,v,a,s,q,$,V,SG,1,FUT	n,g,i,y,o,v,a,e,a
h,l,e,a,a,&,h,l,e,d,a,#,n,g,i,h,l,e,d,e,$,V,SG,1,PST+RCT	n,g,i,h,l,e,a,e
o,c,e,u,f,&,o,c,e,p,f,#,o,c,e,p,f,$,COPY	o,c,e,u,f
o,c,e,u,f,&,o,c,o,a,c,#,n,g,a,o,c,o,a,c,$,V,SG,1,PST+RMT	n,g,a,o,c,e,u,f
h,y,q,y,f,&,h,t,q,y,f,#,h,t,q,y,f,$,COPY	h,y,q,y,f
h,y,q,y,f,&,h,y,i,y,f,#,n,g,i,y,o,h,y,i,y,f,$,V,SG,1,FUT	n,g,i,y,o,h,y,q,y,f
z,m,c,s,a,&,z,k,c,z,a,#,z,k,c,z,a,$,COPY	z,m,c,s,a
z,m,c,s,a,&,z,m,c,s,g,#,n,g,i,y,a,z,m,c,s,g,$,V,SG,1,PRS	n,g,i,y,a,z,m,c,s,a
h,l,e,k,a,&,h,l,e,k,i,#,n,g,i,z,o,h,l,e,k,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,l,e,k,a
q,e,d,w,&,q,k,j,w,#,n,g,a,q,k,j,w,$,V,SG,1,PST+RMT	n,g,a,q,e,d,w
q,e,g,a,&,w,e,g,a,#,n,g,i,z,o,w,e,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,e,g,a
p,e,d,y,&,w,b,d,g,#,w,b,d,g,$,COPY	p,e,d,y
p,e,d,y,&,p,c,d,y,#,n,g,i,y,o,p,c,d,y,$,V,SG,1,FUT	n,g,i,y,o,p,e,d,y
q,b,d,a,&,l,b,d,a,#,n,g,i,l,b,d,a,$,V,SG,1,PRS	n,g,i,q,b,d,a
q,o,d,a,&,q,o,d,w,#,q,o,d,w,$,COPY	q,o,d,a
q,o,d,a,&,q,o,c,a,#,n,g,i,q,o,c,e,$,V,SG,1,PST+RCT	n,g,i,q,o,d,e
p,h,m,t,d,&,p,h,p,t,d,#,p,h,p,t,d,$,COPY	p,h,m,t,d
p,h,m,t,d,&,f,h,w,t,d,#,n,g,a,f,h,w,t,d,$,V,SG,1,PST+RMT	n,g,a,p,h,m,t,d
p,h,p,l,a,&,p,w,p,z,a,#,p,w,p,z,a,$,COPY	p,h,p,l,a
p,h,p,l,a,&,a,h,y,l,a,#,n,g,i,a,h,y,l,e,$,V,SG,1,PST+RCT	n,g,i,p,h,p,l,e
p,u,v,i,a,&,p,u,v,h,i,#,p,u,v,h,i,$,COPY	p,u,v,i,a
p,u,v,i,a,&,s,z,v,a,a,#,n,g,i,z,o,s,z,v,a,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,u,v,i,a
y,h,i,m,s,&,y,h,b,m,s,#,y,h,b,m,s,$,COPY	y,h,i,m,s
y,h,i,m,s,&,y,h,p,p,s,#,n,g,i,y,o,y,h,p,p,s,$,V,SG,1,FUT	n,g,i,y,o,y,h,i,m,s
a,h,w,l,w,&,a,h,w,l,i,#,a,h,w,l,i,$,COPY	a,h,w,l,w
a,h,w,l,w,&,u,f,w,l,w,#,n,g,i,y,a,u,f,w,l,w,$,V,SG,1,PRS	n,g,i,y,a,a,h,w,l,w
l,t,l,f,&,l,t,l,a,#,l,t,l,a,$,COPY	l,t,l,f
l,t,l,f,&,k,t,q,f,#,n,g,i,z,o,k,t,q,f,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,t,l,f
l,a,l,a,&,l,a,h,a,#,n,g,i,y,o,l,a,h,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,a
l,k,u,a,&,l,k,u,f,#,l,k,u,f,$,COPY	l,k,u,a
l,k,u,a,&,f,k,u,b,#,n,g,a,f,k,u,b,$,V,SG,1,PST+RMT	n,g,a,l,k,u,a
l,a,z,j,&,l,a,z,p,#,l,a,z,p,$,COPY	l,a,z,j
l,a,z,j,&,l,a,z,d,#,n,g,i,y,a,l,a,z,d,$,V,SG,1,PRS	n,g,i,y,a,l,a,z,j
l,a,l,a,&,p,a,l,a,#,n,g,i,p,a,l,e,$,V,SG,1,PST+RCT	n,g,i,l,a,l,e
g,f,j,i,m,a,&,g,f,j,v,m,a,#,n,g,i,g,f,j,v,m,e,$,V,SG,1,PST+RCT	n,g,i,g,f,j,i,m,e
g,i,j,i,m,e,&,g,f,k,i,m,e,#,g,f,k,i,m,e,$,COPY	g,i,j,i,m,e
g,i,j,i,m,e,&,g,i,j,h,z,e,#,n,g,i,y,a,g,i,j,h,z,e,$,V,SG,1,PRS	n,g,i,y,a,g,i,j,i,m,e
g,i,l,i,u,a,&,g,n,l,i,u,a,#,g,n,l,i,u,a,$,COPY	g,i,l,i,u,a
g,i,l,i,u,a,&,g,k,l,i,u,i,#,n,g,i,z,o,g,k,l,i,u,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,i,l,i,u,a
g,y,k,i,n,a,&,g,y,i,f,k,a,#,g,y,i,f,k,a,$,COPY	g,y,k,i,n,a
g,y,k,i,n,a,&,g,y,k,i,n,d,#,n,g,a,g,y,k,i,n,d,$,V,SG,1,PST+RMT	n,g,a,g,y,k,i,n,a
g,i,j,k,p,a,&,g,d,j,k,p,a,#,g,d,j,k,p,a,$,COPY	g,i,j,k,p,a
g,i,j,k,p,a,&,g,i,y,k,j,a,#,n,g,i,y,o,g,i,y,k,j,a,$,V,SG,1,FUT	n,g,i,y,o,g,i,j,k,p,a
b,t,a,g,v,&,q,t,f,g,v,#,q,t,f,g,v,$,COPY	b,t,a,g,v
b,t,a,g,v,&,b,t,a,u,v,#,n,g,i,z,o,b,t,a,u,v,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,t,a,g,v
o,h,a,s,a,&,o,h,a,s,v,#,o,h,a,s,v,$,COPY	o,h,a,s,a
o,h,a,s,a,&,o,h,a,g,a,#,n,g,i,o,h,a,g,e,$,V,SG,1,PST+RCT	n,g,i,o,h,a,s,e
i,u,m,d,q,&,i,u,t,d,q,#,i,u,t,d,q,$,COPY	i,u,m,d,q
i,u,m,d,q,&,g,u,o,d,q,#,n,g,i,g,u,o,d,q,$,V,SG,1,PRS	n,g,i,i,u,m,d,q
b,h,d,l,a,&,b,n,o,l,a,#,n,g,a,b,n,o,l,a,$,V,SG,1,PST+RMT	n,g,a,b,h,d,l,a
e,m,a,i,n,&,e,e,a,i,n,#,e,e,a,i,n,$,COPY	e,m,a,i,n
e,m,a,i,n,&,e,m,k,i,n,#,n,g,i,y,o,e,m,k,i,n,$,V,SG,1,FUT	n,g,i,y,o,e,m,a,i,n
d,l,a,&,w,n,n,#,n,g,i,y,o,k,u,w,n,n,$,V,SG,1,FUT	n,g,i,y,o,k,u,d,l,a
d,l,g,&,d,q,g,#,d,q,g,$,COPY	d,l,g
d,l,g,&,l,l,g,#,n,g,i,z,o,k,u,l,l,g,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,d,l,g
d,l,o,&,d,w,h,#,n,g,i,d,w,h,$,V,SG,1,PRS	n,g,i,d,l,o
n,i,p,&,t,i,p,#,t,i,p,$,COPY	n,i,p
n,i,p,&,n,h,p,#,n,g,a,n,h,p,$,V,SG,1,PST+RMT	n,g,a,n,i,p
p,h,e,f,w,h,j,l,a,&,p,h,t,f,w,h,j,l,a,#,p,h,t,f,w,h,j,l,a,$,COPY	p,h,e,f,w,h,j,l,a
p,h,e,f,w,h,j,l,a,&,p,e,e,f,i,h,j,l,a,#,n,g,i,z,o,p,e,e,f,i,h,j,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,e,f,w,h,j,l,a
p,h,e,v,u,m,o,c,a,&,p,h,e,v,u,f,o,c,a,#,p,h,e,v,u,f,o,c,a,$,COPY	p,h,e,v,u,m,o,c,a
p,h,e,v,u,m,o,c,a,&,p,h,e,v,h,m,o,c,a,#,n,g,i,y,a,p,h,e,v,h,m,o,c,a,$,V,SG,1,PRS	n,g,i,y,a,p,h,e,v,u,m,o,c,a
p,h,e,f,d,m,u,l,a,&,p,o,e,f,c,m,u,g,a,#,p,o,e,f,c,m,u,g,a,$,COPY	p,h,e,f,d,m,u,l,a
p,h,e,f,d,m,u,l,a,&,p,i,e,w,d,m,u,l,a,#,n,g,i,p,i,e,w,d,m,u,l,e,$,V,SG,1,PST+RCT	n,g,i,p,h,e,f,d,m,u,l,e
p,h,z,e,s,m,n,i,a,&,p,h,z,e,s,m,n,z,a,#,p,h,z,e,s,m,n,z,a,$,COPY	p,h,z,e,s,m,n,i,a
p,h,z,e,s,m,n,i,a,&,p,h,z,e,g,m,w,i,a,#,n,g,a,p,h,z,e,g,m,w,i,a,$,V,SG,1,PST+RMT	n,g,a,p,h,z,e,s,m,n,i,a
p,h,e,b,m,t,u,d,a,&,p,h,j,b,m,g,u,d,a,#,p,h,j,b,m,g,u,d,a,$,COPY	p,h,e,b,m,t,u,d,a
p,h,e,b,m,t,u,d,a,&,p,q,a,b,m,t,u,d,a,#,n,g,i,y,o,p,q,a,b,m,t,u,d,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,e,b,m,t,u,d,a
a,h,u,y,a,&,a,t,u,y,g,#,a,t,u,y,g,$,COPY	a,h,u,y,a
a,h,u,y,a,&,a,h,u,w,b,#,n,g,a,a,h,u,w,b,$,V,SG,1,PST+RMT	n,g,a,a,h,u,y,a
n,h,u,m,a,&,n,h,u,v,a,#,n,g,i,n,h,u,v,a,$,V,SG,1,PRS	n,g,i,n,h,u,m,a
s,p,q,n,s,&,s,p,q,f,f,#,s,p,q,f,f,$,COPY	s,p,q,n,s
s,p,q,n,s,&,s,b,q,n,s,#,n,g,i,z,o,s,b,q,n,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,p,q,n,s
z,j,u,d,f,&,z,j,u,d,c,#,z,j,u,d,c,$,COPY	z,j,u,d,f
z,j,u,d,f,&,z,j,n,d,f,#,n,g,i,y,o,z,j,n,d,f,$,V,SG,1,FUT	n,g,i,y,o,z,j,u,d,f
p,h,j,z,a,&,p,z,j,u,a,#,p,z,j,u,a,$,COPY	p,h,j,z,a
p,h,j,z,a,&,a,h,j,z,a,#,n,g,i,a,h,j,z,e,$,V,SG,1,PST+RCT	n,g,i,p,h,j,z,e
t,h,i,n,b,a,&,t,h,f,n,b,a,#,n,g,i,t,h,f,n,b,e,$,V,SG,1,PST+RCT	n,g,i,t,h,i,n,b,e
t,h,i,y,t,a,&,t,h,j,e,o,a,#,n,g,i,z,o,t,h,j,e,o,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,i,y,t,a
t,h,u,e,t,a,&,t,l,f,o,t,a,#,t,l,f,o,t,a,$,COPY	t,h,u,e,t,a
t,h,u,e,t,a,&,t,h,v,e,v,a,#,n,g,i,y,o,t,h,v,e,v,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,u,e,t,a
t,h,i,s,t,a,&,t,h,i,u,t,a,#,t,h,i,u,t,a,$,COPY	t,h,i,s,t,a
t,h,i,s,t,a,&,t,h,i,s,v,a,#,n,g,a,t,h,i,s,v,a,$,V,SG,1,PST+RMT	n,g,a,t,h,i,s,t,a
t,m,i,n,t,a,&,t,v,i,n,t,a,#,t,v,i,n,t,a,$,COPY	t,m,i,n,t,a
t,m,i,n,t,a,&,t,l,t,n,t,a,#,n,g,i,t,l,t,n,t,a,$,V,SG,1,PRS	n,g,i,t,m,i,n,t,a
l,n,o,h,e,v,e,d,w,a,&,l,n,o,t,e,v,e,d,w,a,#,l,n,o,t,e,v,e,d,w,a,$,COPY	l,n,o,h,e,v,e,d,w,a
l,n,o,h,e,v,e,d,w,a,&,l,n,o,t,w,v,e,d,w,a,#,n,g,i,l,n,o,t,w,v,e,d,w,e,$,V,SG,1,PST+RCT	n,g,i,l,n,o,h,e,v,e,d,w,e
l,a,h,l,s,z,e,l,h,a,&,l,o,h,w,s,z,e,l,h,a,#,l,o,h,w,s,z,e,l,h,a,$,COPY	l,a,h,l,s,z,e,l,h,a
l,a,h,l,s,z,e,l,h,a,&,l,a,g,t,s,q,e,l,h,a,#,n,g,i,l,a,g,t,s,q,e,l,h,a,$,V,SG,1,PRS	n,g,i,l,a,h,l,s,z,e,l,h,a
l,a,d,l,g,k,b,j,w,a,&,l,a,d,l,g,q,b,a,f,a,#,l,a,d,l,g,q,b,a,f,a,$,COPY	l,a,d,l,g,k,b,j,w,a
l,a,d,l,g,k,b,j,w,a,&,l,a,d,g,g,k,b,j,w,a,#,n,g,i,z,o,l,a,d,g,g,k,b,j,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,d,l,g,k,b,j,w,a
l,a,h,q,e,k,t,l,t,a,&,l,a,p,q,k,k,o,l,e,a,#,l,a,p,q,k,k,o,l,e,a,$,COPY	l,a,h,q,e,k,t,l,t,a
l,a,h,q,e,k,t,l,t,a,&,l,a,h,y,e,m,t,l,t,a,#,n,g,i,y,o,l,a,h,y,e,m,t,l,t,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,h,q,e,k,t,l,t,a
