s,e,k,a,&,s,e,h,a,#,s,e,h,a,$,COPY	s,e,k,a
t,s,r,e,r,a,&,t,g,r,z,d,a,#,n,d,a,k,a,t,g,r,z,d,a,$,V,SG,1,PST	n,d,a,k,a,t,s,r,e,r,a
t,u,r,e,r,a,&,t,u,r,e,h,a,#,t,u,r,e,h,a,$,COPY	t,u,r,e,r,a
t,u,r,e,r,a,&,t,u,z,e,r,a,#,w,a,k,a,t,u,z,e,r,a,$,V,SG,2,PST	w,a,k,a,t,u,r,e,r,a
t,f,s,t,p,a,&,t,f,s,r,p,a,#,t,f,s,r,p,a,$,COPY	t,f,s,t,p,a
t,f,s,t,p,a,&,t,f,s,s,p,a,#,v,a,n,o,t,f,s,s,p,a,$,V,PL,3,PRS	v,a,n,o,t,f,s,t,p,a
t,c,r,d,z,a,&,t,m,r,d,z,a,#,t,m,r,d,z,a,$,COPY	t,c,r,d,z,a
t,c,r,d,z,a,&,t,c,w,d,z,a,#,m,u,r,i,k,u,t,c,w,d,z,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,c,r,d,z,a
t,z,r,e,r,a,&,t,z,r,k,r,a,#,t,z,r,k,r,a,$,COPY	t,z,r,e,r,a
t,z,r,e,r,a,&,t,o,r,e,r,a,#,u,c,h,a,t,o,r,e,r,a,$,V,SG,2,FUT	u,c,h,a,t,z,r,e,r,a
t,d,g,p,r,a,&,t,d,g,p,p,a,#,t,d,g,p,p,a,$,COPY	t,d,g,p,r,a
t,d,g,p,r,a,&,t,g,o,p,r,a,#,n,d,i,n,o,t,g,o,p,r,a,$,V,SG,1,PRS	n,d,i,n,o,t,d,g,p,r,a
t,m,c,e,e,a,&,t,z,z,e,e,a,#,t,z,z,e,e,a,$,COPY	t,m,c,e,e,a
t,m,c,e,e,a,&,t,s,c,e,e,a,#,w,a,t,s,c,e,e,a,$,V,SG,2,HOD	w,a,t,m,c,e,e,a
t,y,r,e,r,a,&,t,r,g,s,r,a,#,a,k,a,t,r,g,s,r,a,$,V,SG,3,PST	a,k,a,t,y,r,e,r,a
t,e,r,e,r,a,&,t,s,r,e,r,a,#,n,d,i,r,i,k,u,t,s,r,e,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,e,r,e,r,a
t,e,r,e,r,a,&,t,e,o,e,r,a,#,v,a,k,a,t,e,o,e,r,a,$,V,PL,3,PST	v,a,k,a,t,e,r,e,r,a
t,t,d,e,g,a,&,t,t,d,i,g,a,#,t,t,d,i,g,a,$,COPY	t,t,d,e,g,a
t,t,d,e,g,a,&,t,t,p,e,g,a,#,a,r,i,k,u,t,t,p,e,g,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,t,d,e,g,a
t,y,t,e,r,a,&,t,o,t,e,r,a,#,t,o,t,e,r,a,$,COPY	t,y,t,e,r,a
t,y,t,e,r,a,&,t,y,t,e,g,a,#,a,n,o,t,y,t,e,g,a,$,V,SG,3,PRS	a,n,o,t,y,t,e,r,a
t,e,n,e,r,a,&,t,e,u,e,r,a,#,t,e,u,e,r,a,$,COPY	t,e,n,e,r,a
t,e,n,e,r,a,&,t,e,n,e,m,a,#,a,c,h,a,t,e,n,e,m,a,$,V,SG,3,FUT	a,c,h,a,t,e,n,e,r,a
t,r,o,e,u,a,&,t,o,o,g,u,a,#,t,o,o,g,u,a,$,COPY	t,r,o,e,u,a
t,r,o,e,u,a,&,t,r,o,e,h,a,#,m,u,c,h,a,t,r,o,e,h,a,$,V,PL,2,FUT	m,u,c,h,a,t,r,o,e,u,a
t,e,r,v,k,a,&,t,e,k,v,k,a,#,t,e,k,v,k,a,$,COPY	t,e,r,v,k,a
t,e,r,v,k,a,&,t,e,u,p,k,a,#,t,a,t,e,u,p,k,a,$,V,PL,1,HOD	t,a,t,e,r,v,k,a
t,e,r,s,r,a,&,t,i,r,s,e,a,#,t,i,r,s,e,a,$,COPY	t,e,r,s,r,a
t,e,r,s,r,a,&,t,e,c,s,k,a,#,t,i,r,i,k,u,t,e,c,s,k,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,e,r,s,r,a
t,d,o,e,f,a,&,t,d,o,k,t,a,#,t,d,o,k,t,a,$,COPY	t,d,o,e,f,a
t,d,o,e,f,a,&,t,d,g,e,f,a,#,u,n,o,t,d,g,e,f,a,$,V,SG,2,PRS	u,n,o,t,d,o,e,f,a
t,e,o,e,m,a,&,t,e,o,e,c,a,#,t,e,o,e,c,a,$,COPY	t,e,o,e,m,a
t,e,o,e,m,a,&,t,f,o,m,m,a,#,v,a,c,h,a,t,f,o,m,m,a,$,V,PL,3,FUT	v,a,c,h,a,t,e,o,e,m,a
t,e,r,e,r,a,&,t,e,d,h,r,a,#,t,i,n,o,t,e,d,h,r,a,$,V,PL,1,PRS	t,i,n,o,t,e,r,e,r,a
t,i,u,y,r,a,&,t,s,u,k,r,a,#,t,s,u,k,r,a,$,COPY	t,i,u,y,r,a
t,i,u,y,r,a,&,t,m,u,y,r,a,#,u,r,i,k,u,t,m,u,y,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,i,u,y,r,a
t,z,r,e,r,p,&,t,z,r,e,n,p,#,t,z,r,e,n,p,$,COPY	t,z,r,e,r,p
t,z,r,e,r,p,&,t,z,r,e,c,p,#,t,a,k,a,t,z,r,e,c,p,$,V,PL,1,PST	t,a,k,a,t,z,r,e,r,p
t,y,r,e,i,a,&,t,z,y,e,i,a,#,t,z,y,e,i,a,$,COPY	t,y,r,e,i,a
t,y,r,e,i,a,&,t,y,u,e,i,a,#,n,d,a,t,y,u,e,i,a,$,V,SG,1,HOD	n,d,a,t,y,r,e,i,a
t,b,r,e,v,a,&,t,b,v,v,v,a,#,t,b,v,v,v,a,$,COPY	t,b,r,e,v,a
t,b,r,e,v,a,&,t,b,r,r,v,a,#,v,a,t,b,r,r,v,a,$,V,PL,3,HOD	v,a,t,b,r,e,v,a
t,c,r,c,a,a,&,t,c,r,c,r,a,#,t,c,r,c,r,a,$,COPY	t,c,r,c,a,a
t,c,r,c,a,a,&,t,c,p,t,a,a,#,v,a,r,i,k,u,t,c,p,t,a,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,c,r,c,a,a
t,d,r,i,g,a,&,t,d,m,i,g,a,#,t,d,m,i,g,a,$,COPY	t,d,r,i,g,a
t,d,r,i,g,a,&,t,d,z,i,g,a,#,m,a,k,a,t,d,z,i,g,a,$,V,PL,2,PST	m,a,k,a,t,d,r,i,g,a
g,a,r,i,&,g,z,e,i,#,u,n,o,g,z,e,i,$,V,SG,2,PRS	u,n,o,g,a,r,i
b,a,s,c,&,a,a,s,m,#,a,a,s,m,$,COPY	b,a,s,c
b,a,s,c,&,b,r,s,a,#,a,b,r,s,a,$,V,SG,3,HOD	a,b,a,s,c
n,s,r,d,&,m,s,r,b,#,m,s,r,b,$,COPY	n,s,r,d
n,s,r,d,&,n,s,r,g,#,m,u,r,i,k,u,n,s,r,g,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,n,s,r,d
e,p,o,w,&,e,p,o,v,#,e,p,o,v,$,COPY	e,p,o,w
e,p,o,w,&,e,p,o,m,#,v,a,k,a,e,p,o,m,$,V,PL,3,PST	v,a,k,a,e,p,o,w
g,a,d,v,&,p,a,d,m,#,p,a,d,m,$,COPY	g,a,d,v
g,a,d,v,&,g,a,d,t,#,a,r,i,k,u,g,a,d,t,$,V,PROG,SG,3,PRS	a,r,i,k,u,g,a,d,v
g,a,r,n,&,n,a,u,n,#,n,a,u,n,$,COPY	g,a,r,n
g,a,r,n,&,g,a,r,u,#,n,d,i,c,h,a,g,a,r,u,$,V,SG,1,FUT	n,d,i,c,h,a,g,a,r,n
u,k,r,t,&,u,k,r,d,#,u,k,r,d,$,COPY	u,k,r,t
u,k,r,t,&,b,k,r,t,#,u,c,h,a,b,k,r,t,$,V,SG,2,FUT	u,c,h,a,u,k,r,t
f,a,h,d,&,f,a,i,d,#,f,a,i,d,$,COPY	f,a,h,d
f,a,h,d,&,c,a,h,d,#,n,d,a,c,a,h,d,$,V,SG,1,HOD	n,d,a,f,a,h,d
r,d,o,a,&,r,d,c,a,#,r,d,c,a,$,COPY	r,d,o,a
r,d,o,a,&,r,d,w,a,#,t,i,r,i,k,u,r,d,w,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,r,d,o,a
m,r,n,a,&,m,v,n,a,#,m,v,n,a,$,COPY	m,r,n,a
m,r,n,a,&,d,r,n,c,#,t,a,d,r,n,c,$,V,PL,1,HOD	t,a,m,r,n,a
g,c,r,z,&,g,r,r,z,#,g,r,r,z,$,COPY	g,c,r,z
g,c,r,z,&,g,r,r,p,#,w,a,g,r,r,p,$,V,SG,2,HOD	w,a,g,c,r,z
k,m,e,a,&,k,e,e,a,#,k,e,e,a,$,COPY	k,m,e,a
k,m,e,a,&,k,m,i,a,#,v,a,r,i,k,u,k,m,i,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,k,m,e,a
g,o,r,a,&,u,o,r,a,#,n,d,i,n,o,u,o,r,a,$,V,SG,1,PRS	n,d,i,n,o,g,o,r,a
k,a,w,c,&,k,a,w,h,#,k,a,w,h,$,COPY	k,a,w,c
k,a,w,c,&,k,a,i,n,#,n,d,a,k,a,k,a,i,n,$,V,SG,1,PST	n,d,a,k,a,k,a,w,c
g,d,g,a,&,g,r,g,a,#,g,r,g,a,$,COPY	g,d,g,a
g,d,g,a,&,g,d,g,m,#,m,a,g,d,g,m,$,V,PL,2,HOD	m,a,g,d,g,a
n,a,r,a,&,n,b,r,a,#,v,a,c,h,a,n,b,r,a,$,V,PL,3,FUT	v,a,c,h,a,n,a,r,a
g,a,c,a,&,g,y,o,r,#,g,y,o,r,$,COPY	g,a,c,a
g,a,c,a,&,w,a,i,a,#,v,a,w,a,i,a,$,V,PL,3,HOD	v,a,g,a,c,a
g,a,r,o,&,g,a,u,k,#,g,a,u,k,$,COPY	g,a,r,o
g,a,r,o,&,b,a,r,k,#,a,k,a,b,a,r,k,$,V,SG,3,PST	a,k,a,g,a,r,o
g,a,e,w,&,g,p,e,w,#,g,p,e,w,$,COPY	g,a,e,w
g,a,e,w,&,b,a,e,w,#,v,a,n,o,b,a,e,w,$,V,PL,3,PRS	v,a,n,o,g,a,e,w
g,a,p,h,&,z,a,p,h,#,z,a,p,h,$,COPY	g,a,p,h
g,a,p,h,&,p,a,p,h,#,m,u,n,o,p,a,p,h,$,V,PL,2,PRS	m,u,n,o,g,a,p,h
g,c,r,t,&,f,c,r,a,#,f,c,r,a,$,COPY	g,c,r,t
g,c,r,t,&,g,c,k,m,#,t,i,n,o,g,c,k,m,$,V,PL,1,PRS	t,i,n,o,g,c,r,t
g,o,r,v,&,r,o,r,v,#,r,o,r,v,$,COPY	g,o,r,v
g,o,r,v,&,g,o,r,r,#,n,d,i,r,i,k,u,g,o,r,r,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,g,o,r,v
g,a,r,c,&,g,a,e,v,#,g,a,e,v,$,COPY	g,a,r,c
g,a,r,c,&,v,a,r,c,#,t,a,k,a,v,a,r,c,$,V,PL,1,PST	t,a,k,a,g,a,r,c
g,e,r,a,&,g,s,r,v,#,g,s,r,v,$,COPY	g,e,r,a
g,e,r,a,&,g,o,r,a,#,t,i,c,h,a,g,o,r,a,$,V,PL,1,FUT	t,i,c,h,a,g,e,r,a
m,a,m,a,&,e,a,g,a,#,e,a,g,a,$,COPY	m,a,m,a
m,a,m,a,&,d,a,y,a,#,u,r,i,k,u,d,a,y,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,m,a,m,a
g,a,r,a,&,g,a,v,a,#,a,c,h,a,g,a,v,a,$,V,SG,3,FUT	a,c,h,a,g,a,r,a
v,w,d,a,&,r,w,d,a,#,r,w,d,a,$,COPY	v,w,d,a
v,w,d,a,&,v,w,f,a,#,a,n,o,v,w,f,a,$,V,SG,3,PRS	a,n,o,v,w,d,a
g,a,c,t,&,g,v,c,t,#,g,v,c,t,$,COPY	g,a,c,t
g,a,c,t,&,g,a,c,f,#,w,a,k,a,g,a,c,f,$,V,SG,2,PST	w,a,k,a,g,a,c,t
h,e,i,a,&,h,e,a,a,#,h,e,a,a,$,COPY	h,e,i,a
h,e,i,a,&,y,e,i,a,#,m,a,k,a,y,e,i,a,$,V,PL,2,PST	m,a,k,a,h,e,i,a
e,b,r,a,&,e,b,c,r,#,m,u,c,h,a,e,b,c,r,$,V,PL,2,FUT	m,u,c,h,a,e,b,r,a
s,t,y,n,b,i,v,a,&,s,t,y,z,b,i,v,a,#,s,t,y,z,b,i,v,a,$,COPY	s,t,y,n,b,i,v,a
s,t,y,n,b,i,v,a,&,s,a,y,n,y,i,v,a,#,t,a,k,a,s,a,y,n,y,i,v,a,$,V,PL,1,PST	t,a,k,a,s,t,y,n,b,i,v,a
s,h,a,n,a,z,t,a,&,s,h,a,z,a,z,t,a,#,s,h,a,z,a,z,t,a,$,COPY	s,h,a,n,a,z,t,a
s,h,a,n,a,z,t,a,&,s,h,a,n,a,z,b,a,#,t,i,r,i,k,u,s,h,a,n,a,z,b,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,s,h,a,n,a,z,t,a
s,h,v,f,c,i,g,a,&,s,z,v,d,c,i,g,a,#,s,z,v,d,c,i,g,a,$,COPY	s,h,v,f,c,i,g,a
s,h,v,f,c,i,g,a,&,s,e,v,f,v,i,g,a,#,m,u,n,o,s,e,v,f,v,i,g,a,$,V,PL,2,PRS	m,u,n,o,s,h,v,f,c,i,g,a
s,o,a,b,d,b,s,a,&,s,o,b,b,d,b,s,a,#,s,o,b,b,d,b,s,a,$,COPY	s,o,a,b,d,b,s,a
s,o,a,b,d,b,s,a,&,s,o,a,z,d,b,v,a,#,w,a,k,a,s,o,a,z,d,b,v,a,$,V,SG,2,PST	w,a,k,a,s,o,a,b,d,b,s,a
s,b,e,o,o,i,m,a,&,s,b,k,o,o,i,m,a,#,s,b,k,o,o,i,m,a,$,COPY	s,b,e,o,o,i,m,a
s,b,e,o,o,i,m,a,&,s,o,e,o,o,i,m,a,#,v,a,k,a,s,o,e,o,o,i,m,a,$,V,PL,3,PST	v,a,k,a,s,b,e,o,o,i,m,a
s,f,a,n,r,c,s,a,&,s,f,a,k,r,c,s,a,#,s,f,a,k,r,c,s,a,$,COPY	s,f,a,n,r,c,s,a
s,f,a,n,r,c,s,a,&,s,r,g,m,r,c,s,a,#,v,a,s,r,g,m,r,c,s,a,$,V,PL,3,HOD	v,a,s,f,a,n,r,c,s,a
s,h,a,k,d,i,p,a,&,s,h,a,k,r,i,p,a,#,s,h,a,k,r,i,p,a,$,COPY	s,h,a,k,d,i,p,a
s,h,a,k,d,i,p,a,&,s,h,t,k,d,i,p,a,#,n,d,a,k,a,s,h,t,k,d,i,p,a,$,V,SG,1,PST	n,d,a,k,a,s,h,a,k,d,i,p,a
s,h,a,n,y,i,s,a,&,s,h,a,v,y,i,s,a,#,s,h,a,v,y,i,s,a,$,COPY	s,h,a,n,y,i,s,a
s,h,a,n,y,i,s,a,&,s,h,g,n,y,d,g,a,#,t,a,s,h,g,n,y,d,g,a,$,V,PL,1,HOD	t,a,s,h,a,n,y,i,s,a
s,h,a,n,s,z,v,a,&,s,c,a,m,s,z,v,a,#,s,c,a,m,s,z,v,a,$,COPY	s,h,a,n,s,z,v,a
s,h,a,n,s,z,v,a,&,s,f,a,n,s,w,v,a,#,m,u,r,i,k,u,s,f,a,n,s,w,v,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,s,h,a,n,s,z,v,a
s,h,a,n,e,i,s,a,&,s,h,a,n,v,i,f,a,#,s,h,a,n,v,i,f,a,$,COPY	s,h,a,n,e,i,s,a
s,h,a,n,e,i,s,a,&,s,h,a,o,e,i,s,a,#,v,a,n,o,s,h,a,o,e,i,s,a,$,V,PL,3,PRS	v,a,n,o,s,h,a,n,e,i,s,a
s,h,a,n,f,i,s,a,&,s,h,s,n,f,o,s,a,#,s,h,s,n,f,o,s,a,$,COPY	s,h,a,n,f,i,s,a
s,h,a,n,f,i,s,a,&,s,h,a,n,f,r,s,a,#,u,c,h,a,s,h,a,n,f,r,s,a,$,V,SG,2,FUT	u,c,h,a,s,h,a,n,f,i,s,a
s,g,a,f,d,i,p,a,&,s,i,a,f,d,i,p,a,#,s,i,a,f,d,i,p,a,$,COPY	s,g,a,f,d,i,p,a
s,g,a,f,d,i,p,a,&,s,g,a,f,d,i,f,a,#,v,a,c,h,a,s,g,a,f,d,i,f,a,$,V,PL,3,FUT	v,a,c,h,a,s,g,a,f,d,i,p,a
s,h,a,t,k,b,v,a,&,s,h,a,t,a,m,v,a,#,s,h,a,t,a,m,v,a,$,COPY	s,h,a,t,k,b,v,a
s,h,a,t,k,b,v,a,&,s,i,h,h,k,b,v,a,#,a,s,i,h,h,k,b,v,a,$,V,SG,3,HOD	a,s,h,a,t,k,b,v,a
s,k,u,n,d,i,s,a,&,s,k,t,h,d,f,s,a,#,s,k,t,h,d,f,s,a,$,COPY	s,k,u,n,d,i,s,a
s,k,u,n,d,i,s,a,&,s,a,u,t,d,u,s,a,#,t,i,n,o,s,a,u,t,d,u,s,a,$,V,PL,1,PRS	t,i,n,o,s,k,u,n,d,i,s,a
s,p,w,n,d,v,s,a,&,s,n,w,z,d,v,s,a,#,s,n,w,z,d,v,s,a,$,COPY	s,p,w,n,d,v,s,a
s,p,w,n,d,v,s,a,&,s,p,w,b,d,r,k,a,#,v,a,r,i,k,u,s,p,w,b,d,r,k,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,s,p,w,n,d,v,s,a
s,h,d,n,t,i,e,a,&,s,h,d,n,a,i,e,a,#,s,h,d,n,a,i,e,a,$,COPY	s,h,d,n,t,i,e,a
s,h,d,n,t,i,e,a,&,s,h,d,m,t,i,e,a,#,u,r,i,k,u,s,h,d,m,t,i,e,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,s,h,d,n,t,i,e,a
s,h,n,n,d,v,t,a,&,s,h,n,n,d,m,t,a,#,s,h,n,n,d,m,t,a,$,COPY	s,h,n,n,d,v,t,a
s,h,n,n,d,v,t,a,&,s,h,n,h,p,v,t,a,#,t,i,c,h,a,s,h,n,h,p,v,t,a,$,V,PL,1,FUT	t,i,c,h,a,s,h,n,n,d,v,t,a
s,h,a,t,d,i,s,a,&,s,n,a,t,m,i,s,a,#,s,n,a,t,m,i,s,a,$,COPY	s,h,a,t,d,i,s,a
s,h,a,t,d,i,s,a,&,s,h,t,t,d,i,s,a,#,m,u,c,h,a,s,h,t,t,d,i,s,a,$,V,PL,2,FUT	m,u,c,h,a,s,h,a,t,d,i,s,a
s,h,a,g,f,p,w,a,&,s,h,a,s,f,p,a,a,#,s,h,a,s,f,p,a,a,$,COPY	s,h,a,g,f,p,w,a
s,h,a,g,f,p,w,a,&,s,n,o,g,m,k,w,a,#,u,n,o,s,n,o,g,m,k,w,a,$,V,SG,2,PRS	u,n,o,s,h,a,g,f,p,w,a
s,z,d,p,y,p,g,a,&,s,z,d,g,y,p,g,a,#,s,z,d,g,y,p,g,a,$,COPY	s,z,d,p,y,p,g,a
s,z,d,p,y,p,g,a,&,s,z,d,p,b,p,g,a,#,m,a,s,z,d,p,b,p,g,a,$,V,PL,2,HOD	m,a,s,z,d,p,y,p,g,a
s,h,a,p,h,d,s,a,&,s,k,c,p,h,d,e,a,#,s,k,c,p,h,d,e,a,$,COPY	s,h,a,p,h,d,s,a
s,h,a,p,h,d,s,a,&,s,h,s,p,a,d,s,a,#,n,d,i,r,i,k,u,s,h,s,p,a,d,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,s,h,a,p,h,d,s,a
s,h,a,n,b,i,s,a,&,s,h,b,n,h,i,s,a,#,s,h,b,n,h,i,s,a,$,COPY	s,h,a,n,b,i,s,a
s,h,a,n,b,i,s,a,&,s,h,a,s,b,i,s,a,#,a,k,a,s,h,a,s,b,i,s,a,$,V,SG,3,PST	a,k,a,s,h,a,n,b,i,s,a
s,m,a,n,a,b,p,a,&,s,m,a,m,u,b,p,a,#,s,m,a,m,u,b,p,a,$,COPY	s,m,a,n,a,b,p,a
s,m,a,n,a,b,p,a,&,s,c,a,n,a,b,p,a,#,a,c,h,a,s,c,a,n,a,b,p,a,$,V,SG,3,FUT	a,c,h,a,s,m,a,n,a,b,p,a
s,h,f,h,u,r,h,a,&,s,e,f,h,p,r,h,a,#,s,e,f,h,p,r,h,a,$,COPY	s,h,f,h,u,r,h,a
s,h,f,h,u,r,h,a,&,s,m,f,m,u,r,h,a,#,w,a,s,m,f,m,u,r,h,a,$,V,SG,2,HOD	w,a,s,h,f,h,u,r,h,a
s,h,b,n,d,i,a,a,&,s,h,d,r,y,i,s,a,#,s,h,d,r,y,i,s,a,$,COPY	s,h,b,n,d,i,a,a
s,h,b,n,d,i,a,a,&,s,h,i,n,y,i,a,a,#,a,r,i,k,u,s,h,i,n,y,i,a,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,s,h,b,n,d,i,a,a
s,h,i,n,d,z,c,a,&,s,h,i,n,d,z,p,a,#,s,h,i,n,d,z,p,a,$,COPY	s,h,i,n,d,z,c,a
s,h,i,n,d,z,c,a,&,s,h,i,n,m,z,c,a,#,a,n,o,s,h,i,n,m,z,c,a,$,V,SG,3,PRS	a,n,o,s,h,i,n,d,z,c,a
s,h,a,n,k,i,t,a,&,s,v,h,n,k,i,t,a,#,s,v,h,n,k,i,t,a,$,COPY	s,h,a,n,k,i,t,a
s,h,a,n,k,i,t,a,&,s,r,a,n,k,w,r,a,#,n,d,i,c,h,a,s,r,a,n,k,w,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,s,h,a,n,k,i,t,a
s,h,y,t,y,i,i,a,&,s,n,g,t,y,i,b,a,#,s,n,g,t,y,i,b,a,$,COPY	s,h,y,t,y,i,i,a
s,h,y,t,y,i,i,a,&,s,h,y,h,y,i,i,a,#,m,a,k,a,s,h,y,h,y,i,i,a,$,V,PL,2,PST	m,a,k,a,s,h,y,t,y,i,i,a
s,z,o,n,d,c,s,a,&,s,t,o,g,o,c,s,a,#,s,t,o,g,o,c,s,a,$,COPY	s,z,o,n,d,c,s,a
s,z,o,n,d,c,s,a,&,s,z,o,r,d,c,e,a,#,n,d,i,n,o,s,z,o,r,d,c,e,a,$,V,SG,1,PRS	n,d,i,n,o,s,z,o,n,d,c,s,a
s,u,a,n,a,i,p,a,&,s,u,h,n,a,i,t,a,#,s,u,h,n,a,i,t,a,$,COPY	s,u,a,n,a,i,p,a
s,u,a,n,a,i,p,a,&,s,u,g,n,a,i,p,a,#,n,d,a,s,u,g,n,a,i,p,a,$,V,SG,1,HOD	n,d,a,s,u,a,n,a,i,p,a
v,e,o,a,n,g,a,&,v,e,o,r,n,g,a,#,v,e,o,r,n,g,a,$,COPY	v,e,o,a,n,g,a
v,e,o,a,n,g,a,&,v,i,o,a,n,g,a,#,w,a,k,a,v,i,o,a,n,g,a,$,V,SG,2,PST	w,a,k,a,v,e,o,a,n,g,a
v,i,r,e,n,n,a,&,v,i,r,e,n,v,a,#,v,i,r,e,n,v,a,$,COPY	v,i,r,e,n,n,a
v,i,r,e,n,n,a,&,v,k,r,e,n,n,a,#,u,r,i,k,u,v,k,r,e,n,n,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,v,i,r,e,n,n,a
v,e,r,e,n,g,a,&,v,e,r,e,i,b,a,#,t,i,c,h,a,v,e,r,e,i,b,a,$,V,PL,1,FUT	t,i,c,h,a,v,e,r,e,n,g,a
v,e,y,e,r,p,a,&,v,n,b,f,b,p,a,#,v,n,b,f,b,p,a,$,COPY	v,e,y,e,r,p,a
v,e,y,e,r,p,a,&,v,g,s,e,r,n,a,#,u,c,h,a,v,g,s,e,r,n,a,$,V,SG,2,FUT	u,c,h,a,v,e,y,e,r,p,a
v,i,h,z,i,k,a,&,v,i,h,b,i,r,a,#,v,i,h,b,i,r,a,$,COPY	v,i,h,z,i,k,a
v,i,h,z,i,k,a,&,v,m,h,z,i,z,a,#,u,n,o,v,m,h,z,i,z,a,$,V,SG,2,PRS	u,n,o,v,i,h,z,i,k,a
v,d,f,e,g,o,a,&,v,d,f,u,g,o,a,#,v,d,f,u,g,o,a,$,COPY	v,d,f,e,g,o,a
v,d,f,e,g,o,a,&,v,d,f,e,u,o,a,#,t,i,r,i,k,u,v,d,f,e,u,o,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,v,d,f,e,g,o,a
v,e,k,e,e,g,a,&,v,e,p,e,n,g,a,#,v,e,p,e,n,g,a,$,COPY	v,e,k,e,e,g,a
v,e,k,e,e,g,a,&,v,r,k,d,e,g,a,#,v,a,c,h,a,v,r,k,d,e,g,a,$,V,PL,3,FUT	v,a,c,h,a,v,e,k,e,e,g,a
v,e,r,e,o,n,a,&,v,e,n,m,o,n,a,#,v,e,n,m,o,n,a,$,COPY	v,e,r,e,o,n,a
v,e,r,e,o,n,a,&,v,d,a,e,o,n,a,#,v,a,v,d,a,e,o,n,a,$,V,PL,3,HOD	v,a,v,e,r,e,o,n,a
v,r,i,i,n,g,a,&,v,r,n,i,m,g,a,#,v,r,n,i,m,g,a,$,COPY	v,r,i,i,n,g,a
v,r,i,i,n,g,a,&,v,r,i,o,p,a,a,#,n,d,a,k,a,v,r,i,o,p,a,a,$,V,SG,1,PST	n,d,a,k,a,v,r,i,i,n,g,a
v,w,r,e,v,d,a,&,v,w,r,d,v,f,a,#,v,w,r,d,v,f,a,$,COPY	v,w,r,e,v,d,a
v,w,r,e,v,d,a,&,v,w,r,e,m,d,a,#,v,a,n,o,v,w,r,e,m,d,a,$,V,PL,3,PRS	v,a,n,o,v,w,r,e,v,d,a
v,v,r,e,h,g,a,&,v,z,r,e,h,g,a,#,v,z,r,e,h,g,a,$,COPY	v,v,r,e,h,g,a
v,v,r,e,h,g,a,&,v,k,d,z,t,g,a,#,n,d,a,v,k,d,z,t,g,a,$,V,SG,1,HOD	n,d,a,v,v,r,e,h,g,a
v,e,r,i,n,g,a,&,v,e,y,i,n,g,a,#,m,u,n,o,v,e,y,i,n,g,a,$,V,PL,2,PRS	m,u,n,o,v,e,r,i,n,g,a
v,s,r,w,n,g,a,&,v,m,z,w,n,g,a,#,v,m,z,w,n,g,a,$,COPY	v,s,r,w,n,g,a
v,s,r,w,n,g,a,&,v,s,a,h,z,g,a,#,n,d,i,r,i,k,u,v,s,a,h,z,g,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,v,s,r,w,n,g,a
v,e,r,e,t,i,a,&,v,e,r,f,t,i,a,#,v,e,r,f,t,i,a,$,COPY	v,e,r,e,t,i,a
v,e,r,e,t,i,a,&,v,e,r,f,t,i,a,#,a,k,a,v,e,r,f,t,i,a,$,V,SG,3,PST	a,k,a,v,e,r,e,t,i,a
v,e,h,e,n,a,a,&,v,e,h,o,n,u,a,#,v,e,h,o,n,u,a,$,COPY	v,e,h,e,n,a,a
v,e,h,e,n,a,a,&,v,p,h,e,n,a,a,#,v,a,r,i,k,u,v,p,h,e,n,a,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,v,e,h,e,n,a,a
v,e,r,e,n,y,a,&,v,d,d,e,n,y,a,#,v,d,d,e,n,y,a,$,COPY	v,e,r,e,n,y,a
v,e,r,e,n,y,a,&,v,v,r,h,n,b,a,#,a,c,h,a,v,v,r,h,n,b,a,$,V,SG,3,FUT	a,c,h,a,v,e,r,e,n,y,a
v,p,c,e,g,m,a,&,v,p,b,e,g,u,a,#,v,p,b,e,g,u,a,$,COPY	v,p,c,e,g,m,a
v,p,c,e,g,m,a,&,v,p,c,r,d,m,a,#,t,a,k,a,v,p,c,r,d,m,a,$,V,PL,1,PST	t,a,k,a,v,p,c,e,g,m,a
