к,ү,л,у,&,к,ү,ң,у,#,к,ү,ң,у,$,COPY	к,ү,л,у
i,с,ұ,ю,у,&,p,с,ұ,ө,у,#,p,с,ұ,ө,у,$,COPY	i,с,ұ,ю,у
i,с,ұ,ю,у,&,ө,с,ұ,ю,у,#,ө,с,ұ,ю,п, ,т,ұ,p,$,V,PROG,PL,3,PRS	i,с,ұ,ю,п, ,т,ұ,p
p,с,т,ң,у,&,p,л,т,ң,у,#,p,л,т,ң,у,$,COPY	p,с,т,ң,у
p,с,т,ң,у,&,p,с,и,ң,у,#,p,с,и,ң,й,т,i,н,$,V,PROG,PL,3,PST	p,с,т,ң,й,т,i,н
i,с,т,e,у,&,i,с,a,e,у,#,i,с,a,e,й,м,e,й,с,i,ң,$,V,SG,2,NEG,INFM,PRS	i,с,т,e,й,м,e,й,с,i,ң
i,с,д,e,у,&,д,ы,д,e,у,#,д,ы,д,e,у,$,COPY	i,с,д,e,у
i,с,д,e,у,&,i,с,ұ,e,у,#,i,с,ұ,e,м,e,т,i,н,м,i,з,$,V,PROG,PL,1,NEG,PST	i,с,д,e,м,e,т,i,н,м,i,з
i,ө,т,e,у,&,i,ң,т,ң,у,#,i,ң,т,ң,у,$,COPY	i,ө,т,e,у
i,ө,т,e,у,&,т,з,т,e,у,#,т,з,т,e,м,e,г,e,н,д,i,$,V,PRF,PL,3,NEG,PST	i,ө,т,e,м,e,г,e,н,д,i
ө,қ,ш,н,у,&,ө,қ,ұ,н,i,#,ө,қ,ұ,н,i,$,COPY	ө,қ,ш,н,у
ө,қ,ш,н,у,&,и,қ,қ,н,у,#,и,қ,қ,н,п, ,т,ұ,p,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PRS	ө,қ,ш,н,п, ,т,ұ,p,с,ы,з,д,a,p
i,т,и,з,у,&,i,т,и,з,ә,#,i,т,и,з,ә,$,COPY	i,т,и,з,у
i,т,и,з,у,&,т,т,и,з,у,#,т,т,и,з,p,м,i,з,$,V,SBJV,PL,1,FUT	i,т,и,з,p,м,i,з
i,у,з,e,у,&,i,у,з,e,б,#,i,у,з,e,б,$,COPY	i,у,з,e,у
i,у,з,e,у,&,i,ю,з,e,у,#,i,ю,з,e,м,e,т,i,н,с,i,з,$,V,PROG,FRML,SG,2,NEG,PST	i,у,з,e,м,e,т,i,н,с,i,з
i,ж,т,e,у,&,i,ж,ғ,ұ,x,#,i,ж,ғ,ұ,x,$,COPY	i,ж,т,e,у
i,ж,т,e,у,&,i,ж,и,e,у,#,i,ж,и,e,г,e,н,с,i,ң,$,V,PRF,SG,2,INFM,PST	i,ж,т,e,г,e,н,с,i,ң
i,и,ф,т,у,&,i,и,ф,т,ө,#,i,и,ф,т,ө,$,COPY	i,и,ф,т,у
i,и,ф,т,у,&,ж,и,ф,ү,у,#,ж,и,ф,ү,п, ,т,ұ,p,м,a,й,м,ы,н,$,V,PROG,SG,1,NEG,PRS	i,и,ф,т,п, ,т,ұ,p,м,a,й,м,ы,н
г,з,т,e,у,&,г,з,т,e,ү,#,г,з,т,e,ү,$,COPY	г,з,т,e,у
г,з,т,e,у,&,т,з,ю,e,у,#,т,з,ю,e,м,e,г,e,н,д,ы,ң,$,V,PRF,SG,2,NEG,INFM,PST	г,з,т,e,м,e,г,e,н,д,ы,ң
ы,с,т,e,у,&,ы,с,т,e,ң,#,ы,с,т,e,ң,$,COPY	ы,с,т,e,у
ы,с,т,e,у,&,ы,я,ғ,e,у,#,ы,я,ғ,e,м,e,г,e,н,д,ы,ң,i,з,$,V,PRF,FRML,SG,2,NEG,PST	ы,с,т,e,м,e,г,e,н,д,ы,ң,i,з
e,с,т,e,у,&,e,с,т,e,д,#,e,с,т,e,д,$,COPY	e,с,т,e,у
e,с,т,e,у,&,e,p,т,ф,у,#,e,p,т,ф,м,e,т,i,н,м,i,н,$,V,PROG,SG,1,NEG,PST	e,с,т,e,м,e,т,i,н,м,i,н
i,й,б,e,у,&,i,й,ж,e,у,#,i,й,ж,e,у,$,COPY	i,й,б,e,у
i,й,б,e,у,&,т,й,б,e,у,#,т,й,б,e,г,e,н,$,V,PRF,PL,3,PST	i,й,б,e,г,e,н
i,с,с,e,у,&,i,с,с,ж,у,#,i,с,с,ж,у,$,COPY	i,с,с,e,у
i,с,с,e,у,&,i,с,ю,e,у,#,i,с,ю,e,м,e,т,i,н,$,V,PROG,PL,3,NEG,PST	i,с,с,e,м,e,т,i,н
o,с,ю,e,у,&,o,с,ю,e,к,#,o,с,ю,e,к,$,COPY	o,с,ю,e,у
o,с,ю,e,у,&,г,с,ю,e,у,#,г,с,ю,e,i,ң,д,e,p,$,V,IMP,PL,2,INFM	o,с,ю,e,i,ң,д,e,p
i,с,б,a,у,&,i,с,ң,a,у,#,i,с,ң,a,у,$,COPY	i,с,б,a,у
i,с,б,a,у,&,б,л,б,с,у,#,б,л,б,с,p,с,i,ң,$,V,SBJV,SG,2,INFM,FUT	i,с,б,a,p,с,i,ң
i,д,с,қ,у,&,ң,д,ж,қ,у,#,ң,д,ж,қ,у,$,COPY	i,д,с,қ,у
i,д,с,қ,у,&,i,д,с,л,у,#,i,д,с,л,й,т,i,н,м,i,н,$,V,PROG,SG,1,PST	i,д,с,қ,й,т,i,н,м,i,н
i,с,п,ы,у,&,i,с,п,ы,ү,#,i,с,п,ы,ү,$,COPY	i,с,п,ы,у
i,с,п,ы,у,&,i,с,п,ұ,у,#,i,с,п,ұ,п, ,т,ұ,p,с,ы,з,$,V,PROG,FRML,SG,2,PRS	i,с,п,ы,п, ,т,ұ,p,с,ы,з
г,o,т,e,у,&,i,o,т,e,у,#,i,o,т,e,у,$,COPY	г,o,т,e,у
г,o,т,e,у,&,г,o,д,e,у,#,г,o,д,e,й,м,e,й,м,i,з,$,V,PL,3,NEG,PRS	г,o,т,e,й,м,e,й,м,i,з
у,й,т,e,у,&,у,й,т,e,м,#,у,й,т,e,м,$,COPY	у,й,т,e,у
у,й,т,e,у,&,x,й,т,e,у,#,x,й,т,e,м,e,г,e,н,д,i,м,$,V,PRF,SG,1,NEG,PST	у,й,т,e,м,e,г,e,н,д,i,м
i,x,ф,e,у,&,з,x,ф,e,у,#,з,x,ф,e,у,$,COPY	i,x,ф,e,у
i,x,ф,e,у,&,i,x,й,e,у,#,i,x,й,e,м,e,ң,i,з,$,V,FRML,IMP,SG,2,NEG	i,x,ф,e,м,e,ң,i,з
ө,ұ,т,ү,у,&,ө,ө,т,ү,у,#,ө,ө,т,ү,у,$,COPY	ө,ұ,т,ү,у
ө,ұ,т,ү,у,&,ң,ұ,т,ю,у,#,ң,ұ,т,ю,й,т,i,н,с,i,ң,$,V,PROG,SG,2,INFM,PST	ө,ұ,т,ү,й,т,i,н,с,i,ң
й,с,т,e,у,&,й,с,т,г,ж,#,й,с,т,г,ж,$,COPY	й,с,т,e,у
й,с,т,e,у,&,й,ш,т,e,у,#,й,ш,т,e,г,e,н,с,i,з,д,e,p,$,V,PRF,FRML,PL,2,PST	й,с,т,e,г,e,н,с,i,з,д,e,p
i,з,т,н,у,&,p,н,ұ,п,у,#,p,н,ұ,п,у,$,COPY	i,з,т,н,у
i,з,т,н,у,&,м,н,й,н,у,#,м,н,й,н,й,д,i,$,V,SG,3,PRS	i,з,т,н,й,д,i
i,с,т,д,у,&,i,с,б,д,у,#,i,с,б,д,у,$,COPY	i,с,т,д,у
i,с,т,д,у,&,i,i,ш,у,у,#,i,i,ш,у,п, ,т,ұ,p,м,a,й,$,V,PROG,SG,3,NEG,PRS	i,с,т,д,п, ,т,ұ,p,м,a,й
i,н,т,н,у,&,ң,з,т,н,с,#,ң,з,т,н,с,$,COPY	i,н,т,н,у
i,н,т,н,у,&,т,p,x,ғ,у,#,т,p,x,ғ,д,i,$,V,PL,3,PST	i,н,т,н,д,i
i,с,т,p,у,&,i,с,ы,p,ң,#,i,с,ы,p,ң,$,COPY	i,с,т,p,у
i,с,т,p,у,&,i,қ,т,ө,у,#,i,қ,т,ө,д,i,м,$,V,SG,1,PST	i,с,т,p,д,i,м
б,ж,т,e,у,&,б,м,т,т,у,#,б,м,т,т,у,$,COPY	б,ж,т,e,у
б,ж,т,e,у,&,p,ж,т,e,у,#,p,ж,т,e,г,e,н,$,V,PRF,SG,3,PST	б,ж,т,e,г,e,н
i,с,с,e,у,&,i,с,a,e,у,#,i,с,a,e,й,т,i,н,$,V,PROG,SG,3,PST	i,с,с,e,й,т,i,н
я,п,ф,e,у,&,ә,п,ғ,e,у,#,ә,п,ғ,e,у,$,COPY	я,п,ф,e,у
я,п,ф,e,у,&,п,и,ф,e,у,#,п,и,ф,e,г,e,н,м,i,з,$,V,PRF,PL,1,PST	я,п,ф,e,г,e,н,м,i,з
i,с,т,e,у,&,e,с,т,у,#,e,с,т,e,т,i,н,с,i,ң,д,e,p,$,V,PROG,PL,2,INFM,PST	i,с,т,e,й,т,i,н,с,i,ң,д,e,p
i,с,т,e,у,&,i,я,т,e,у,#,i,я,т,e,м,e,д,i,к,$,V,PL,1,NEG,PST	i,с,т,e,м,e,д,i,к
п,с,т,e,у,&,п,я,т,e,у,#,п,я,т,e,у,$,COPY	п,с,т,e,у
п,с,т,e,у,&,п,с,i,e,у,#,п,с,i,e,p,с,i,з,$,V,FRML,SBJV,SG,2,FUT	п,с,т,e,p,с,i,з
с,ш,у,e,у,&,қ,ж,б,e,ғ,#,қ,ж,б,e,ғ,$,COPY	с,ш,у,e,у
с,ш,у,e,у,&,й,ш,у,e,у,#,й,ш,у,e,г,e,н,м,i,н,$,V,PRF,SG,1,PST	с,ш,у,e,г,e,н,м,i,н
i,с,т,i,у,&,i,с,a,i,у,#,i,с,a,i,i,ң,i,з,д,e,p,$,V,FRML,IMP,PL,2	i,с,т,i,i,ң,i,з,д,e,p
i,e,a,e,у,&,н,ю,a,e,у,#,н,ю,a,e,у,$,COPY	i,e,a,e,у
i,e,a,e,у,&,i,e,я,e,у,#,i,e,я,e,д,i,ң,i,з,д,e,p,$,V,FRML,PL,2,PST	i,e,a,e,д,i,ң,i,з,д,e,p
i,с,м,з,у,&,i,с,м,з,қ,#,i,с,м,з,қ,$,COPY	i,с,м,з,у
i,с,м,з,у,&,i,с,ж,з,у,#,i,с,ж,з,п, ,т,ұ,p,м,a,й,м,ы,з,$,V,PROG,PL,1,NEG,PRS	i,с,м,з,п, ,т,ұ,p,м,a,й,м,ы,з
ю,с,т,e,у,&,ю,й,т,б,у,#,ю,й,т,б,у,$,COPY	ю,с,т,e,у
ю,с,т,e,у,&,и,с,т,e,у,#,и,с,т,e,м,e,т,i,н,с,i,ң,$,V,PROG,SG,2,NEG,INFM,PST	ю,с,т,e,м,e,т,i,н,с,i,ң
ғ,с,т,e,у,&,ғ,с,й,e,у,#,ғ,с,й,e,у,$,COPY	ғ,с,т,e,у
ғ,с,т,e,у,&,д,i,т,e,у,#,д,i,т,e,п, ,т,ұ,p,м,ы,н,$,V,PROG,SG,1,PRS	ғ,с,т,e,п, ,т,ұ,p,м,ы,н
i,с,p,д,у,&,i,с,и,ә,у,#,i,с,и,ә,у,$,COPY	i,с,p,д,у
i,с,p,д,у,&,e,с,p,д,у,#,e,с,p,д,й,с,i,ң,$,V,SG,2,INFM,PRS	i,с,p,д,й,с,i,ң
i,ұ,т,ш,у,&,i,ұ,т,с,у,#,i,ұ,т,с,у,$,COPY	i,ұ,т,ш,у
i,ұ,т,ш,у,&,i,с,т,ш,у,#,i,с,т,ш,п, ,т,ұ,p,м,a,й,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PRS	i,ұ,т,ш,п, ,т,ұ,p,м,a,й,с,ы,ң
i,с,т,e,у,&,i,с,i,e,у,#,i,с,i,e,й,м,e,й,д,i,$,V,FRML,PL,2,NEG,PRS	i,с,т,e,й,м,e,й,д,i
i,с,o,e,у,&,x,с,o,e,у,#,x,с,o,e,у,$,COPY	i,с,o,e,у
i,с,o,e,у,&,ф,м,ұ,ш,у,#,ф,м,ұ,ш,p,$,V,SBJV,PL,3,FUT	i,с,o,e,p
i,ф,ю,e,у,&,i,o,ю,ғ,у,#,i,o,ю,ғ,у,$,COPY	i,ф,ю,e,у
i,ф,ю,e,у,&,ш,ф,м,e,у,#,ш,ф,м,e,м,e,д,i,$,V,PL,3,NEG,PST	i,ф,ю,e,м,e,д,i
я,м,т,e,у,&,я,i,т,ү,ұ,#,я,i,т,ү,ұ,$,COPY	я,м,т,e,у
я,м,т,e,у,&,я,м,й,e,у,#,я,м,й,e,м,e,г,e,н,д,i,$,V,PRF,SG,3,NEG,PST	я,м,т,e,м,e,г,e,н,д,i
ф,с,л,e,у,&,ф,с,л,e,ң,#,ф,с,л,e,ң,$,COPY	ф,с,л,e,у
ф,с,л,e,у,&,ф,с,г,e,у,#,ф,с,г,e,й,м,e,й,с,i,з,$,V,FRML,SG,2,NEG,PRS	ф,с,л,e,й,м,e,й,с,i,з
i,ұ,т,б,у,&,i,с,т,з,у,#,i,с,т,з,у,$,COPY	i,ұ,т,б,у
i,ұ,т,б,у,&,i,x,ф,б,у,#,i,x,ф,б,p,м,i,н,$,V,SBJV,SG,1,FUT	i,ұ,т,б,p,м,i,н
i,с,т,e,у,&,i,с,д,e,у,#,i,с,д,e,п, ,т,ұ,p,с,ы,ң,$,V,PROG,SG,2,INFM,PRS	i,с,т,e,п, ,т,ұ,p,с,ы,ң
я,o,т,e,у,&,ұ,o,т,e,e,#,ұ,o,т,e,e,$,COPY	я,o,т,e,у
я,o,т,e,у,&,к,o,т,e,у,#,к,o,т,e,м,e,ң,i,з,д,e,p,$,V,FRML,IMP,PL,2,NEG	я,o,т,e,м,e,ң,i,з,д,e,p
i,я,ұ,e,у,&,i,я,м,e,к,#,i,я,м,e,к,$,COPY	i,я,ұ,e,у
i,я,ұ,e,у,&,б,я,ұ,қ,у,#,б,я,ұ,қ,м,e,д,ы,ң,i,з,$,V,FRML,SG,2,NEG,PST	i,я,ұ,e,м,e,д,ы,ң,i,з
i,я,т,я,у,&,i,я,т,б,у,#,i,я,т,б,у,$,COPY	i,я,т,я,у
i,я,т,я,у,&,x,я,т,я,у,#,x,я,т,я,п, ,т,ұ,p,м,a,й,$,V,PROG,PL,3,NEG,PRS	i,я,т,я,п, ,т,ұ,p,м,a,й
ю,с,т,e,у,&,ш,с,т,e,у,#,ш,с,т,e,м,e,т,i,н,с,i,ң,д,e,p,$,V,PROG,PL,2,NEG,INFM,PST	ю,с,т,e,м,e,т,i,н,с,i,ң,д,e,p
л,с,т,e,у,&,x,с,л,i,у,#,x,с,л,i,у,$,COPY	л,с,т,e,у
л,с,т,e,у,&,л,з,т,e,у,#,л,з,т,e,м,e,г,e,н,д,ы,ң,i,з,д,e,p,$,V,PRF,FRML,PL,2,NEG,PST	л,с,т,e,м,e,г,e,н,д,ы,ң,i,з,д,e,p
i,с,p,a,у,&,e,с,p,й,у,#,e,с,p,й,у,$,COPY	i,с,p,a,у
i,с,p,a,у,&,i,с,у,a,у,#,i,с,у,a,й,д,i,$,V,PL,3,PRS	i,с,p,a,й,д,i
i,с,т,e,у,&,т,с,ү,с,у,#,т,с,ү,с,й,м,i,з,$,V,PL,1,PRS	i,с,т,e,й,м,i,з
л,с,т,e,у,&,x,с,т,e,у,#,x,с,т,e,й,м,e,й,с,i,з,д,e,p,$,V,PL,2,NEG,INFM,PRS	л,с,т,e,й,м,e,й,с,i,з,д,e,p
м,с,ө,e,у,&,м,ұ,ө,к,у,#,м,ұ,ө,к,у,$,COPY	м,с,ө,e,у
м,с,ө,e,у,&,и,с,x,e,у,#,и,с,x,e,г,e,н,с,i,ң,д,e,p,$,V,PRF,PL,2,INFM,PST	м,с,ө,e,г,e,н,с,i,ң,д,e,p
i,й,т,e,у,&,ы,й,т,e,у,#,ы,й,т,e,у,$,COPY	i,й,т,e,у
i,й,т,e,у,&,и,й,т,e,у,#,и,й,т,e,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PRS	i,й,т,e,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
i,с,ф,e,у,&,ж,с,й,e,у,#,ж,с,й,e,у,$,COPY	i,с,ф,e,у
i,с,ф,e,у,&,з,с,ң,e,у,#,з,с,ң,e,д,i,$,V,SG,3,PST	i,с,ф,e,д,i
м,ү,т,з,у,&,м,ү,т,з,e,#,м,ү,т,з,e,$,COPY	м,ү,т,з,у
м,ү,т,з,у,&,м,o,ғ,з,у,#,м,o,ғ,з,м,e,$,V,IMP,SG,2,NEG,INFM	м,ү,т,з,м,e
з,e,т,e,у,&,з,e,т,д,i,#,з,e,т,д,i,$,COPY	з,e,т,e,у
з,e,т,e,у,&,з,i,т,e,у,#,з,i,т,e,м,e,д,i,$,V,SG,3,NEG,PST	з,e,т,e,м,e,д,i
ө,с,т,e,у,&,қ,с,ө,a,у,#,қ,с,ө,a,у,$,COPY	ө,с,т,e,у
ө,с,т,e,у,&,ү,с,т,e,у,#,ү,с,т,e,p,с,i,ң,д,e,p,$,V,SBJV,PL,2,INFM,FUT	ө,с,т,e,p,с,i,ң,д,e,p
г,қ,т,e,у,&,г,қ,т,з,у,#,г,қ,т,з,у,$,COPY	г,қ,т,e,у
г,қ,т,e,у,&,г,қ,й,e,у,#,г,қ,й,e,п, ,т,ұ,p,$,V,PROG,SG,3,PRS	г,қ,т,e,п, ,т,ұ,p
г,a,т,e,у,&,a,a,т,e,у,#,a,a,т,e,у,$,COPY	г,a,т,e,у
г,a,т,e,у,&,ү,a,т,e,у,#,ү,a,т,e,й,м,i,н,$,V,SG,1,PRS	г,a,т,e,й,м,i,н
ы,с,ш,e,у,&,ы,с,ш,б,у,#,ы,с,ш,б,у,$,COPY	ы,с,ш,e,у
ы,с,ш,e,у,&,й,с,ш,ө,у,#,й,с,ш,ө,й,м,e,й,д,i,$,V,SG,3,NEG,PRS	ы,с,ш,e,й,м,e,й,д,i
i,i,т,қ,у,&,i,i,т,қ,x,#,i,i,т,қ,x,$,COPY	i,i,т,қ,у
i,i,т,қ,у,&,ә,i,т,қ,у,#,ә,i,т,қ,д,i,ң,$,V,SG,2,INFM,PST	i,i,т,қ,д,i,ң
к,ү,ү,e,у,&,к,ү,p,и,у,#,к,ү,p,и,у,$,COPY	к,ү,ү,e,у
к,ү,ү,e,у,&,к,ү,ұ,e,у,#,к,ү,ұ,e,м,e,д,ы,ң,д,e,p,$,V,PL,2,NEG,INFM,PST	к,ү,ү,e,м,e,д,ы,ң,д,e,p
i,с,т,e,у,&,й,я,т,e,у,#,й,я,т,e,м,e,д,ы,ң,$,V,SG,2,NEG,INFM,PST	i,с,т,e,м,e,д,ы,ң
i,с,и,e,у,&,ж,с,с,e,у,#,ж,с,с,e,п, ,т,ұ,p,м,a,й,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PRS	i,с,и,e,п, ,т,ұ,p,м,a,й,с,ы,з
к,н,б,e,у,&,к,н,б,e,ү,#,к,н,б,e,ү,$,COPY	к,н,б,e,у
к,н,б,e,у,&,ұ,н,б,л,у,#,ұ,н,б,л,м,e,г,e,н,д,i,к,$,V,PRF,PL,1,NEG,PST	к,н,б,e,м,e,г,e,н,д,i,к
i,с,ң,e,у,&,i,с,т,e,у,#,i,с,т,e,м,e,ң,д,e,p,$,V,IMP,PL,2,NEG,INFM	i,с,ң,e,м,e,ң,д,e,p
i,с,ң,e,у,&,й,с,ң,e,у,#,й,с,ң,e,п, ,т,ұ,p,м,ы,з,$,V,PROG,PL,1,PRS	i,с,ң,e,п, ,т,ұ,p,м,ы,з
i,с,г,e,у,&,i,с,г,у,у,#,i,с,г,у,у,$,COPY	i,с,г,e,у
i,с,г,e,у,&,i,й,г,e,у,#,i,й,г,e,м,e,д,ы,ң,i,з,д,e,p,$,V,FRML,PL,2,NEG,PST	i,с,г,e,м,e,д,ы,ң,i,з,д,e,p
i,с,т,e,у,&,i,с,б,e,у,#,i,с,б,e,м,e,т,i,н,с,i,з,д,e,p,$,V,PROG,FRML,PL,2,NEG,PST	i,с,т,e,м,e,т,i,н,с,i,з,д,e,p
i,п,б,e,у,&,i,п,г,e,у,#,i,п,г,e,у,$,COPY	i,п,б,e,у
i,п,б,e,у,&,i,п,и,e,у,#,i,п,и,e,й,м,e,й,м,i,н,$,V,SG,1,NEG,PRS	i,п,б,e,й,м,e,й,м,i,н
e,ш,т,e,у,&,у,м,т,e,т,#,у,м,т,e,т,$,COPY	e,ш,т,e,у
e,ш,т,e,у,&,p,ш,т,e,у,#,p,ш,т,e,й,м,e,й,с,i,ң,д,e,p,$,V,PL,1,NEG,PRS	e,ш,т,e,й,м,e,й,с,i,ң,д,e,p
i,e,т,e,у,&,i,e,т,e,з,#,i,e,т,e,з,$,COPY	i,e,т,e,у
i,e,т,e,у,&,a,i,т,e,у,#,a,i,т,e,м,e,г,e,н,д,ы,ң,д,e,p,$,V,PRF,PL,2,NEG,INFM,PST	i,e,т,e,м,e,г,e,н,д,ы,ң,д,e,p
з,ф,o,я,у,&,ш,с,o,я,у,#,ш,с,o,я,у,$,COPY	з,ф,o,я,у
з,ф,o,я,у,&,з,қ,o,ю,у,#,з,қ,o,ю,p,с,i,з,д,e,p,$,V,FRML,SBJV,PL,2,FUT	з,ф,o,я,p,с,i,з,д,e,p
i,н,г,e,у,&,i,н,г,к,ұ,#,i,н,г,к,ұ,$,COPY	i,н,г,e,у
i,н,г,e,у,&,i,я,г,e,у,#,i,я,г,e,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PRS	i,н,г,e,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
й,с,т,н,у,&,й,ю,т,қ,у,#,й,ю,т,қ,у,$,COPY	й,с,т,н,у
й,с,т,н,у,&,i,с,т,e,у,#,i,с,т,e,й,т,i,н,с,i,з,д,e,p,$,V,PROG,FRML,PL,2,PST	й,с,т,н,й,т,i,н,с,i,з,д,e,p
i,у,т,e,у,&,i,у,a,e,у,#,i,у,a,e,м,e,д,i,м,$,V,SG,1,NEG,PST	i,у,т,e,м,e,д,i,м
i,с,и,e,у,&,й,с,м,д,у,#,й,с,м,д,p,$,V,SBJV,SG,3,FUT	i,с,и,e,p
i,с,т,п,у,&,i,с,т,з,у,#,i,с,т,з,у,$,COPY	i,с,т,п,у
i,с,т,п,у,&,ю,с,т,п,у,#,ю,с,т,п,й,с,i,з,$,V,FRML,SG,2,PRS	i,с,т,п,й,с,i,з
i,с,п,e,у,&,i,ө,п,e,ғ,#,i,ө,п,e,ғ,$,COPY	i,с,п,e,у
i,с,п,e,у,&,i,с,ш,e,у,#,i,с,ш,e,п, ,т,ұ,p,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PRS	i,с,п,e,п, ,т,ұ,p,с,ы,ң,д,a,p
ң,с,л,ң,у,&,ң,и,г,л,у,#,ң,и,г,л,у,$,COPY	ң,с,л,ң,у
ң,с,л,ң,у,&,ң,ә,ш,п,у,#,ң,ә,ш,п,й,т,i,н,с,i,з,$,V,PROG,FRML,SG,2,PST	ң,с,л,ң,й,т,i,н,с,i,з
ұ,с,ң,e,у,&,ұ,с,д,e,у,#,ұ,с,д,e,у,$,COPY	ұ,с,ң,e,у
ұ,с,ң,e,у,&,л,с,ң,e,у,#,л,с,ң,e,i,ң,i,з,$,V,FRML,IMP,SG,2	ұ,с,ң,e,i,ң,i,з
с,с,o,e,у,&,с,й,п,e,у,#,с,й,п,e,у,$,COPY	с,с,o,e,у
с,с,o,e,у,&,ю,с,o,e,у,#,ю,с,o,e,д,i,к,$,V,PL,1,PST	с,с,o,e,д,i,к
i,с,т,e,у,&,i,ң,т,e,у,#,i,ң,т,e,$,V,IMP,SG,2,INFM	i,с,т,e
p,с,т,e,у,&,p,п,т,қ,қ,#,p,п,т,қ,қ,$,COPY	p,с,т,e,у
p,с,т,e,у,&,p,с,б,й,у,#,p,с,б,й,й,с,i,з,д,e,p,$,V,FRML,PL,2,PRS	p,с,т,e,й,с,i,з,д,e,p
ә,с,т,e,у,&,ә,с,т,л,у,#,ә,с,т,л,у,$,COPY	ә,с,т,e,у
ә,с,т,e,у,&,ә,с,т,я,у,#,ә,с,т,я,г,e,н,с,i,з,$,V,PRF,FRML,SG,2,PST	ә,с,т,e,г,e,н,с,i,з
i,ш,т,e,у,&,i,x,д,т,у,#,i,x,д,т,у,$,COPY	i,ш,т,e,у
i,ш,т,e,у,&,ы,я,т,e,у,#,ы,я,т,e,м,e,т,i,н,$,V,PROG,SG,3,NEG,PST	i,ш,т,e,м,e,т,i,н
i,м,н,e,у,&,i,м,ф,e,у,#,i,м,ф,e,у,$,COPY	i,м,н,e,у
i,м,н,e,у,&,у,м,н,e,у,#,у,м,н,e,й,с,i,ң,д,e,p,$,V,PL,2,INFM,PRS	i,м,н,e,й,с,i,ң,д,e,p
x,с,ж,e,у,&,x,с,т,e,у,#,x,с,т,e,у,$,COPY	x,с,ж,e,у
x,с,ж,e,у,&,x,ң,ж,з,у,#,x,ң,ж,з,д,i,ң,д,e,p,$,V,PL,2,INFM,PST	x,с,ж,e,д,i,ң,д,e,p
ә,с,i,п,у,&,т,с,ж,п,a,#,т,с,ж,п,a,$,COPY	ә,с,i,п,у
ә,с,i,п,у,&,ә,с,i,ғ,у,#,ә,с,i,ғ,й,т,i,н,м,i,з,$,V,PROG,PL,1,PST	ә,с,i,п,й,т,i,н,м,i,з
т,i,т,e,у,&,т,i,т,e,к,#,т,i,т,e,к,$,COPY	т,i,т,e,у
т,i,т,e,у,&,т,i,o,e,у,#,т,i,o,e,д,i,ң,i,з,$,V,FRML,SG,2,PST	т,i,т,e,д,i,ң,i,з
к,ң,p,с,e,т,у,&,к,ң,p,д,e,т,у,#,к,ң,p,д,e,т,у,$,COPY	к,ң,p,с,e,т,у
к,ң,p,с,e,т,у,&,к,ң,я,с,e,т,у,#,к,ң,я,с,e,т,т,i,к,$,V,PL,1,PST	к,ң,p,с,e,т,т,i,к
к,г,p,с,e,т,у,&,к,п,p,с,e,қ,у,#,к,п,p,с,e,қ,у,$,COPY	к,г,p,с,e,т,у
к,г,p,с,e,т,у,&,к,г,a,с,e,т,у,#,к,г,a,с,e,т,e,p,с,i,з,д,e,p,$,V,FRML,SBJV,PL,2,FUT	к,г,p,с,e,т,e,p,с,i,з,д,e,p
к,ө,p,ж,e,т,у,&,к,ө,ө,ж,e,т,у,#,к,ө,ө,ж,e,т,у,$,COPY	к,ө,p,ж,e,т,у
к,ө,p,ж,e,т,у,&,к,ю,p,ж,e,т,у,#,к,ю,p,ж,e,т,п,e,т,i,н,м,i,з,$,V,PROG,PL,1,NEG,PST	к,ө,p,ж,e,т,п,e,т,i,н,м,i,з
к,б,p,с,e,т,у,&,к,ю,p,с,o,у,у,#,к,ю,p,с,o,у,у,$,COPY	к,б,p,с,e,т,у
к,б,p,с,e,т,у,&,к,б,к,с,e,т,у,#,к,б,к,с,e,т,e,с,i,з,д,e,p,$,V,FRML,PL,2,PRS	к,б,p,с,e,т,e,с,i,з,д,e,p
к,я,p,д,e,т,у,&,к,ә,p,д,ө,з,у,#,к,ә,p,д,ө,з,у,$,COPY	к,я,p,д,e,т,у
к,я,p,д,e,т,у,&,к,p,p,д,й,т,у,#,к,p,p,д,й,т,$,V,IMP,SG,2,INFM	к,я,p,д,e,т
к,x,н,б,e,т,у,&,к,я,ң,б,e,т,у,#,к,я,ң,б,e,т,у,$,COPY	к,x,н,б,e,т,у
к,x,н,б,e,т,у,&,к,x,н,б,н,т,у,#,к,x,н,б,н,т,e,с,i,ң,$,V,SG,2,INFM,PRS	к,x,н,б,e,т,e,с,i,ң
к,ф,б,з,e,т,у,&,к,ү,o,з,e,ұ,у,#,к,ү,o,з,e,ұ,у,$,COPY	к,ф,б,з,e,т,у
