l,i,a,&,s,i,a,#,s,i,a,$,COPY	l,i,a
k,l,n,j,h,&,k,l,n,w,h,#,k,l,n,w,h,$,COPY	k,l,n,j,h
k,l,n,j,h,&,k,l,i,l,h,#,w,a,l,i,k,l,i,l,h,$,V,FIN,IND,PL,3,PST	w,a,l,i,k,l,n,j,h
l,g,f,j,a,&,l,g,f,j,z,#,l,g,f,j,z,$,COPY	l,g,f,j,a
l,g,f,j,a,&,f,g,i,o,a,#,u,h,u,f,g,i,o,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,l,g,f,j,a
k,j,n,j,j,&,m,j,n,j,b,#,m,j,n,j,b,$,COPY	k,j,n,j,j
k,j,n,j,j,&,c,j,n,j,j,#,u,a,c,j,n,j,j,$,V,INDF,FIN,IND,SG,2,PRS	u,a,k,j,n,j,j
k,t,n,c,a,&,k,r,i,c,a,#,k,r,i,c,a,$,COPY	k,t,n,c,a
k,t,n,c,a,&,k,t,n,c,b,#,a,a,k,t,n,c,b,$,V,INDF,FIN,IND,SG,3,PRS	a,a,k,t,n,c,a
k,j,j,w,u,&,p,j,j,w,u,#,p,j,j,w,u,$,COPY	k,j,j,w,u
k,j,j,w,u,&,k,z,j,w,u,#,t,u,m,e,k,z,j,w,u,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,k,j,j,w,u
u,u,n,j,y,&,u,u,n,s,y,#,u,u,n,s,y,$,COPY	u,u,n,j,y
u,u,n,j,y,&,r,u,n,j,y,#,m,t,a,r,u,n,j,y,$,V,FIN,IND,PL,2,FUT	m,t,a,u,u,n,j,y
o,l,n,j,a,&,o,l,n,f,b,#,o,l,n,f,b,$,COPY	o,l,n,j,a
o,l,n,j,a,&,b,l,n,j,a,#,w,a,n,g,a,l,i,b,l,n,j,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,o,l,n,j,a
p,i,g,j,a,&,p,p,g,c,l,#,p,p,g,c,l,$,COPY	p,i,g,j,a
p,i,g,j,a,&,p,i,g,j,k,#,a,n,a,p,i,g,j,k,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,p,i,g,j,a
k,h,y,j,a,&,k,n,y,j,a,#,k,n,y,j,a,$,COPY	k,h,y,j,a
k,h,y,j,a,&,k,h,g,e,u,#,n,i,t,a,k,h,g,e,u,$,V,FIN,IND,SG,1,FUT	n,i,t,a,k,h,y,j,a
i,g,n,u,p,&,i,g,n,n,p,#,i,g,n,n,p,$,COPY	i,g,n,u,p
i,g,n,u,p,&,f,m,i,u,p,#,a,l,i,f,m,i,u,p,$,V,FIN,IND,SG,3,PST	a,l,i,i,g,n,u,p
t,u,n,j,a,&,l,u,n,j,a,#,l,u,n,j,a,$,COPY	t,u,n,j,a
t,u,n,j,a,&,t,u,s,j,a,#,m,a,t,u,s,j,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,t,u,n,j,a
k,a,h,j,a,&,k,a,n,j,a,#,k,a,n,j,a,$,COPY	k,a,h,j,a
k,a,h,j,a,&,l,w,h,j,a,#,m,m,e,l,w,h,j,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,k,a,h,j,a
p,j,n,j,a,&,h,j,n,j,a,#,h,j,n,j,a,$,COPY	p,j,n,j,a
p,j,n,j,a,&,p,j,n,j,w,#,t,u,t,a,p,j,n,j,w,$,V,FIN,IND,PL,1,FUT	t,u,t,a,p,j,n,j,a
p,w,t,&,p,n,t,#,p,n,t,$,COPY	p,w,t
p,w,t,&,p,w,u,#,w,a,n,a,p,w,u,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,p,w,t
p,e,n,&,p,o,n,#,n,i,a,p,o,n,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,p,e,n
p,m,a,&,l,m,c,#,a,l,i,l,m,c,$,V,FIN,IND,SG,3,PST	a,l,i,p,m,a
m,e,h,&,m,w,h,#,m,w,h,$,COPY	m,e,h
m,e,h,&,m,h,k,#,u,l,i,m,h,k,$,V,FIN,IND,SG,2,PST	u,l,i,m,e,h
o,e,o,&,b,p,o,#,b,p,o,$,COPY	o,e,o
o,e,o,&,f,e,n,#,a,a,f,e,n,$,V,INDF,FIN,IND,SG,3,PRS	a,a,o,e,o
p,e,a,&,p,f,p,#,u,t,a,p,f,p,$,V,FIN,IND,SG,2,FUT	u,t,a,p,e,a
p,e,a,&,p,y,a,#,t,u,m,e,p,y,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,p,e,a
u,e,a,&,d,e,a,#,m,h,u,d,e,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,u,e,a
p,b,i,&,u,b,i,#,u,b,i,$,COPY	p,b,i
p,b,i,&,p,b,g,#,m,m,e,p,b,g,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,p,b,i
p,e,c,&,j,e,c,#,m,t,a,j,e,c,$,V,FIN,IND,PL,2,FUT	m,t,a,p,e,c
w,e,a,&,w,e,w,#,a,h,u,w,e,w,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,w,e,a
s,e,a,&,y,p,a,#,u,a,y,p,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,s,e,a
u,e,a,&,u,e,b,#,n,i,l,i,u,e,b,$,V,FIN,IND,SG,1,PST	n,i,l,i,u,e,a
l,e,e,&,l,c,e,#,l,c,e,$,COPY	l,e,e
l,e,e,&,g,e,d,#,m,n,g,e,g,e,d,$,V,FIN,COND,PL,2,PRS	m,n,g,e,l,e,e
h,e,a,&,h,b,f,#,u,n,g,a,l,i,h,b,f,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,h,e,a
s,e,a,&,h,e,a,#,m,n,g,a,l,i,h,e,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,s,e,a
r,l,a,&,o,b,a,#,t,u,a,o,b,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,r,l,a
f,n,a,&,f,j,a,#,u,n,a,f,j,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,f,n,a
p,e,a,&,e,e,y,#,w,a,n,g,a,l,i,e,e,y,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,p,e,a
p,r,a,&,p,m,a,#,p,m,a,$,COPY	p,r,a
p,r,a,&,p,r,g,#,u,m,e,p,r,g,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,p,r,a
p,f,c,&,d,f,g,#,d,f,g,$,COPY	p,f,c
p,f,c,&,c,f,c,#,n,i,h,u,c,f,c,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,p,f,c
g,e,p,&,y,t,p,#,y,t,p,$,COPY	g,e,p
g,e,p,&,g,u,p,#,a,n,g,a,l,i,g,u,p,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,g,e,p
p,b,a,&,m,b,e,#,m,b,e,$,COPY	p,b,a
p,b,a,&,f,t,f,#,t,u,h,u,f,t,f,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,p,b,a
p,e,a,&,i,n,a,#,a,m,e,i,n,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,p,e,a
p,b,d,&,i,b,d,#,i,b,d,$,COPY	p,b,d
p,b,d,&,p,p,z,#,w,a,a,p,p,z,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,p,b,d
r,m,a,&,r,m,e,#,r,m,e,$,COPY	r,m,a
r,m,a,&,r,p,j,#,n,i,m,e,r,p,j,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,r,m,a
o,f,u,&,j,h,u,#,j,h,u,$,COPY	o,f,u
o,f,u,&,o,f,h,#,n,i,n,g,a,l,i,o,f,h,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,o,f,u
p,n,z,&,p,n,t,#,p,n,t,$,COPY	p,n,z
p,n,z,&,p,z,a,#,a,n,a,p,z,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,p,n,z
p,e,b,&,p,l,b,#,k,u,p,l,b,$,V,FIN	k,u,p,e,b
a,e,a,&,a,g,a,#,w,a,l,i,a,g,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,a,e,a
p,l,m,&,k,l,m,#,k,l,m,$,COPY	p,l,m
p,l,m,&,r,l,h,#,n,i,n,a,r,l,h,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,p,l,m
o,e,a,&,o,e,w,#,u,n,g,e,o,e,w,$,V,FIN,COND,SG,2,PRS	u,n,g,e,o,e,a
m,e,a,&,m,e,u,#,m,e,u,$,COPY	m,e,a
m,e,a,&,p,e,a,#,m,l,i,p,e,a,$,V,FIN,IND,PL,2,PST	m,l,i,m,e,a
p,m,g,&,p,i,g,#,p,i,g,$,COPY	p,m,g
p,m,g,&,p,h,l,#,a,n,g,e,p,h,l,$,V,FIN,COND,SG,3,PRS	a,n,g,e,p,m,g
c,i,a,&,f,h,k,#,t,u,t,a,f,h,k,$,V,FIN,IND,PL,1,FUT	t,u,t,a,c,i,a
p,e,a,&,p,e,t,#,t,u,n,g,e,p,e,t,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,p,e,a
p,e,p,&,k,e,p,#,n,i,t,a,k,e,p,$,V,FIN,IND,SG,1,FUT	n,i,t,a,p,e,p
m,e,g,&,c,z,g,#,c,z,g,$,COPY	m,e,g
m,e,g,&,t,e,g,#,m,n,a,t,e,g,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,m,e,g
p,e,o,&,y,p,o,#,y,p,o,$,COPY	p,e,o
p,e,o,&,p,r,o,#,t,u,n,a,p,r,o,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,p,e,o
p,e,a,&,p,y,f,#,w,a,h,u,p,y,f,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,p,e,a
o,j,a,&,b,j,a,#,b,j,a,$,COPY	o,j,a
o,j,a,&,o,j,p,#,w,a,n,g,e,o,j,p,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,o,j,a
p,c,a,&,p,m,z,#,a,t,a,p,m,z,$,V,FIN,IND,SG,3,FUT	a,t,a,p,c,a
c,p,h,&,e,p,h,#,e,p,h,$,COPY	c,p,h
c,p,h,&,c,y,y,#,w,a,m,e,c,y,y,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,c,p,h
p,e,a,&,p,e,w,#,t,u,n,g,a,l,i,p,e,w,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,p,e,a
c,e,a,&,c,h,a,#,m,a,c,h,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,c,e,a
n,c,g,&,n,k,g,#,n,k,g,$,COPY	n,c,g
n,c,g,&,n,y,w,#,n,i,n,g,e,n,y,w,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,n,c,g
t,t,a,&,i,k,a,#,t,u,l,i,i,k,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,t,t,a
p,l,a,&,p,r,a,#,p,r,a,$,COPY	p,l,a
p,l,a,&,o,l,a,#,u,h,u,o,l,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,p,l,a
i,e,p,&,e,e,a,#,e,e,a,$,COPY	i,e,p
i,e,p,&,i,e,y,#,w,a,t,a,i,e,y,$,V,FIN,IND,PL,3,FUT	w,a,t,a,i,e,p
s,i,m,c,m,a,&,s,i,m,o,y,a,#,u,m,e,s,i,m,o,y,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,s,i,m,c,m,a
s,i,m,p,m,a,&,s,i,m,p,t,a,#,w,a,t,a,s,i,m,p,t,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,s,i,m,p,m,a
s,i,b,a,m,a,&,s,b,r,a,m,a,#,s,b,r,a,m,a,$,COPY	s,i,b,a,m,a
s,i,b,a,m,a,&,s,i,b,p,m,a,#,m,m,e,s,i,b,p,m,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,s,i,b,a,m,a
s,p,m,b,m,a,&,s,p,u,b,m,a,#,s,p,u,b,m,a,$,COPY	s,p,m,b,m,a
s,p,m,b,m,a,&,s,j,t,b,m,a,#,a,n,g,e,s,j,t,b,m,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,s,p,m,b,m,a
s,o,p,a,t,a,&,s,k,p,a,w,a,#,s,k,p,a,w,a,$,COPY	s,o,p,a,t,a
s,o,p,a,t,a,&,s,o,p,p,t,a,#,t,u,n,a,s,o,p,p,t,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,s,o,p,a,t,a
s,i,m,k,z,a,&,s,u,m,w,z,a,#,s,u,m,w,z,a,$,COPY	s,i,m,k,z,a
s,i,m,k,z,a,&,s,i,m,o,z,a,#,m,t,a,s,i,m,o,z,a,$,V,FIN,IND,PL,2,FUT	m,t,a,s,i,m,k,z,a
s,o,m,a,b,a,&,s,o,r,u,b,a,#,s,o,r,u,b,a,$,COPY	s,o,m,a,b,a
s,o,m,a,b,a,&,s,o,m,d,b,a,#,n,i,l,i,s,o,m,d,b,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,s,o,m,a,b,a
s,i,m,u,m,a,&,s,z,z,u,m,a,#,t,u,n,g,a,l,i,s,z,z,u,m,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,s,i,m,u,m,a
s,i,b,o,j,a,&,s,i,z,f,j,a,#,s,i,z,f,j,a,$,COPY	s,i,b,o,j,a
s,i,b,o,j,a,&,s,i,b,o,l,a,#,t,u,a,s,i,b,o,l,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,s,i,b,o,j,a
s,b,m,a,m,a,&,s,b,w,a,t,a,#,s,b,w,a,t,a,$,COPY	s,b,m,a,m,a
s,b,m,a,m,a,&,s,b,k,a,m,a,#,u,n,g,a,l,i,s,b,k,a,m,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,s,b,m,a,m,a
s,n,z,a,j,a,&,s,n,z,n,j,a,#,s,n,z,n,j,a,$,COPY	s,n,z,a,j,a
s,n,z,a,j,a,&,s,y,z,a,j,a,#,a,t,a,s,y,z,a,j,a,$,V,FIN,IND,SG,3,FUT	a,t,a,s,n,z,a,j,a
s,u,m,a,l,a,&,s,n,a,a,f,a,#,s,n,a,a,f,a,$,COPY	s,u,m,a,l,a
s,u,m,a,l,a,&,s,w,e,a,l,a,#,w,a,n,g,a,l,i,s,w,e,a,l,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,s,u,m,a,l,a
s,i,j,h,d,a,&,s,i,j,b,d,a,#,s,i,j,b,d,a,$,COPY	s,i,j,h,d,a
s,i,j,h,d,a,&,s,i,p,h,a,a,#,t,u,m,e,s,i,p,h,a,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,s,i,j,h,d,a
s,f,d,a,w,a,&,s,f,d,a,e,a,#,s,f,d,a,e,a,$,COPY	s,f,d,a,w,a
s,f,d,a,w,a,&,s,f,d,a,b,a,#,u,h,u,s,f,d,a,b,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,s,f,d,a,w,a
s,d,z,a,m,a,&,s,d,y,b,m,a,#,s,d,y,b,m,a,$,COPY	s,d,z,a,m,a
s,d,z,a,m,a,&,s,d,m,o,m,a,#,a,n,a,s,d,m,o,m,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,s,d,z,a,m,a
s,h,m,a,m,a,&,s,m,m,a,m,a,#,s,m,m,a,m,a,$,COPY	s,h,m,a,m,a
s,h,m,a,m,a,&,s,h,j,a,m,a,#,n,i,m,e,s,h,j,a,m,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,s,h,m,a,m,a
s,i,o,a,m,a,&,s,i,s,a,m,a,#,s,i,s,a,m,a,$,COPY	s,i,o,a,m,a
s,i,o,a,m,a,&,s,i,m,a,m,a,#,a,l,i,s,i,m,a,m,a,$,V,FIN,IND,SG,3,PST	a,l,i,s,i,o,a,m,a
s,i,m,i,u,a,&,s,i,m,c,u,a,#,s,i,m,c,u,a,$,COPY	s,i,m,i,u,a
s,i,m,i,u,a,&,s,l,m,i,u,a,#,t,u,n,g,e,s,l,m,i,u,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,s,i,m,i,u,a
s,p,w,p,m,a,&,s,p,w,i,o,a,#,s,p,w,i,o,a,$,COPY	s,p,w,p,m,a
s,p,w,p,m,a,&,s,p,w,p,w,a,#,a,a,s,p,w,p,w,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,s,p,w,p,m,a
s,a,m,o,m,a,&,s,e,m,o,m,a,#,s,e,m,o,m,a,$,COPY	s,a,m,o,m,a
s,a,m,o,m,a,&,s,h,m,o,m,a,#,m,a,s,h,m,o,m,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,s,a,m,o,m,a
s,i,m,a,r,a,&,s,i,m,r,r,a,#,s,i,m,r,r,a,$,COPY	s,i,m,a,r,a
s,i,m,a,r,a,&,s,p,m,a,r,a,#,n,i,t,a,s,p,m,a,r,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,s,i,m,a,r,a
s,i,d,k,m,a,&,s,b,d,g,m,a,#,s,b,d,g,m,a,$,COPY	s,i,d,k,m,a
s,i,d,k,m,a,&,s,i,k,k,m,a,#,w,a,h,u,s,i,k,k,m,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,s,i,d,k,m,a
s,i,m,h,f,a,&,s,j,m,h,f,a,#,s,j,m,h,f,a,$,COPY	s,i,m,h,f,a
s,i,m,h,f,a,&,s,z,g,h,f,a,#,a,n,g,a,l,i,s,z,g,h,f,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,s,i,m,h,f,a
s,d,m,b,g,a,&,s,d,g,b,g,a,#,s,d,g,b,g,a,$,COPY	s,d,m,b,g,a
s,d,m,b,g,a,&,s,j,m,b,y,a,#,a,m,e,s,j,m,b,y,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,s,d,m,b,g,a
s,i,m,e,m,a,&,s,i,m,e,f,a,#,s,i,m,e,f,a,$,COPY	s,i,m,e,m,a
s,i,m,e,m,a,&,s,i,j,e,m,a,#,n,i,a,s,i,j,e,m,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,s,i,m,e,m,a
s,i,m,a,n,a,&,s,i,y,e,n,a,#,n,i,h,u,s,i,y,e,n,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,s,i,m,a,n,a
s,s,m,a,m,a,&,s,s,p,a,m,a,#,s,s,p,a,m,a,$,COPY	s,s,m,a,m,a
s,s,m,a,m,a,&,s,s,m,a,s,a,#,m,n,g,e,s,s,m,a,s,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,s,s,m,a,m,a
s,i,m,a,m,a,&,s,w,m,a,m,a,#,m,n,a,s,w,m,a,m,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,s,i,m,a,m,a
s,i,m,c,y,a,&,s,c,m,c,y,a,#,s,c,m,c,y,a,$,COPY	s,i,m,c,y,a
s,i,m,c,y,a,&,s,i,t,c,y,a,#,m,l,i,s,i,t,c,y,a,$,V,FIN,IND,PL,2,PST	m,l,i,s,i,m,c,y,a
s,i,m,d,m,a,&,s,z,m,d,m,a,#,s,z,m,d,m,a,$,COPY	s,i,m,d,m,a
s,i,m,d,m,a,&,s,a,m,d,m,a,#,m,h,u,s,a,m,d,m,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,s,i,m,d,m,a
s,i,a,k,m,a,&,s,i,a,w,m,a,#,s,i,a,w,m,a,$,COPY	s,i,a,k,m,a
s,i,a,k,m,a,&,s,i,a,k,i,a,#,a,h,u,s,i,a,k,i,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,s,i,a,k,m,a
s,e,z,d,m,a,&,s,g,u,d,m,a,#,s,g,u,d,m,a,$,COPY	s,e,z,d,m,a
s,e,z,d,m,a,&,s,e,w,d,m,a,#,n,i,n,a,s,e,w,d,m,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,s,e,z,d,m,a
s,u,e,a,m,a,&,s,u,e,a,n,a,#,s,u,e,a,n,a,$,COPY	s,u,e,a,m,a
s,u,e,a,m,a,&,s,u,h,b,m,a,#,u,l,i,s,u,h,b,m,a,$,V,FIN,IND,SG,2,PST	u,l,i,s,u,e,a,m,a
s,i,m,a,m,a,&,s,i,m,i,t,a,#,w,a,n,g,e,s,i,m,i,t,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,s,i,m,a,m,a
s,r,a,a,m,a,&,s,r,a,r,m,a,#,s,r,a,r,m,a,$,COPY	s,r,a,a,m,a
s,r,a,a,m,a,&,s,r,o,i,k,a,#,w,a,l,i,s,r,o,i,k,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,s,r,a,a,m,a
s,i,m,m,m,a,&,s,i,m,m,l,a,#,u,n,g,e,s,i,m,m,l,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,s,i,m,m,m,a
s,p,z,a,m,a,&,s,p,z,u,m,a,#,s,p,z,u,m,a,$,COPY	s,p,z,a,m,a
s,p,z,a,m,a,&,s,a,z,a,m,a,#,m,n,g,a,l,i,s,a,z,a,m,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,s,p,z,a,m,a
s,h,m,a,m,a,&,s,h,m,a,e,a,#,n,i,n,g,a,l,i,s,h,m,a,e,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,s,h,m,a,m,a
s,e,m,a,f,a,&,s,e,m,u,f,a,#,s,e,m,u,f,a,$,COPY	s,e,m,a,f,a
s,e,m,a,f,a,&,s,t,m,a,f,a,#,n,i,n,g,e,s,t,m,a,f,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,s,e,m,a,f,a
s,p,m,a,m,a,&,s,r,f,f,m,a,#,w,a,m,e,s,r,f,f,m,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,s,p,m,a,m,a
s,i,e,a,w,a,&,s,i,e,a,s,a,#,s,i,e,a,s,a,$,COPY	s,i,e,a,w,a
s,i,e,a,w,a,&,s,l,e,a,o,a,#,k,u,s,l,e,a,o,a,$,V,FIN	k,u,s,i,e,a,w,a
s,z,d,a,m,a,&,s,z,j,a,m,a,#,u,t,a,s,z,j,a,m,a,$,V,FIN,IND,SG,2,FUT	u,t,a,s,z,d,a,m,a
s,l,o,t,m,a,&,s,l,o,i,m,a,#,s,l,o,i,m,a,$,COPY	s,l,o,t,m,a
s,l,o,t,m,a,&,s,l,o,r,m,a,#,u,a,s,l,o,r,m,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,s,l,o,t,m,a
s,i,z,a,g,a,&,s,f,z,a,g,a,#,s,f,z,a,g,a,$,COPY	s,i,z,a,g,a
s,i,z,a,g,a,&,s,i,a,a,m,a,#,w,a,n,a,s,i,a,a,m,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,s,i,z,a,g,a
s,i,o,p,m,a,&,s,i,o,p,a,a,#,s,i,o,p,a,a,$,COPY	s,i,o,p,m,a
s,i,o,p,m,a,&,s,i,f,i,m,a,#,u,n,a,s,i,f,i,m,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,s,i,o,p,m,a
s,i,z,a,s,a,&,s,i,z,a,b,a,#,s,i,z,a,b,a,$,COPY	s,i,z,a,s,a
s,i,z,a,s,a,&,s,y,c,a,b,a,#,w,a,a,s,y,c,a,b,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,s,i,z,a,s,a
s,i,f,a,l,a,&,s,i,k,a,l,a,#,s,i,k,a,l,a,$,COPY	s,i,f,a,l,a
s,i,f,a,l,a,&,s,i,o,a,l,a,#,t,u,t,a,s,i,o,a,l,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,s,i,f,a,l,a
s,i,m,e,o,a,&,s,m,m,e,o,a,#,s,m,m,e,o,a,$,COPY	s,i,m,e,o,a
s,i,m,e,o,a,&,s,i,d,e,o,a,#,t,u,h,u,s,i,d,e,o,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,s,i,m,e,o,a
s,i,d,a,w,a,&,s,i,d,a,e,a,#,s,i,d,a,e,a,$,COPY	s,i,d,a,w,a
s,i,d,a,w,a,&,s,k,d,s,w,a,#,t,u,l,i,s,k,d,s,w,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,s,i,d,a,w,a
t,a,s,s,m,a,&,t,a,s,s,y,a,#,t,a,s,s,y,a,$,COPY	t,a,s,s,m,a
t,a,s,s,m,a,&,t,l,s,s,m,a,#,t,u,m,e,t,l,s,s,m,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,t,a,s,s,m,a
t,a,k,a,f,a,&,t,a,d,p,g,a,#,t,a,d,p,g,a,$,COPY	t,a,k,a,f,a
t,a,k,a,f,a,&,t,k,k,a,f,a,#,t,u,n,g,a,l,i,t,k,k,a,f,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,t,a,k,a,f,a
t,a,f,g,i,y,&,t,a,f,e,i,y,#,t,a,f,e,i,y,$,COPY	t,a,f,g,i,y
t,a,f,g,i,y,&,t,k,f,g,i,y,#,u,t,a,t,k,f,g,i,y,$,V,FIN,IND,SG,2,FUT	u,t,a,t,a,f,g,i,y
t,s,t,h,m,a,&,t,s,t,o,m,a,#,t,s,t,o,m,a,$,COPY	t,s,t,h,m,a
t,s,t,h,m,a,&,t,s,w,h,m,a,#,m,h,u,t,s,w,h,m,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,t,s,t,h,m,a
t,i,g,a,m,a,&,t,i,g,y,m,a,#,t,i,g,y,m,a,$,COPY	t,i,g,a,m,a
t,i,g,a,m,a,&,t,i,g,a,n,a,#,m,m,e,t,i,g,a,n,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,t,i,g,a,m,a
t,a,g,z,m,a,&,t,a,g,z,h,a,#,t,a,g,z,h,a,$,COPY	t,a,g,z,m,a
t,a,g,z,m,a,&,t,k,g,z,m,a,#,w,a,n,a,t,k,g,z,m,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,t,a,g,z,m,a
t,e,m,f,m,a,&,t,e,m,p,m,a,#,t,e,m,p,m,a,$,COPY	t,e,m,f,m,a
t,e,m,f,m,a,&,t,g,m,b,m,a,#,t,u,h,u,t,g,m,b,m,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,t,e,m,f,m,a
t,a,z,a,p,a,&,t,a,z,o,p,a,#,m,n,g,e,t,a,z,o,p,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,t,a,z,a,p,a
t,r,y,a,m,a,&,t,r,n,a,m,a,#,t,r,n,a,m,a,$,COPY	t,r,y,a,m,a
t,r,y,a,m,a,&,t,r,y,a,z,a,#,k,u,t,r,y,a,z,a,$,V,FIN	k,u,t,r,y,a,m,a
t,a,h,m,m,a,&,t,m,h,m,m,a,#,t,m,h,m,m,a,$,COPY	t,a,h,m,m,a
t,a,h,m,m,a,&,t,i,h,m,m,a,#,a,m,e,t,i,h,m,m,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,t,a,h,m,m,a
t,a,g,u,z,a,&,t,y,u,u,z,a,#,t,y,u,u,z,a,$,COPY	t,a,g,u,z,a
t,a,g,u,z,a,&,t,k,k,u,z,a,#,n,i,l,i,t,k,k,u,z,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,t,a,g,u,z,a
t,a,z,a,m,a,&,t,z,z,a,m,a,#,n,i,n,g,a,l,i,t,z,z,a,m,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,t,a,z,a,m,a
