к,ү,л,у,$,V,PL,1,NEG,PRS	к,ү,л,e,м,e,й,с,i,ң,д,e,p
т,ү,с,i,н,у,$,V,PROG,SG,1,PST	т,ү,с,i,н,e,т,i,н,м,i,н
т,ү,с,i,н,у,$,V,PRF,SG,3,NEG,PST	т,ү,с,i,н,м,e,г,e,н,д,i
т,ү,с,i,н,у,$,V,FRML,PL,2,PRS	т,ү,с,i,н,e,с,i,з,д,e,p
т,ү,с,i,н,у,$,V,PL,2,NEG,INFM,PRS	т,ү,с,i,н,e,м,e,й,с,i,з,д,e,p
т,ү,с,i,н,у,$,V,PRF,SG,1,NEG,PST	т,ү,с,i,н,м,e,г,e,н,д,i,м
т,ү,с,i,н,у,$,V,SBJV,SG,3,FUT	т,ү,с,i,н,e,p
т,ү,с,i,н,у,$,V,FRML,PL,2,PST	т,ү,с,i,н,д,i,ң,i,з,д,e,p
т,ү,с,i,н,у,$,V,FRML,IMP,SG,2,NEG	т,ү,с,i,н,м,e,ң,i,з
т,ү,с,i,н,у,$,V,SG,1,PST	т,ү,с,i,н,д,i,м
т,ү,с,i,н,у,$,V,SBJV,PL,3,FUT	т,ү,с,i,н,e,p
т,ү,с,i,н,у,$,V,FRML,SG,2,NEG,PST	т,ү,с,i,н,м,e,д,ы,ң,i,з
т,ү,с,i,н,у,$,V,PROG,PL,1,NEG,PST	т,ү,с,i,н,м,e,т,i,н,м,i,з
т,ү,с,i,н,у,$,V,FRML,PL,2,NEG,PST	т,ү,с,i,н,м,e,д,ы,ң,i,з,д,e,p
т,ү,с,i,н,у,$,V,PRF,FRML,SG,2,NEG,PST	т,ү,с,i,н,м,e,г,e,н,д,ы,ң,i,з
т,ү,с,i,н,у,$,V,FRML,SBJV,SG,2,FUT	т,ү,с,i,н,e,p,с,i,з
т,ү,с,i,н,у,$,V,PROG,SG,1,PRS	т,ү,с,i,н,i,п, ,т,ұ,p,м,ы,н
т,ү,с,i,н,у,$,V,PRF,SG,1,PST	т,ү,с,i,н,г,e,н,м,i,н
т,ү,с,i,н,у,$,V,SG,1,NEG,PRS	т,ү,с,i,н,e,м,e,й,м,i,н
т,ү,с,i,н,у,$,V,SBJV,PL,2,INFM,FUT	т,ү,с,i,н,e,p,с,i,ң,д,e,p
т,ү,с,i,н,у,$,V,SG,3,NEG,PST	т,ү,с,i,н,м,e,д,i
т,ү,с,i,н,у,$,V,SBJV,SG,2,INFM,FUT	т,ү,с,i,н,e,p,с,i,ң
т,ү,с,i,н,у,$,V,IMP,SG,2,INFM	т,ү,с,i,н
т,ү,с,i,н,у,$,V,SG,2,INFM,PRS	т,ү,с,i,н,e,с,i,ң
т,ү,с,i,н,у,$,V,FRML,IMP,SG,2	т,ү,с,i,н,i,ң,i,з
т,ү,с,i,н,у,$,V,PROG,FRML,SG,2,NEG,PRS	т,ү,с,i,н,i,п, ,т,ұ,p,м,a,й,с,ы,з
т,ү,с,i,н,у,$,V,PL,3,NEG,PRS	т,ү,с,i,н,e,м,e,й,м,i,з
т,ү,с,i,н,у,$,V,PROG,SG,2,INFM,PST	т,ү,с,i,н,e,т,i,н,с,i,ң
т,ү,с,i,н,у,$,V,PRF,SG,3,PST	т,ү,с,i,н,г,e,н
т,ү,с,i,н,у,$,V,PROG,PL,1,PRS	т,ү,с,i,н,i,п, ,т,ұ,p,м,ы,з
т,ү,с,i,н,у,$,V,PROG,PL,1,NEG,PRS	т,ү,с,i,н,i,п, ,т,ұ,p,м,a,й,м,ы,з
т,ү,с,i,н,у,$,V,PROG,PL,3,NEG,PST	т,ү,с,i,н,м,e,т,i,н
т,ү,с,i,н,у,$,V,PROG,SG,2,INFM,PRS	т,ү,с,i,н,i,п, ,т,ұ,p,с,ы,ң
т,ү,с,i,н,у,$,V,PRF,PL,1,PST	т,ү,с,i,н,г,e,н,м,i,з
т,ү,с,i,н,у,$,V,SG,2,NEG,INFM,PRS	т,ү,с,i,н,e,м,e,й,с,i,ң
т,ү,с,i,н,у,$,V,SBJV,PL,1,FUT	т,ү,с,i,н,e,p,м,i,з
т,ү,с,i,н,у,$,V,PL,1,NEG,PST	т,ү,с,i,н,м,e,д,i,к
т,ү,с,i,н,у,$,V,PL,2,NEG,INFM,PST	т,ү,с,i,н,м,e,д,ы,ң,д,e,p
т,ү,с,i,н,у,$,V,PRF,PL,3,NEG,PST	т,ү,с,i,н,м,e,г,e,н,д,i
т,ү,с,i,н,у,$,V,PROG,FRML,SG,2,PST	т,ү,с,i,н,e,т,i,н,с,i,з
т,ү,с,i,н,у,$,V,PROG,PL,2,INFM,PST	т,ү,с,i,н,e,т,i,н,с,i,ң,д,e,p
т,ү,с,i,н,у,$,V,PL,3,NEG,PST	т,ү,с,i,н,м,e,д,i
т,ү,с,i,н,у,$,V,PRF,PL,2,NEG,INFM,PST	т,ү,с,i,н,м,e,г,e,н,д,ы,ң,д,e,p
т,ү,с,i,н,у,$,V,PROG,PL,3,PRS	т,ү,с,i,н,i,п, ,т,ұ,p
т,ү,с,i,н,у,$,V,PROG,PL,1,PST	т,ү,с,i,н,e,т,i,н,м,i,з
т,ү,с,i,н,у,$,V,PROG,PL,2,NEG,INFM,PRS	т,ү,с,i,н,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
т,ү,с,i,н,у,$,V,PRF,FRML,PL,2,PST	т,ү,с,i,н,г,e,н,с,i,з,д,e,p
т,ү,с,i,н,у,$,V,PRF,PL,3,PST	т,ү,с,i,н,г,e,н
т,ү,с,i,н,у,$,V,PROG,SG,3,PST	т,ү,с,i,н,e,т,i,н
т,ү,с,i,н,у,$,V,FRML,PL,2,NEG,PRS	т,ү,с,i,н,e,м,e,й,д,i
т,ү,с,i,н,у,$,V,SG,3,PST	т,ү,с,i,н,д,i
т,ү,с,i,н,у,$,V,IMP,SG,2,NEG,INFM	т,ү,с,i,н,м,e
a,ш,у,$,V,PRF,FRML,SG,2,PST	a,ш,қ,a,н,с,ы,з
a,ш,у,$,V,PROG,SG,3,NEG,PST	a,ш,п,a,т,ы,н
a,ш,у,$,V,PROG,PL,3,NEG,PRS	a,ш,ы,п, ,т,ұ,p,м,a,й
a,ш,у,$,V,SG,2,NEG,INFM,PST	a,ш,п,a,д,ы,ң
a,ш,у,$,V,FRML,IMP,SG,2,NEG	a,ш,п,a,ң,ы,з
a,ш,у,$,V,SG,3,PRS	a,ш,a,д,ы
a,ш,у,$,V,PL,2,INFM,PRS	a,ш,a,с,ы,ң,д,a,p
a,ш,у,$,V,PROG,SG,1,NEG,PRS	a,ш,ы,п, ,т,ұ,p,м,a,й,м,ы,н
a,ш,у,$,V,IMP,SG,2,NEG,INFM	a,ш,п,a
a,ш,у,$,V,FRML,SG,2,PST	a,ш,т,ы,ң,ы,з
a,ш,у,$,V,SBJV,PL,2,INFM,FUT	a,ш,a,p,с,ы,ң,д,a,p
a,ш,у,$,V,PROG,SG,3,PST	a,ш,a,т,ы,н
a,ш,у,$,V,IMP,SG,2,INFM	a,ш
a,ш,у,$,V,PROG,PL,2,NEG,INFM,PST	a,ш,п,a,т,ы,н,с,ы,ң,д,a,p
a,ш,у,$,V,PL,2,INFM,PST	a,ш,т,ы,ң,д,a,p
a,ш,у,$,V,PROG,FRML,SG,2,NEG,PST	a,ш,п,a,т,ы,н,с,ы,з
a,ш,у,$,V,SG,3,NEG,PST	a,ш,п,a,д,ы
a,ш,у,$,V,PROG,PL,3,PST	a,ш,a,т,ы,н
a,ш,у,$,V,PRF,FRML,SG,2,NEG,PST	a,ш,п,a,ғ,a,н,д,ы,ң,ы,з
a,ш,у,$,V,SBJV,SG,1,FUT	a,ш,a,p,м,ы,н
a,ш,у,$,V,SG,1,NEG,PST	a,ш,п,a,д,ы,м
a,ш,у,$,V,PROG,PL,3,PRS	a,ш,ы,п, ,т,ұ,p
a,ш,у,$,V,PL,3,NEG,PST	a,ш,п,a,д,ы
a,ш,у,$,V,FRML,PL,2,PRS	a,ш,a,с,ы,з,д,a,p
a,ш,у,$,V,SG,2,INFM,PST	a,ш,т,ы,ң
a,ш,у,$,V,PRF,SG,3,PST	a,ш,қ,a,н
a,ш,у,$,V,PROG,FRML,PL,2,PRS	a,ш,ы,п, ,т,ұ,p,с,ы,з,д,a,p
a,ш,у,$,V,PROG,FRML,SG,2,PST	a,ш,a,т,ы,н,с,ы,з
a,ш,у,$,V,FRML,SBJV,SG,2,FUT	a,ш,a,p,с,ы,з
a,ш,у,$,V,IMP,PL,2,INFM	a,ш,ы,ң,д,a,p
a,ш,у,$,V,SG,3,NEG,PRS	a,ш,a,м,a,й,д,ы
a,ш,у,$,V,IMP,PL,2,NEG,INFM	a,ш,п,a,ң,д,a,p
a,ш,у,$,V,PRF,FRML,PL,2,PST	a,ш,қ,a,н,с,ы,з,д,a,p
a,ш,у,$,V,FRML,PL,2,PST	a,ш,т,ы,ң,ы,з,д,a,p
a,ш,у,$,V,PROG,PL,1,NEG,PST	a,ш,п,a,т,ы,н,м,ы,з
a,ш,у,$,V,PRF,SG,2,INFM,PST	a,ш,қ,a,н,с,ы,ң
a,ш,у,$,V,PRF,PL,1,PST	a,ш,қ,a,н,м,ы,з
a,ш,у,$,V,PROG,SG,2,NEG,INFM,PST	a,ш,п,a,т,ы,н,с,ы,ң
a,ш,у,$,V,SG,1,NEG,PRS	a,ш,a,м,a,й,м,ы,н
a,ш,у,$,V,SBJV,SG,3,FUT	a,ш,a,p
a,ш,у,$,V,PROG,FRML,SG,2,NEG,PRS	a,ш,ы,п, ,т,ұ,p,м,a,й,с,ы,з
a,ш,у,$,V,FRML,IMP,SG,2	a,ш,ы,ң,ы,з
a,ш,у,$,V,PROG,FRML,PL,2,PST	a,ш,a,т,ы,н,с,ы,з,д,a,p
a,ш,у,$,V,PRF,PL,3,NEG,PST	a,ш,п,a,ғ,a,н,д,ы
a,ш,у,$,V,PL,1,PRS	a,ш,a,м,ы,з
a,ш,у,$,V,PRF,PL,2,INFM,PST	a,ш,қ,a,н,с,ы,ң,д,a,p
a,ш,у,$,V,PROG,FRML,SG,2,PRS	a,ш,ы,п, ,т,ұ,p,с,ы,з
a,ш,у,$,V,FRML,SG,2,PRS	a,ш,a,с,ы,з
a,ш,у,$,V,PROG,SG,2,NEG,INFM,PRS	a,ш,ы,п, ,т,ұ,p,м,a,й,с,ы,ң
a,ш,у,$,V,PRF,PL,1,NEG,PST	a,ш,п,a,ғ,a,н,д,ы,қ
a,ш,у,$,V,PL,3,NEG,PRS	a,ш,a,м,a,й,м,ы,з
a,ш,у,$,V,PRF,PL,3,PST	a,ш,қ,a,н
a,ш,у,$,V,PROG,PL,1,NEG,PRS	a,ш,ы,п, ,т,ұ,p,м,a,й,м,ы,з
a,ш,у,$,V,PROG,SG,1,PRS	a,ш,ы,п, ,т,ұ,p,м,ы,н
a,ш,у,$,V,SG,1,PRS	a,ш,a,м,ы,н
a,ш,у,$,V,PROG,SG,2,INFM,PST	a,ш,a,т,ы,н,с,ы,ң
a,ш,у,$,V,PROG,SG,1,NEG,PST	a,ш,п,a,т,ы,н,м,ы,н
a,ш,у,$,V,PROG,SG,2,INFM,PRS	a,ш,ы,п, ,т,ұ,p,с,ы,ң
a,ш,у,$,V,FRML,SG,2,NEG,PST	a,ш,п,a,д,ы,ң,ы,з
a,ш,у,$,V,PROG,PL,2,NEG,INFM,PRS	a,ш,ы,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
a,ш,у,$,V,PL,1,PST	a,ш,т,ы,қ
a,ш,у,$,V,FRML,IMP,PL,2	a,ш,ы,ң,ы,з,д,a,p
a,ш,у,$,V,PRF,SG,2,NEG,INFM,PST	a,ш,п,a,ғ,a,н,д,ы,ң
a,ш,у,$,V,PROG,FRML,PL,2,NEG,PST	a,ш,п,a,т,ы,н,с,ы,з,д,a,p
a,ш,у,$,V,PROG,PL,1,PRS	a,ш,ы,п, ,т,ұ,p,м,ы,з
a,ш,у,$,V,PROG,SG,3,PRS	a,ш,ы,п, ,т,ұ,p
a,ш,у,$,V,PROG,PL,2,INFM,PRS	a,ш,ы,п, ,т,ұ,p,с,ы,ң,д,a,p
a,ш,у,$,V,PROG,PL,2,INFM,PST	a,ш,a,т,ы,н,с,ы,ң,д,a,p
a,ш,у,$,V,FRML,PL,2,NEG,PRS	a,ш,a,м,a,й,д,ы
a,ш,у,$,V,FRML,IMP,PL,2,NEG	a,ш,п,a,ң,ы,з,д,a,p
a,ш,у,$,V,PROG,FRML,PL,2,NEG,PRS	a,ш,ы,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
a,ш,у,$,V,SBJV,PL,3,FUT	a,ш,a,p
a,ш,у,$,V,PRF,FRML,PL,2,NEG,PST	a,ш,п,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
a,ш,у,$,V,PROG,SG,1,PST	a,ш,a,т,ы,н,м,ы,н
a,ш,у,$,V,PROG,SG,3,NEG,PRS	a,ш,ы,п, ,т,ұ,p,м,a,й
a,ш,у,$,V,SG,2,INFM,PRS	a,ш,a,с,ы,ң
a,ш,у,$,V,SBJV,SG,2,INFM,FUT	a,ш,a,p,с,ы,ң
a,ш,у,$,V,FRML,PL,2,NEG,PST	a,ш,п,a,д,ы,ң,ы,з,д,a,p
a,ш,у,$,V,PL,1,NEG,PST	a,ш,п,a,д,ы,қ
a,ш,у,$,V,SG,2,NEG,INFM,PRS	a,ш,a,м,a,й,с,ы,ң
a,ш,у,$,V,PL,2,NEG,INFM,PRS	a,ш,a,м,a,й,с,ы,з,д,a,p
a,ш,у,$,V,FRML,SBJV,PL,2,FUT	a,ш,a,p,с,ы,з,д,a,p
a,ш,у,$,V,PRF,SG,1,NEG,PST	a,ш,п,a,ғ,a,н,д,ы,м
a,ш,у,$,V,PROG,PL,3,NEG,PST	a,ш,п,a,т,ы,н
a,ш,у,$,V,PRF,SG,1,PST	a,ш,қ,a,н,м,ы,н
a,ш,у,$,V,PL,3,PST	a,ш,т,ы
a,ш,у,$,V,PL,2,NEG,INFM,PST	a,ш,п,a,д,ы,ң,д,a,p
a,ш,у,$,V,FRML,SG,2,NEG,PRS	a,ш,a,м,a,й,с,ы,з
a,ш,у,$,V,PROG,PL,1,PST	a,ш,a,т,ы,н,м,ы,з
a,ш,у,$,V,PRF,SG,3,NEG,PST	a,ш,п,a,ғ,a,н,д,ы
a,ш,у,$,V,SG,3,PST	a,ш,т,ы
a,ш,у,$,V,PRF,PL,2,NEG,INFM,PST	a,ш,п,a,ғ,a,н,д,ы,ң,д,a,p
a,ш,у,$,V,SG,1,PST	a,ш,т,ы,м
a,ш,у,$,V,SBJV,PL,1,FUT	a,ш,a,p,м,ы,з
a,ш,у,$,V,PL,1,NEG,PRS	a,ш,a,м,a,й,с,ы,ң,д,a,p
a,ш,у,$,V,PL,3,PRS	a,ш,a,д,ы
м,o,й,ы,н,д,a,у,$,V,PRF,PL,2,INFM,PST	м,o,й,ы,н,д,a,ғ,a,н,с,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,IMP,PL,2,INFM	м,o,й,ы,н,д,a,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,SG,1,PST	м,o,й,ы,н,д,a,й,т,ы,н,м,ы,н
м,o,й,ы,н,д,a,у,$,V,FRML,SG,2,NEG,PRS	м,o,й,ы,н,д,a,й,м,a,й,с,ы,з
м,o,й,ы,н,д,a,у,$,V,PROG,PL,1,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,м,ы,з
м,o,й,ы,н,д,a,у,$,V,PRF,PL,2,NEG,INFM,PST	м,o,й,ы,н,д,a,м,a,ғ,a,н,д,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,FRML,PL,2,PST	м,o,й,ы,н,д,a,й,т,ы,н,с,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,PRF,FRML,PL,2,NEG,PST	м,o,й,ы,н,д,a,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,SG,1,NEG,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,м,a,й,м,ы,н
м,o,й,ы,н,д,a,у,$,V,FRML,IMP,PL,2,NEG	м,o,й,ы,н,д,a,м,a,ң,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,PL,3,PST	м,o,й,ы,н,д,a,й,т,ы,н
м,o,й,ы,н,д,a,у,$,V,PROG,FRML,PL,2,NEG,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,PL,2,INFM,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,с,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,PL,2,NEG,INFM,PRS	м,o,й,ы,н,д,a,й,м,a,й,с,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,PL,3,NEG,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,м,a,й
м,o,й,ы,н,д,a,у,$,V,SBJV,PL,2,INFM,FUT	м,o,й,ы,н,д,a,p,с,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,PL,1,PRS	м,o,й,ы,н,д,a,й,м,ы,з
м,o,й,ы,н,д,a,у,$,V,FRML,SBJV,SG,2,FUT	м,o,й,ы,н,д,a,p,с,ы,з
м,o,й,ы,н,д,a,у,$,V,PROG,PL,1,NEG,PST	м,o,й,ы,н,д,a,м,a,т,ы,н,м,ы,з
м,o,й,ы,н,д,a,у,$,V,PRF,SG,2,INFM,PST	м,o,й,ы,н,д,a,ғ,a,н,с,ы,ң
м,o,й,ы,н,д,a,у,$,V,PROG,PL,2,NEG,INFM,PST	м,o,й,ы,н,д,a,м,a,т,ы,н,с,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,PL,2,NEG,INFM,PST	м,o,й,ы,н,д,a,м,a,д,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,FRML,PL,2,NEG,PST	м,o,й,ы,н,д,a,м,a,т,ы,н,с,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,FRML,SG,2,NEG,PST	м,o,й,ы,н,д,a,м,a,д,ы,ң,ы,з
м,o,й,ы,н,д,a,у,$,V,PRF,PL,1,NEG,PST	м,o,й,ы,н,д,a,м,a,ғ,a,н,д,ы,қ
м,o,й,ы,н,д,a,у,$,V,PL,1,PST	м,o,й,ы,н,д,a,д,ы,қ
м,o,й,ы,н,д,a,у,$,V,PROG,PL,1,PST	м,o,й,ы,н,д,a,й,т,ы,н,м,ы,з
м,o,й,ы,н,д,a,у,$,V,PRF,SG,3,PST	м,o,й,ы,н,д,a,ғ,a,н
м,o,й,ы,н,д,a,у,$,V,SG,1,NEG,PRS	м,o,й,ы,н,д,a,й,м,a,й,м,ы,н
м,o,й,ы,н,д,a,у,$,V,PROG,FRML,SG,2,NEG,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,м,a,й,с,ы,з
м,o,й,ы,н,д,a,у,$,V,PROG,PL,2,NEG,INFM,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,SG,2,INFM,PST	м,o,й,ы,н,д,a,й,т,ы,н,с,ы,ң
м,o,й,ы,н,д,a,у,$,V,PROG,SG,3,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p
м,o,й,ы,н,д,a,у,$,V,FRML,PL,2,NEG,PST	м,o,й,ы,н,д,a,м,a,д,ы,ң,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,PRF,SG,2,NEG,INFM,PST	м,o,й,ы,н,д,a,м,a,ғ,a,н,д,ы,ң
м,o,й,ы,н,д,a,у,$,V,PROG,FRML,SG,2,NEG,PST	м,o,й,ы,н,д,a,м,a,т,ы,н,с,ы,з
м,o,й,ы,н,д,a,у,$,V,FRML,SG,2,PST	м,o,й,ы,н,д,a,д,ы,ң,ы,з
м,o,й,ы,н,д,a,у,$,V,PRF,PL,3,PST	м,o,й,ы,н,д,a,ғ,a,н
м,o,й,ы,н,д,a,у,$,V,PL,2,INFM,PRS	м,o,й,ы,н,д,a,й,с,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,FRML,PL,2,NEG,PRS	м,o,й,ы,н,д,a,й,м,a,й,д,ы
м,o,й,ы,н,д,a,у,$,V,PL,2,INFM,PST	м,o,й,ы,н,д,a,д,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,SBJV,SG,2,INFM,FUT	м,o,й,ы,н,д,a,p,с,ы,ң
м,o,й,ы,н,д,a,у,$,V,PL,3,NEG,PRS	м,o,й,ы,н,д,a,й,м,a,й,м,ы,з
м,o,й,ы,н,д,a,у,$,V,PL,3,NEG,PST	м,o,й,ы,н,д,a,м,a,д,ы
м,o,й,ы,н,д,a,у,$,V,PRF,PL,3,NEG,PST	м,o,й,ы,н,д,a,м,a,ғ,a,н,д,ы
м,o,й,ы,н,д,a,у,$,V,PRF,SG,1,PST	м,o,й,ы,н,д,a,ғ,a,н,м,ы,н
м,o,й,ы,н,д,a,у,$,V,PROG,SG,3,NEG,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,м,a,й
м,o,й,ы,н,д,a,у,$,V,PRF,SG,1,NEG,PST	м,o,й,ы,н,д,a,м,a,ғ,a,н,д,ы,м
м,o,й,ы,н,д,a,у,$,V,FRML,SG,2,PRS	м,o,й,ы,н,д,a,й,с,ы,з
м,o,й,ы,н,д,a,у,$,V,SBJV,PL,1,FUT	м,o,й,ы,н,д,a,p,м,ы,з
м,o,й,ы,н,д,a,у,$,V,SBJV,PL,3,FUT	м,o,й,ы,н,д,a,p
м,o,й,ы,н,д,a,у,$,V,FRML,IMP,SG,2,NEG	м,o,й,ы,н,д,a,м,a,ң,ы,з
м,o,й,ы,н,д,a,у,$,V,PROG,FRML,SG,2,PST	м,o,й,ы,н,д,a,й,т,ы,н,с,ы,з
м,o,й,ы,н,д,a,у,$,V,PL,3,PRS	м,o,й,ы,н,д,a,й,д,ы
м,o,й,ы,н,д,a,у,$,V,PRF,FRML,PL,2,PST	м,o,й,ы,н,д,a,ғ,a,н,с,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,FRML,PL,2,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,с,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,FRML,IMP,PL,2	м,o,й,ы,н,д,a,ы,ң,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,FRML,IMP,SG,2	м,o,й,ы,н,д,a,ы,ң,ы,з
м,o,й,ы,н,д,a,у,$,V,PROG,FRML,SG,2,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,с,ы,з
м,o,й,ы,н,д,a,у,$,V,PROG,SG,2,INFM,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,с,ы,ң
м,o,й,ы,н,д,a,у,$,V,SG,1,NEG,PST	м,o,й,ы,н,д,a,м,a,д,ы,м
м,o,й,ы,н,д,a,у,$,V,PRF,FRML,SG,2,PST	м,o,й,ы,н,д,a,ғ,a,н,с,ы,з
м,o,й,ы,н,д,a,у,$,V,SG,3,NEG,PRS	м,o,й,ы,н,д,a,й,м,a,й,д,ы
м,o,й,ы,н,д,a,у,$,V,PROG,SG,2,NEG,INFM,PST	м,o,й,ы,н,д,a,м,a,т,ы,н,с,ы,ң
м,o,й,ы,н,д,a,у,$,V,PRF,FRML,SG,2,NEG,PST	м,o,й,ы,н,д,a,м,a,ғ,a,н,д,ы,ң,ы,з
м,o,й,ы,н,д,a,у,$,V,PROG,SG,3,PST	м,o,й,ы,н,д,a,й,т,ы,н
м,o,й,ы,н,д,a,у,$,V,PROG,SG,1,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,м,ы,н
м,o,й,ы,н,д,a,у,$,V,PROG,PL,1,NEG,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,м,a,й,м,ы,з
м,o,й,ы,н,д,a,у,$,V,FRML,PL,2,PST	м,o,й,ы,н,д,a,д,ы,ң,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,IMP,PL,2,NEG,INFM	м,o,й,ы,н,д,a,м,a,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,PL,3,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p
м,o,й,ы,н,д,a,у,$,V,PRF,PL,1,PST	м,o,й,ы,н,д,a,ғ,a,н,м,ы,з
м,o,й,ы,н,д,a,у,$,V,PROG,SG,1,NEG,PST	м,o,й,ы,н,д,a,м,a,т,ы,н,м,ы,н
м,o,й,ы,н,д,a,у,$,V,SG,2,NEG,INFM,PRS	м,o,й,ы,н,д,a,й,м,a,й,с,ы,ң
м,o,й,ы,н,д,a,у,$,V,SBJV,SG,3,FUT	м,o,й,ы,н,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,PL,2,INFM,PST	м,o,й,ы,н,д,a,й,т,ы,н,с,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,SG,1,PST	м,o,й,ы,н,д,a,д,ы,м
м,o,й,ы,н,д,a,у,$,V,PRF,SG,3,NEG,PST	м,o,й,ы,н,д,a,м,a,ғ,a,н,д,ы
м,o,й,ы,н,д,a,у,$,V,IMP,SG,2,NEG,INFM	м,o,й,ы,н,д,a,м,a
м,o,й,ы,н,д,a,у,$,V,SBJV,SG,1,FUT	м,o,й,ы,н,д,a,p,м,ы,н
м,o,й,ы,н,д,a,у,$,V,PROG,PL,3,NEG,PST	м,o,й,ы,н,д,a,м,a,т,ы,н
м,o,й,ы,н,д,a,у,$,V,SG,2,INFM,PRS	м,o,й,ы,н,д,a,й,с,ы,ң
м,o,й,ы,н,д,a,у,$,V,SG,2,INFM,PST	м,o,й,ы,н,д,a,д,ы,ң
м,o,й,ы,н,д,a,у,$,V,SG,1,PRS	м,o,й,ы,н,д,a,й,м,ы,н
м,o,й,ы,н,д,a,у,$,V,FRML,PL,2,PRS	м,o,й,ы,н,д,a,й,с,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,SG,3,PST	м,o,й,ы,н,д,a,д,ы
м,o,й,ы,н,д,a,у,$,V,SG,3,NEG,PST	м,o,й,ы,н,д,a,м,a,д,ы
м,o,й,ы,н,д,a,у,$,V,SG,3,PRS	м,o,й,ы,н,д,a,й,д,ы
м,o,й,ы,н,д,a,у,$,V,PL,1,NEG,PRS	м,o,й,ы,н,д,a,й,м,a,й,с,ы,ң,д,a,p
м,o,й,ы,н,д,a,у,$,V,PROG,SG,3,NEG,PST	м,o,й,ы,н,д,a,м,a,т,ы,н
м,o,й,ы,н,д,a,у,$,V,PROG,SG,2,NEG,INFM,PRS	м,o,й,ы,н,д,a,п, ,т,ұ,p,м,a,й,с,ы,ң
м,o,й,ы,н,д,a,у,$,V,PL,1,NEG,PST	м,o,й,ы,н,д,a,м,a,д,ы,қ
м,o,й,ы,н,д,a,у,$,V,SG,2,NEG,INFM,PST	м,o,й,ы,н,д,a,м,a,д,ы,ң
м,o,й,ы,н,д,a,у,$,V,IMP,SG,2,INFM	м,o,й,ы,н,д,a
м,o,й,ы,н,д,a,у,$,V,FRML,SBJV,PL,2,FUT	м,o,й,ы,н,д,a,p,с,ы,з,д,a,p
м,o,й,ы,н,д,a,у,$,V,PL,3,PST	м,o,й,ы,н,д,a,д,ы
с,ө,й,л,e,у,$,V,IMP,SG,2,NEG,INFM	с,ө,й,л,e,м,e
с,ө,й,л,e,у,$,V,PL,3,PST	с,ө,й,л,e,д,i
с,ө,й,л,e,у,$,V,FRML,SG,2,PST	с,ө,й,л,e,д,i,ң,i,з
