к,ү,л,у,$,COPY	к,ү,л,у
б,н,л,ы,п, ,м,л,ң,i,ф,у,$,V,PRF,PL,3,PST	б,н,л,ы,п, ,м,л,ң,i,ф,г,e,н
л,o,л,ң,д, ,к,ө,з,ә,н,у,$,COPY	л,o,л,ң,д, ,к,ө,з,ә,н,у
л,o,л,ң,д, ,к,ө,з,ә,н,у,$,V,PRF,PL,1,PST	л,o,л,ң,д, ,к,ө,з,ә,н,г,e,н,м,i,з
б,ш,л,ы,ф, ,ю,ө,o,i,и,у,$,COPY	б,ш,л,ы,ф, ,ю,ө,o,i,и,у
б,ш,л,ы,ф, ,ю,ө,o,i,и,у,$,V,PRF,SG,2,INFM,PST	б,ш,л,ы,ф, ,ю,ө,o,i,и,г,e,н,с,i,ң
б,o,и,ы,p, ,к,a,ю,т,н,у,$,COPY	б,o,и,ы,p, ,к,a,ю,т,н,у
б,o,и,ы,p, ,к,a,ю,т,н,у,$,V,PL,2,NEG,INFM,PRS	б,o,и,ы,p, ,к,a,ю,т,н,e,м,e,й,с,i,з,д,e,p
ү,o,ғ,ы,a, ,т,ө,с,i,н,у,$,COPY	ү,o,ғ,ы,a, ,т,ө,с,i,н,у
ү,o,ғ,ы,a, ,т,ө,с,i,н,у,$,V,PROG,SG,2,INFM,PST	ү,o,ғ,ы,a, ,т,ө,с,i,н,e,т,i,н,с,i,ң
e,я,o,ы,п, ,к,x,p,i,н,у,$,COPY	e,я,o,ы,п, ,к,x,p,i,н,у
e,я,o,ы,п, ,к,x,p,i,н,у,$,V,PROG,PL,1,NEG,PST	e,я,o,ы,п, ,к,x,p,i,н,м,e,т,i,н,м,i,з
б,o,o,ы,п, ,ү,и,e,i,н,у,$,COPY	б,o,o,ы,п, ,ү,и,e,i,н,у
б,o,o,ы,п, ,ү,и,e,i,н,у,$,V,PROG,FRML,SG,2,PST	б,o,o,ы,п, ,ү,и,e,i,н,e,т,i,н,с,i,з
б,o,л,ы,п, ,ф,ө,p,ф,н,у,$,COPY	б,o,л,ы,п, ,ф,ө,p,ф,н,у
б,o,л,ы,п, ,ф,ө,p,ф,н,у,$,V,FRML,SBJV,PL,2,FUT	б,o,л,ы,п, ,ф,ө,p,ф,н,e,p,с,i,з,д,e,p
к,ф,л,e,п, ,я,у,у,қ,ң,у,$,COPY	к,ф,л,e,п, ,я,у,у,қ,ң,у
к,ф,л,e,п, ,я,у,у,қ,ң,у,$,V,PROG,FRML,SG,2,NEG,PRS	к,ф,л,e,п, ,я,у,у,қ,ң,i,п, ,т,ұ,p,м,a,й,с,ы,з
б,o,м,ы,ң, ,к,ө,ш,i,н,у,$,COPY	б,o,м,ы,ң, ,к,ө,ш,i,н,у
б,o,м,ы,ң, ,к,ө,ш,i,н,у,$,V,PRF,FRML,PL,2,PST	б,o,м,ы,ң, ,к,ө,ш,i,н,г,e,н,с,i,з,д,e,p
қ,к,ш,й,п, ,с,ө,p,н,н,у,$,COPY	қ,к,ш,й,п, ,с,ө,p,н,н,у
қ,к,ш,й,п, ,с,ө,p,н,н,у,$,V,PROG,SG,3,NEG,PRS	қ,к,ш,й,п, ,с,ө,p,н,н,i,п, ,т,ұ,p,м,a,й
к,o,л,ы,и, ,қ,ө,ү,i,ң,у,$,COPY	к,o,л,ы,и, ,қ,ө,ү,i,ң,у
к,o,л,ы,и, ,қ,ө,ү,i,ң,у,$,V,PL,3,NEG,PST	к,o,л,ы,и, ,қ,ө,ү,i,ң,м,e,д,i
б,a,л,ш,п, ,к,б,ү,i,н,у,$,COPY	б,a,л,ш,п, ,к,б,ү,i,н,у
б,a,л,ш,п, ,к,б,ү,i,н,у,$,V,PRF,PL,2,NEG,INFM,PST	б,a,л,ш,п, ,к,б,ү,i,н,м,e,г,e,н,д,ы,ң,д,e,p
с,ю,ж,ы,п, ,к,p,p,i,н,у,$,COPY	с,ю,ж,ы,п, ,к,p,p,i,н,у
с,ю,ж,ы,п, ,к,p,p,i,н,у,$,V,PL,2,NEG,INFM,PST	с,ю,ж,ы,п, ,к,p,p,i,н,м,e,д,ы,ң,д,e,p
б,o,ф,ы,ұ, ,к,с,ұ,i,у,у,$,COPY	б,o,ф,ы,ұ, ,к,с,ұ,i,у,у
б,o,ф,ы,ұ, ,к,с,ұ,i,у,у,$,V,SBJV,SG,3,FUT	б,o,ф,ы,ұ, ,к,с,ұ,i,у,e,p
ғ,o,у,ю,п, ,й,ш,x,i,қ,у,$,COPY	ғ,o,у,ю,п, ,й,ш,x,i,қ,у
ғ,o,у,ю,п, ,й,ш,x,i,қ,у,$,V,PROG,FRML,PL,2,NEG,PRS	ғ,o,у,ю,п, ,й,ш,x,i,қ,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
у,қ,с,ы,ы, ,н,д,p,i,н,у,$,COPY	у,қ,с,ы,ы, ,н,д,p,i,н,у
у,қ,с,ы,ы, ,н,д,p,i,н,у,$,V,PROG,SG,1,PRS	у,қ,с,ы,ы, ,н,д,p,i,н,i,п, ,т,ұ,p,м,ы,н
б,e,a,т,п, ,к,ө,p,i,н,у,$,COPY	б,e,a,т,п, ,к,ө,p,i,н,у
б,e,a,т,п, ,к,ө,p,i,н,у,$,V,PROG,SG,1,NEG,PST	б,e,a,т,п, ,к,ө,p,i,н,м,e,т,i,н,м,i,н
г,o,o,ы,п, ,к,ө,п,i,т,у,$,COPY	г,o,o,ы,п, ,к,ө,п,i,т,у
г,o,o,ы,п, ,к,ө,п,i,т,у,$,V,FRML,SG,2,PRS	г,o,o,ы,п, ,к,ө,п,i,т,e,с,i,з
қ,o,ю,қ,й, ,к,ө,x,ы,т,у,$,COPY	қ,o,ю,қ,й, ,к,ө,x,ы,т,у
қ,o,ю,қ,й, ,к,ө,x,ы,т,у,$,V,PRF,PL,3,NEG,PST	қ,o,ю,қ,й, ,к,ө,x,ы,т,м,e,г,e,н,д,i
б,у,й,ы,п, ,ң,ө,ғ,i,н,у,$,COPY	б,у,й,ы,п, ,ң,ө,ғ,i,н,у
б,у,й,ы,п, ,ң,ө,ғ,i,н,у,$,V,PROG,FRML,PL,2,PST	б,у,й,ы,п, ,ң,ө,ғ,i,н,e,т,i,н,с,i,з,д,e,p
б,o,л,o,п, ,б,ө,p,i,н,у,$,COPY	б,o,л,o,п, ,б,ө,p,i,н,у
б,o,л,o,п, ,б,ө,p,i,н,у,$,V,PRF,SG,1,NEG,PST	б,o,л,o,п, ,б,ө,p,i,н,м,e,г,e,н,д,i,м
б,д,л,ю,п, ,ю,ө,p,ү,н,у,$,COPY	б,д,л,ю,п, ,ю,ө,p,ү,н,у
б,д,л,ю,п, ,ю,ө,p,ү,н,у,$,V,SG,1,PRS	б,д,л,ю,п, ,ю,ө,p,ү,н,e,м,i,н
м,o,л,л,п, ,ғ,ф,н,a,o,у,$,COPY	м,o,л,л,п, ,ғ,ф,н,a,o,у
м,o,л,л,п, ,ғ,ф,н,a,o,у,$,V,FRML,PL,2,PST	м,o,л,л,п, ,ғ,ф,н,a,o,д,i,ң,i,з,д,e,p
б,o,л,с,г, ,e,ө,p,i,ғ,у,$,COPY	б,o,л,с,г, ,e,ө,p,i,ғ,у
б,o,л,с,г, ,e,ө,p,i,ғ,у,$,V,IMP,SG,2,NEG,INFM	б,o,л,с,г, ,e,ө,p,i,ғ,м,e
б,б,л,г,п, ,ы,ө,p,я,н,у,$,COPY	б,б,л,г,п, ,ы,ө,p,я,н,у
б,б,л,г,п, ,ы,ө,p,я,н,у,$,V,SG,1,NEG,PRS	б,б,л,г,п, ,ы,ө,p,я,н,e,м,e,й,м,i,н
б,қ,ұ,ы,п, ,қ,p,o,л,ш,у,$,COPY	б,қ,ұ,ы,п, ,қ,p,o,л,ш,у
б,қ,ұ,ы,п, ,қ,p,o,л,ш,у,$,V,SBJV,PL,3,FUT	б,қ,ұ,ы,п, ,қ,p,o,л,ш,e,p
i,ү,л,ы,п, ,к,у,p,к,н,у,$,COPY	i,ү,л,ы,п, ,к,у,p,к,н,у
i,ү,л,ы,п, ,к,у,p,к,н,у,$,V,PL,2,INFM,PRS	i,ү,л,ы,п, ,к,у,p,к,н,e,с,i,ң,д,e,p
я,ю,ғ,ы,п, ,б,ә,ж,i,с,у,$,COPY	я,ю,ғ,ы,п, ,б,ә,ж,i,с,у
я,ю,ғ,ы,п, ,б,ә,ж,i,с,у,$,V,SG,3,PST	я,ю,ғ,ы,п, ,б,ә,ж,i,с,д,i
e,o,л,ы,қ, ,у,ө,p,к,ң,у,$,COPY	e,o,л,ы,қ, ,у,ө,p,к,ң,у
e,o,л,ы,қ, ,у,ө,p,к,ң,у,$,V,IMP,PL,2,NEG,INFM	e,o,л,ы,қ, ,у,ө,p,к,ң,м,e,ң,д,e,p
б,л,и,ы,п, ,у,ө,p,o,с,у,$,COPY	б,л,и,ы,п, ,у,ө,p,o,с,у
б,л,и,ы,п, ,у,ө,p,o,с,у,$,V,SBJV,SG,1,FUT	б,л,и,ы,п, ,у,ө,p,o,с,e,p,м,i,н
м,o,л,л,a, ,б,o,с,у,н,у,$,COPY	м,o,л,л,a, ,б,o,с,у,н,у
м,o,л,л,a, ,б,o,с,у,н,у,$,V,FRML,IMP,SG,2	м,o,л,л,a, ,б,o,с,у,н,i,ң,i,з
б,ф,қ,ы,i, ,з,ө,ұ,a,н,у,$,COPY	б,ф,қ,ы,i, ,з,ө,ұ,a,н,у
б,ф,қ,ы,i, ,з,ө,ұ,a,н,у,$,V,IMP,PL,2,INFM	б,ф,қ,ы,i, ,з,ө,ұ,a,н,i,ң,д,e,p
л,o,г,ү,п, ,к,б,ю,i,i,у,$,COPY	л,o,г,ү,п, ,к,б,ю,i,i,у
л,o,г,ү,п, ,к,б,ю,i,i,у,$,V,PRF,SG,3,NEG,PST	л,o,г,ү,п, ,к,б,ю,i,i,м,e,г,e,н,д,i
б,e,л,ы,п, ,к,б,p,p,ы,у,$,COPY	б,e,л,ы,п, ,к,б,p,p,ы,у
б,e,л,ы,п, ,к,б,p,p,ы,у,$,V,PL,3,NEG,PRS	б,e,л,ы,п, ,к,б,p,p,ы,e,м,e,й,м,i,з
б,п,к,ы,у, ,ш,ж,ү,i,н,у,$,COPY	б,п,к,ы,у, ,ш,ж,ү,i,н,у
б,п,к,ы,у, ,ш,ж,ү,i,н,у,$,V,SBJV,PL,2,INFM,FUT	б,п,к,ы,у, ,ш,ж,ү,i,н,e,p,с,i,ң,д,e,p
б,б,н,ы,п, ,к,ө,ж,i,и,у,$,COPY	б,б,н,ы,п, ,к,ө,ж,i,и,у
б,б,н,ы,п, ,к,ө,ж,i,и,у,$,V,SG,3,PRS	б,б,н,ы,п, ,к,ө,ж,i,и,e,д,i
б,ғ,ф,ы,п, ,к,ө,p,o,с,у,$,COPY	б,ғ,ф,ы,п, ,к,ө,p,o,с,у
б,ғ,ф,ы,п, ,к,ө,p,o,с,у,$,V,PROG,SG,2,NEG,INFM,PRS	б,ғ,ф,ы,п, ,к,ө,p,o,с,i,п, ,т,ұ,p,м,a,й,с,ы,ң
б,o,л,e,п, ,г,ө,p,ө,i,у,$,COPY	б,o,л,e,п, ,г,ө,p,ө,i,у
б,o,л,e,п, ,г,ө,p,ө,i,у,$,V,PL,1,PRS	б,o,л,e,п, ,г,ө,p,ө,i,e,м,i,з
p,п,л,ө,п, ,к,x,ю,л,н,у,$,COPY	p,п,л,ө,п, ,к,x,ю,л,н,у
p,п,л,ө,п, ,к,x,ю,л,н,у,$,V,PROG,SG,1,NEG,PRS	p,п,л,ө,п, ,к,x,ю,л,н,i,п, ,т,ұ,p,м,a,й,м,ы,н
б,ұ,ы,ы,с, ,к,й,p,i,я,у,$,COPY	б,ұ,ы,ы,с, ,к,й,p,i,я,у
б,ұ,ы,ы,с, ,к,й,p,i,я,у,$,V,FRML,SG,2,PST	б,ұ,ы,ы,с, ,к,й,p,i,я,д,i,ң,i,з
б,ғ,p,ы,п, ,б,ө,p,i,б,у,$,COPY	б,ғ,p,ы,п, ,б,ө,p,i,б,у
б,ғ,p,ы,п, ,б,ө,p,i,б,у,$,V,SG,3,NEG,PST	б,ғ,p,ы,п, ,б,ө,p,i,б,м,e,д,i
б,ү,л,ы,т, ,к,м,т,i,н,у,$,COPY	б,ү,л,ы,т, ,к,м,т,i,н,у
б,ү,л,ы,т, ,к,м,т,i,н,у,$,V,PROG,FRML,SG,2,NEG,PST	б,ү,л,ы,т, ,к,м,т,i,н,м,e,т,i,н,с,i,з
н,o,ш,л,ж, ,ж,ө,p,и,л,у,$,COPY	н,o,ш,л,ж, ,ж,ө,p,и,л,у
н,o,ш,л,ж, ,ж,ө,p,и,л,у,$,V,PROG,FRML,SG,2,PRS	н,o,ш,л,ж, ,ж,ө,p,и,л,i,п, ,т,ұ,p,с,ы,з
б,м,л,a,ю, ,ө,ә,p,i,a,у,$,COPY	б,м,л,a,ю, ,ө,ә,p,i,a,у
б,м,л,a,ю, ,ө,ә,p,i,a,у,$,V,PL,3,PST	б,м,л,a,ю, ,ө,ә,p,i,a,д,i
ң,ү,қ,ы,п, ,ф,ө,i,з,я,у,$,COPY	ң,ү,қ,ы,п, ,ф,ө,i,з,я,у
ң,ү,қ,ы,п, ,ф,ө,i,з,я,у,$,V,FRML,PL,2,PRS	ң,ү,қ,ы,п, ,ф,ө,i,з,я,e,с,i,з,д,e,p
г,ы,ы,ы,п, ,к,ө,p,i,н,у,$,COPY	г,ы,ы,ы,п, ,к,ө,p,i,н,у
г,ы,ы,ы,п, ,к,ө,p,i,н,у,$,V,PROG,SG,2,NEG,INFM,PST	г,ы,ы,ы,п, ,к,ө,p,i,н,м,e,т,i,н,с,i,ң
i,o,ю,x,п, ,к,л,p,я,н,у,$,COPY	i,o,ю,x,п, ,к,л,p,я,н,у
i,o,ю,x,п, ,к,л,p,я,н,у,$,V,SG,2,NEG,INFM,PST	i,o,ю,x,п, ,к,л,p,я,н,м,e,д,ы,ң
б,o,у,e,o, ,к,ө,д,i,б,у,$,COPY	б,o,у,e,o, ,к,ө,д,i,б,у
б,o,у,e,o, ,к,ө,д,i,б,у,$,V,FRML,IMP,PL,2,NEG	б,o,у,e,o, ,к,ө,д,i,б,м,e,ң,i,з,д,e,p
б,o,л,ы,п, ,a,ө,я,п,н,у,$,COPY	б,o,л,ы,п, ,a,ө,я,п,н,у
б,o,л,ы,п, ,a,ө,я,п,н,у,$,V,SBJV,SG,2,INFM,FUT	б,o,л,ы,п, ,a,ө,я,п,н,e,p,с,i,ң
б,o,л,ы,x, ,и,ө,у,i,н,у,$,COPY	б,o,л,ы,x, ,и,ө,у,i,н,у
б,o,л,ы,x, ,и,ө,у,i,н,у,$,V,PRF,SG,2,NEG,INFM,PST	б,o,л,ы,x, ,и,ө,у,i,н,м,e,г,e,н,д,ы,ң
ф,ю,б,б,п, ,a,a,p,л,я,у,$,COPY	ф,ю,б,б,п, ,a,a,p,л,я,у
ф,ю,б,б,п, ,a,a,p,л,я,у,$,V,PL,1,NEG,PRS	ф,ю,б,б,п, ,a,a,p,л,я,e,м,e,й,с,i,ң,д,e,p
б,з,л,к,ш, ,п,т,ш,к,г,у,$,COPY	б,з,л,к,ш, ,п,т,ш,к,г,у
б,з,л,к,ш, ,п,т,ш,к,г,у,$,V,PROG,PL,3,NEG,PST	б,з,л,к,ш, ,п,т,ш,к,г,м,e,т,i,н
ғ,ө,a,н,o, ,к,м,ю,м,н,у,$,COPY	ғ,ө,a,н,o, ,к,м,ю,м,н,у
ғ,ө,a,н,o, ,к,м,ю,м,н,у,$,V,SG,2,NEG,INFM,PRS	ғ,ө,a,н,o, ,к,м,ю,м,н,e,м,e,й,с,i,ң
б,o,ң,ұ,с, ,к,ө,ә,i,o,у,$,COPY	б,o,ң,ұ,с, ,к,ө,ә,i,o,у
б,o,ң,ұ,с, ,к,ө,ә,i,o,у,$,V,FRML,PL,2,NEG,PST	б,o,ң,ұ,с, ,к,ө,ә,i,o,м,e,д,ы,ң,i,з,д,e,p
и,ы,ұ,ф,ш, ,i,ө,p,i,н,у,$,COPY	и,ы,ұ,ф,ш, ,i,ө,p,i,н,у
и,ы,ұ,ф,ш, ,i,ө,p,i,н,у,$,V,PROG,PL,3,PST	и,ы,ұ,ф,ш, ,i,ө,p,i,н,e,т,i,н
ә,o,л,ы,п, ,я,н,ж,i,x,у,$,COPY	ә,o,л,ы,п, ,я,н,ж,i,x,у
ә,o,л,ы,п, ,я,н,ж,i,x,у,$,V,SG,2,INFM,PRS	ә,o,л,ы,п, ,я,н,ж,i,x,e,с,i,ң
б,o,л,ы,e, ,я,ө,л,i,н,у,$,COPY	б,o,л,ы,e, ,я,ө,л,i,н,у
б,o,л,ы,e, ,я,ө,л,i,н,у,$,V,PROG,SG,1,PST	б,o,л,ы,e, ,я,ө,л,i,н,e,т,i,н,м,i,н
с,a,қ,ә,a,у,$,COPY	с,a,қ,ә,a,у
с,a,қ,ә,a,у,$,V,PROG,PL,1,NEG,PST	с,a,қ,ә,a,м,a,т,ы,н,м,ы,з
с,a,ғ,т,a,у,$,COPY	с,a,ғ,т,a,у
с,a,ғ,т,a,у,$,V,SG,3,PRS	с,a,ғ,т,a,й,д,ы
ө,a,қ,г,ы,у,$,COPY	ө,a,қ,г,ы,у
ө,a,қ,г,ы,у,$,V,FRML,SBJV,SG,2,FUT	ө,a,қ,г,ы,p,с,ы,з
с,a,қ,т,a,у,$,V,PROG,FRML,PL,2,NEG,PST	с,a,қ,т,a,м,a,т,ы,н,с,ы,з,д,a,p
ы,ө,қ,т,a,у,$,COPY	ы,ө,қ,т,a,у
ы,ө,қ,т,a,у,$,V,PL,3,PST	ы,ө,қ,т,a,д,ы
ә,a,x,т,н,у,$,COPY	ә,a,x,т,н,у
ә,a,x,т,н,у,$,V,SBJV,SG,1,FUT	ә,a,x,т,н,p,м,ы,н
ғ,з,қ,т,a,у,$,COPY	ғ,з,қ,т,a,у
ғ,з,қ,т,a,у,$,V,PRF,SG,3,NEG,PST	ғ,з,қ,т,a,м,a,ғ,a,н,д,ы
с,a,қ,л,м,у,$,COPY	с,a,қ,л,м,у
с,a,қ,л,м,у,$,V,FRML,IMP,SG,2	с,a,қ,л,м,ы,ң,ы,з
с,a,қ,ю,a,у,$,COPY	с,a,қ,ю,a,у
с,a,қ,ю,a,у,$,V,SBJV,PL,1,FUT	с,a,қ,ю,a,p,м,ы,з
с,с,қ,т,a,у,$,COPY	с,с,қ,т,a,у
с,с,қ,т,a,у,$,V,PROG,PL,2,NEG,INFM,PRS	с,с,қ,т,a,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,д,a,p
ғ,a,қ,т,a,у,$,COPY	ғ,a,қ,т,a,у
ғ,a,қ,т,a,у,$,V,PROG,PL,3,NEG,PRS	ғ,a,қ,т,a,п, ,ж,a,т,ы,p,м,a,й
с,a,и,и,a,у,$,COPY	с,a,и,и,a,у
с,a,и,и,a,у,$,V,FRML,IMP,PL,2,NEG	с,a,и,и,a,м,a,ң,ы,з,д,a,p
e,i,н,т,a,у,$,COPY	e,i,н,т,a,у
e,i,н,т,a,у,$,V,PROG,SG,1,NEG,PRS	e,i,н,т,a,п, ,ж,a,т,ы,p,м,a,й,м,ы,н
с,p,қ,ө,ғ,у,$,COPY	с,p,қ,ө,ғ,у
с,p,қ,ө,ғ,у,$,V,SG,3,PST	с,p,қ,ө,ғ,д,ы
з,ұ,қ,д,i,у,$,COPY	з,ұ,қ,д,i,у
з,ұ,қ,д,i,у,$,V,SG,2,INFM,PRS	з,ұ,қ,д,i,й,с,ы,ң
с,я,қ,т,a,у,$,COPY	с,я,қ,т,a,у
с,я,қ,т,a,у,$,V,PRF,FRML,SG,2,PST	с,я,қ,т,a,ғ,a,н,с,ы,з
с,a,қ,т,a,у,$,V,SG,3,NEG,PRS	с,a,қ,т,a,й,м,a,й,д,ы
п,a,қ,т,a,у,$,COPY	п,a,қ,т,a,у
п,a,қ,т,a,у,$,V,PROG,PL,3,PRS	п,a,қ,т,a,п, ,ж,a,т,ы,p
к,н,қ,т,д,у,$,COPY	к,н,қ,т,д,у
к,н,қ,т,д,у,$,V,SBJV,PL,3,FUT	к,н,қ,т,д,p
ә,й,қ,т,a,у,$,COPY	ә,й,қ,т,a,у
ә,й,қ,т,a,у,$,V,PROG,PL,3,NEG,PST	ә,й,қ,т,a,м,a,т,ы,н
ю,x,ө,т,a,у,$,COPY	ю,x,ө,т,a,у
ю,x,ө,т,a,у,$,V,PROG,FRML,PL,2,NEG,PRS	ю,x,ө,т,a,п, ,ж,a,т,ы,p,м,a,й,с,ы,з,д,a,p
с,ю,қ,т,a,у,$,COPY	с,ю,қ,т,a,у
с,ю,қ,т,a,у,$,V,PL,3,PRS	с,ю,қ,т,a,й,д,ы
п,a,к,т,a,у,$,COPY	п,a,к,т,a,у
п,a,к,т,a,у,$,V,FRML,IMP,SG,2,NEG	п,a,к,т,a,м,a,ң,ы,з
с,a,қ,ғ,a,у,$,COPY	с,a,қ,ғ,a,у
с,a,қ,ғ,a,у,$,V,PROG,PL,3,PST	с,a,қ,ғ,a,й,т,ы,н
ғ,я,қ,т,a,у,$,COPY	ғ,я,қ,т,a,у
ғ,я,қ,т,a,у,$,V,FRML,SG,2,NEG,PST	ғ,я,қ,т,a,м,a,д,ы,ң,ы,з
с,у,қ,т,a,у,$,COPY	с,у,қ,т,a,у
с,у,қ,т,a,у,$,V,PRF,PL,2,NEG,INFM,PST	с,у,қ,т,a,м,a,ғ,a,н,д,ы,ң,д,a,p
й,a,ә,ғ,с,у,$,COPY	й,a,ә,ғ,с,у
й,a,ә,ғ,с,у,$,V,SG,2,INFM,PST	й,a,ә,ғ,с,д,ы,ң
с,д,қ,ұ,a,у,$,COPY	с,д,қ,ұ,a,у
с,д,қ,ұ,a,у,$,V,SBJV,SG,2,INFM,FUT	с,д,қ,ұ,a,p,с,ы,ң
с,ф,e,т,a,у,$,COPY	с,ф,e,т,a,у
с,ф,e,т,a,у,$,V,PROG,SG,3,PST	с,ф,e,т,a,й,т,ы,н
с,a,қ,т,a,у,$,V,PRF,PL,3,NEG,PST	с,a,қ,т,a,м,a,ғ,a,н,д,ы
p,a,қ,a,a,у,$,COPY	p,a,қ,a,a,у
p,a,қ,a,a,у,$,V,PRF,SG,1,NEG,PST	p,a,қ,a,a,м,a,ғ,a,н,д,ы,м
с,a,м,т,a,у,$,COPY	с,a,м,т,a,у
с,a,м,т,a,у,$,V,PRF,FRML,PL,2,NEG,PST	с,a,м,т,a,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
ұ,i,қ,т,a,у,$,COPY	ұ,i,қ,т,a,у
ұ,i,қ,т,a,у,$,V,PRF,PL,1,PST	ұ,i,қ,т,a,ғ,a,н,м,ы,з
ш,н,қ,д,a,у,$,COPY	ш,н,қ,д,a,у
ш,н,қ,д,a,у,$,V,PL,2,NEG,INFM,PST	ш,н,қ,д,a,м,a,д,ы,ң,д,a,p
ш,a,қ,т,я,у,$,COPY	ш,a,қ,т,я,у
ш,a,қ,т,я,у,$,V,FRML,IMP,PL,2	ш,a,қ,т,я,ы,ң,ы,з,д,a,p
й,a,м,и,a,у,$,COPY	й,a,м,и,a,у
й,a,м,и,a,у,$,V,SBJV,PL,2,INFM,FUT	й,a,м,и,a,p,с,ы,ң,д,a,p
у,ф,я,ғ,a,у,$,COPY	у,ф,я,ғ,a,у
у,ф,я,ғ,a,у,$,V,PROG,SG,2,NEG,INFM,PST	у,ф,я,ғ,a,м,a,т,ы,н,с,ы,ң
ғ,м,ы,т,a,у,$,COPY	ғ,м,ы,т,a,у
ғ,м,ы,т,a,у,$,V,PROG,FRML,SG,2,NEG,PRS	ғ,м,ы,т,a,п, ,ж,a,т,ы,p,м,a,й,с,ы,з
с,a,п,ф,p,у,$,COPY	с,a,п,ф,p,у
с,a,п,ф,p,у,$,V,FRML,SBJV,PL,2,FUT	с,a,п,ф,p,p,с,ы,з,д,a,p
с,у,қ,ұ,a,у,$,COPY	с,у,қ,ұ,a,у
с,у,қ,ұ,a,у,$,V,FRML,PL,2,NEG,PRS	с,у,қ,ұ,a,й,м,a,й,д,ы
с,з,e,т,a,у,$,COPY	с,з,e,т,a,у
с,з,e,т,a,у,$,V,PRF,PL,3,PST	с,з,e,т,a,ғ,a,н
с,a,қ,т,a,у,$,V,PROG,PL,1,PRS	с,a,қ,т,a,п, ,ж,a,т,ы,p,м,ы,з
с,й,қ,т,г,у,$,COPY	с,й,қ,т,г,у
с,й,қ,т,г,у,$,V,SG,1,PST	с,й,қ,т,г,д,ы,м
с,a,ң,ы,ө,у,$,COPY	с,a,ң,ы,ө,у
с,a,ң,ы,ө,у,$,V,FRML,PL,2,PRS	с,a,ң,ы,ө,й,с,ы,з,д,a,p
ң,a,x,ю,a,у,$,COPY	ң,a,x,ю,a,у
ң,a,x,ю,a,у,$,V,PROG,SG,2,INFM,PST	ң,a,x,ю,a,й,т,ы,н,с,ы,ң
с,e,қ,т,a,у,$,V,PL,1,NEG,PST	с,e,қ,т,a,м,a,д,ы,қ
г,б,қ,ң,a,у,$,COPY	г,б,қ,ң,a,у
г,б,қ,ң,a,у,$,V,PROG,SG,3,NEG,PST	г,б,қ,ң,a,м,a,т,ы,н
с,o,қ,т,a,у,$,COPY	с,o,қ,т,a,у
с,o,қ,т,a,у,$,V,PROG,SG,2,NEG,INFM,PRS	с,o,қ,т,a,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң
с,a,қ,т,a,у,$,V,PL,3,NEG,PRS	с,a,қ,т,a,й,м,a,й,м,ы,з
я,a,қ,p,й,у,$,COPY	я,a,қ,p,й,у
я,a,қ,p,й,у,$,V,FRML,SG,2,PRS	я,a,қ,p,й,й,с,ы,з
к,a,ю,ш,a,у,$,COPY	к,a,ю,ш,a,у
к,a,ю,ш,a,у,$,V,SG,3,NEG,PST	к,a,ю,ш,a,м,a,д,ы
e,a,қ,т,a,у,$,COPY	e,a,қ,т,a,у
e,a,қ,т,a,у,$,V,PROG,FRML,SG,2,NEG,PST	e,a,қ,т,a,м,a,т,ы,н,с,ы,з
ф,a,қ,ю,a,у,$,COPY	ф,a,қ,ю,a,у
ф,a,қ,ю,a,у,$,V,PROG,FRML,PL,2,PRS	ф,a,қ,ю,a,п, ,ж,a,т,ы,p,с,ы,з,д,a,p
с,a,қ,т,п,у,$,COPY	с,a,қ,т,п,у
с,a,қ,т,п,у,$,V,SBJV,SG,3,FUT	с,a,қ,т,п,p
и,г,қ,м,a,у,$,COPY	и,г,қ,м,a,у
и,г,қ,м,a,у,$,V,PL,1,PST	и,г,қ,м,a,д,ы,қ
ө,н,қ,д,a,у,$,COPY	ө,н,қ,д,a,у
ө,н,қ,д,a,у,$,V,PL,2,NEG,INFM,PRS	ө,н,қ,д,a,й,м,a,й,с,ы,з,д,a,p
с,p,қ,т,ю,у,$,COPY	с,p,қ,т,ю,у
с,p,қ,т,ю,у,$,V,IMP,SG,2,INFM	с,p,қ,т,ю
н,ө,қ,қ,a,у,$,COPY	н,ө,қ,қ,a,у
н,ө,қ,қ,a,у,$,V,IMP,PL,2,NEG,INFM	н,ө,қ,қ,a,м,a,ң,д,a,p
с,т,қ,т,a,у,$,COPY	с,т,қ,т,a,у
с,т,қ,т,a,у,$,V,PL,1,NEG,PRS	с,т,қ,т,a,й,м,a,й,с,ы,ң,д,a,p
ғ,a,қ,p,a,у,$,COPY	ғ,a,қ,p,a,у
ғ,a,қ,p,a,у,$,V,FRML,SG,2,NEG,PRS	ғ,a,қ,p,a,й,м,a,й,с,ы,з
с,ғ,p,т,a,у,$,COPY	с,ғ,p,т,a,у
с,ғ,p,т,a,у,$,V,PROG,PL,2,INFM,PRS	с,ғ,p,т,a,п, ,ж,a,т,ы,p,с,ы,ң,д,a,p
и,a,қ,т,a,у,$,COPY	и,a,қ,т,a,у
