অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,3,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,ল,ে,ন
হ,া,ঁ,ট,া,$,V,PRF,2,PST,LGSPEC1	হ,ে,ঁ,ট,ে,ছ,ি,ল,ি
হ,া,ঁ,ট,া,$,V,3,POL,FUT	হ,া,ঁ,ট,ব,ে,ন
হ,া,ঁ,ট,া,$,V,PRF,3,POL,PST	হ,ে,ঁ,ট,ে,ছ,ি,ল,ে,ন
হ,া,ঁ,ট,া,$,V,2,PRS,LGSPEC1	হ,া,ঁ,ট,ি,স
হ,া,ঁ,ট,া,$,V,PRF,3,INFM,PST	হ,ে,ঁ,ট,ে,ছ,ি,ল,ে
হ,া,ঁ,ট,া,$,V,HAB,1,PST	হ,া,ঁ,ট,ত,া,ম
হ,া,ঁ,ট,া,$,V,PRF,1,PRS	হ,ে,ঁ,ট,ে,ছ,ি
হ,া,ঁ,ট,া,$,V,PRF,1,PST	হ,ে,ঁ,ট,ে,ছ,ি,ল,া,ম
হ,া,ঁ,ট,া,$,V,PROG,1,PRS	হ,া,ঁ,ট,ছ,ি
হ,া,ঁ,ট,া,$,V,PROG,3,INFM,PST	হ,া,ঁ,ট,ছ,ি,ল,ে
হ,া,ঁ,ট,া,$,V,HAB,3,POL,PST	হ,া,ঁ,ট,ত,ে,ন
হ,া,ঁ,ট,া,$,V,3,INFM,PST	হ,া,ঁ,ট,ল,ে
হ,া,ঁ,ট,া,$,V,2,FUT,LGSPEC1	হ,া,ঁ,ট,ব,ি
হ,া,ঁ,ট,া,$,V,HAB,2,PST,LGSPEC1	হ,া,ঁ,ট,ত,ি,স
হ,া,ঁ,ট,া,$,V,PROG,2,POL,PST	হ,া,ঁ,ট,ছ,ি,ল,ো
হ,া,ঁ,ট,া,$,V,2,POL,PST	হ,া,ঁ,ট,ল,ো
হ,া,ঁ,ট,া,$,V,3,POL,PST	হ,া,ঁ,ট,ল,ে,ন
হ,া,ঁ,ট,া,$,V,PRF,3,INFM,PRS	হ,ে,ঁ,ট,ে,ছ,ো
হ,া,ঁ,ট,া,$,V,PRF,2,PRS,LGSPEC1	হ,ে,ঁ,ট,ে,ছ,ি,স
হ,া,ঁ,ট,া,$,V,PROG,2,POL,PRS	হ,া,ঁ,ট,ছ,ে
হ,া,ঁ,ট,া,$,V,PROG,3,INFM,PRS	হ,া,ঁ,ট,ছ,ো
হ,া,ঁ,ট,া,$,V,1,FUT	হ,া,ঁ,ট,ব,ো
হ,া,ঁ,ট,া,$,V,2,POL,PRS	হ,া,ঁ,ট,ে
হ,া,ঁ,ট,া,$,V,PRF,3,POL,PRS	হ,ে,ঁ,ট,ে,ছ,ে,ন
হ,া,ঁ,ট,া,$,V,NFIN	হ,া,ঁ,ট,ত,ে
হ,া,ঁ,ট,া,$,V,HAB,2,POL,PST	হ,া,ঁ,ট,ত,ো
হ,া,ঁ,ট,া,$,V,PROG,3,POL,PST	হ,া,ঁ,ট,ছ,ি,ল,ে,ন
হ,া,ঁ,ট,া,$,V,3,INFM,FUT	হ,া,ঁ,ট,ব,ে
হ,া,ঁ,ট,া,$,V,1,PST	হ,া,ঁ,ট,ল,া,ম
হ,া,ঁ,ট,া,$,V,PROG,1,PST	হ,া,ঁ,ট,ছ,ি,ল,া,ম
হ,া,ঁ,ট,া,$,V,2,PST,LGSPEC1	হ,া,ঁ,ট,ল,ি
হ,া,ঁ,ট,া,$,V,2,POL,FUT	হ,া,ঁ,ট,ব,ে
হ,া,ঁ,ট,া,$,V,1,PRS	হ,া,ঁ,ট,ি
হ,া,ঁ,ট,া,$,V,3,INFM,PRS	হ,া,ঁ,ট,ো
হ,া,ঁ,ট,া,$,V,PROG,3,POL,PRS	হ,া,ঁ,ট,ছ,ে,ন
হ,া,ঁ,ট,া,$,V,PROG,2,PST,LGSPEC1	হ,া,ঁ,ট,ছ,ি,ল,ি
হ,া,ঁ,ট,া,$,V,PROG,2,PRS,LGSPEC1	হ,া,ঁ,ট,ছ,ি,স
হ,া,ঁ,ট,া,$,V,PRF,2,POL,PST	হ,ে,ঁ,ট,ে,ছ,ি,ল,ো
হ,া,ঁ,ট,া,$,V,HAB,3,INFM,PST	হ,া,ঁ,ট,ত,ে
হ,া,ঁ,ট,া,$,V,PRF,2,POL,PRS	হ,ে,ঁ,ট,ে,ছ,ে
প,র,া,$,V,PROG,1,PRS	প,র,ছ,ি
প,র,া,$,V,PRF,3,POL,PST	প,র,ে,ছ,ি,ল,ে,ন
প,র,া,$,V,PROG,3,POL,PST	প,র,ছ,ি,ল,ে,ন
প,র,া,$,V,NFIN	প,র,ত,ে
প,র,া,$,V,HAB,1,PST	প,র,ত,া,ম
প,র,া,$,V,1,PST	প,র,ল,া,ম
প,র,া,$,V,PRF,1,PST	প,র,ে,ছ,ি,ল,া,ম
প,র,া,$,V,PROG,2,PRS,LGSPEC1	প,র,ছ,ি,স
প,র,া,$,V,3,POL,PST	প,র,ল,ে,ন
প,র,া,$,V,PRF,3,INFM,PST	প,র,ে,ছ,ি,ল,ে
প,র,া,$,V,PRF,3,POL,PRS	প,র,ে,ছ,ে,ন
প,র,া,$,V,HAB,3,INFM,PST	প,র,ত,ে
প,র,া,$,V,3,POL,FUT	প,র,ব,ে,ন
প,র,া,$,V,HAB,2,POL,PST	প,র,ত,ো
প,র,া,$,V,PROG,2,PST,LGSPEC1	প,র,ছ,ি,ল,ি
প,র,া,$,V,PRF,2,POL,PRS	প,র,ে,ছ,ে
প,র,া,$,V,3,INFM,PRS	প,র,ো
প,র,া,$,V,1,FUT	প,র,ব,ো
প,র,া,$,V,HAB,2,PST,LGSPEC1	প,র,ত,ি,স
প,র,া,$,V,PRF,1,PRS	প,র,ে,ছ,ি
প,র,া,$,V,2,PRS,LGSPEC1	প,র,ি,স
প,র,া,$,V,3,INFM,FUT	প,র,ব,ে
প,র,া,$,V,3,POL,PRS	প,র,ে,ন
প,র,া,$,V,PRF,3,INFM,PRS	প,র,ে,ছ,ো
প,র,া,$,V,PROG,3,INFM,PST	প,র,ছ,ি,ল,ে
প,র,া,$,V,2,PST,LGSPEC1	প,র,ল,ি
প,র,া,$,V,PRF,2,POL,PST	প,র,ে,ছ,ি,ল,ো
প,র,া,$,V,2,POL,PRS	প,র,ে
প,র,া,$,V,PROG,2,POL,PRS	প,র,ছ,ে
প,র,া,$,V,PROG,1,PST	প,র,ছ,ি,ল,া,ম
প,র,া,$,V,PRF,2,PST,LGSPEC1	প,র,ে,ছ,ি,ল,ি
প,র,া,$,V,1,PRS	প,র,ি
প,র,া,$,V,PROG,2,POL,PST	প,র,ছ,ি,ল,ো
প,র,া,$,V,3,INFM,PST	প,র,ল,ে
প,র,া,$,V,2,FUT,LGSPEC1	প,র,ব,ি
প,র,া,$,V,2,POL,PST	প,র,ল,ো
প,র,া,$,V,HAB,3,POL,PST	প,র,ত,ে,ন
প,র,া,$,V,PROG,3,INFM,PRS	প,র,ছ,ো
প,র,া,$,V,PRF,2,PRS,LGSPEC1	প,র,ে,ছ,ি,স
প,র,া,$,V,2,POL,FUT	প,র,ব,ে
প,র,া,$,V,PROG,3,POL,PRS	প,র,ছ,ে,ন
