s,e,k,a,$,V,SG,1,HOD	n,d,a,s,e,k,a
t,a,n,g,o,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,a,n,g,o
t,a,n,g,o,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,a,n,g,o
t,a,n,g,o,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,a,n,g,o
t,a,n,g,o,$,V,PL,3,FUT	v,a,c,h,a,t,a,n,g,o
t,a,n,g,o,$,V,SG,2,PRS	u,n,o,t,a,n,g,o
t,a,n,g,o,$,V,SG,1,PST	n,d,a,k,a,t,a,n,g,o
t,a,n,g,o,$,V,SG,1,FUT	n,d,i,c,h,a,t,a,n,g,o
t,a,n,g,o,$,V,PL,1,PRS	t,i,n,o,t,a,n,g,o
t,a,n,g,o,$,V,SG,3,PRS	a,n,o,t,a,n,g,o
t,a,n,g,o,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,a,n,g,o
t,a,n,g,o,$,V,PL,3,PST	v,a,k,a,t,a,n,g,o
t,a,n,g,o,$,V,PL,1,PST	t,a,k,a,t,a,n,g,o
t,a,n,g,o,$,V,SG,3,PST	a,k,a,t,a,n,g,o
t,a,n,g,o,$,V,SG,1,PRS	n,d,i,n,o,t,a,n,g,o
t,a,n,g,o,$,V,PL,2,FUT	m,u,c,h,a,t,a,n,g,o
t,a,n,g,o,$,V,PL,2,PST	m,a,k,a,t,a,n,g,o
t,a,n,g,o,$,V,PL,3,HOD	v,a,t,a,n,g,o
t,a,n,g,o,$,V,SG,2,PST	w,a,k,a,t,a,n,g,o
t,a,n,g,o,$,V,SG,2,HOD	w,a,t,a,n,g,o
t,a,n,g,o,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,a,n,g,o
t,a,n,g,o,$,V,SG,3,HOD	a,t,a,n,g,o
t,a,n,g,o,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,a,n,g,o
t,a,n,g,o,$,V,PL,3,PRS	v,a,n,o,t,a,n,g,o
k,u,i,t,i,k,a,$,V,SG,3,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PROG,PL,2,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,3,HOD	z,v,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,3,PST	z,v,a,k,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PROG,SG,3,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,3,FUT	z,v,i,c,h,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,2,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,2,HOD	z,v,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,1,FUT	z,v,i,c,h,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PROG,SG,2,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PROG,SG,1,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,2,PST	z,v,a,k,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,2,FUT	z,v,i,c,h,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PROG,PL,3,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,1,HOD	z,v,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,3,HOD	z,v,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,1,PST	z,v,a,k,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,1,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,3,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,3,FUT	z,v,i,c,h,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,3,PST	z,v,a,k,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PROG,PL,1,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,1,FUT	z,v,i,c,h,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,2,HOD	z,v,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,1,HOD	z,v,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,1,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,SG,2,PST	z,v,a,k,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,2,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,1,PST	z,v,a,k,a,i,t,i,k,a
k,u,i,t,i,k,a,$,V,PL,2,FUT	z,v,i,c,h,a,i,t,i,k,a
t,a,n,g,a,$,V,SG,1,PRS	n,d,i,n,o,t,a,n,g,a
t,a,n,g,a,$,V,PL,1,HOD	t,a,t,a,n,g,a
t,a,n,g,a,$,V,SG,2,HOD	w,a,t,a,n,g,a
t,a,n,g,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,a,n,g,a
t,a,n,g,a,$,V,PL,2,PST	m,a,k,a,t,a,n,g,a
t,a,n,g,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,a,n,g,a
t,a,n,g,a,$,V,PL,2,FUT	m,u,c,h,a,t,a,n,g,a
t,a,n,g,a,$,V,SG,2,FUT	u,c,h,a,t,a,n,g,a
t,a,n,g,a,$,V,PL,2,PRS	m,u,n,o,t,a,n,g,a
t,a,n,g,a,$,V,PL,3,PRS	v,a,n,o,t,a,n,g,a
t,a,n,g,a,$,V,PL,3,PST	v,a,k,a,t,a,n,g,a
t,a,n,g,a,$,V,SG,1,HOD	n,d,a,t,a,n,g,a
t,a,n,g,a,$,V,SG,3,PST	a,k,a,t,a,n,g,a
t,a,n,g,a,$,V,PL,3,FUT	v,a,c,h,a,t,a,n,g,a
t,a,n,g,a,$,V,SG,2,PST	w,a,k,a,t,a,n,g,a
t,a,n,g,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,a,n,g,a
t,a,n,g,a,$,V,SG,1,PST	n,d,a,k,a,t,a,n,g,a
t,a,n,g,a,$,V,PL,1,PST	t,a,k,a,t,a,n,g,a
t,a,n,g,a,$,V,PL,2,HOD	m,a,t,a,n,g,a
t,a,n,g,a,$,V,SG,3,PRS	a,n,o,t,a,n,g,a
t,a,n,g,a,$,V,SG,3,HOD	a,t,a,n,g,a
t,a,n,g,a,$,V,PL,1,PRS	t,i,n,o,t,a,n,g,a
t,a,n,g,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,a,n,g,a
t,a,n,g,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,a,n,g,a
t,a,n,g,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,a,n,g,a
t,a,n,g,a,$,V,PL,1,FUT	t,i,c,h,a,t,a,n,g,a
t,a,n,g,a,$,V,SG,3,FUT	a,c,h,a,t,a,n,g,a
t,a,n,g,a,$,V,PL,3,HOD	v,a,t,a,n,g,a
t,a,n,g,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,a,n,g,a
t,a,n,g,a,$,V,SG,2,PRS	u,n,o,t,a,n,g,a
t,e,n,g,e,s,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,1,PST	t,a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,2,PST	m,a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,1,PRS	t,i,n,o,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,3,PST	a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,3,HOD	a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,3,PRS	v,a,n,o,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,2,FUT	m,u,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,2,PRS	m,u,n,o,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,2,FUT	u,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,2,PST	w,a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,1,PST	n,d,a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,3,FUT	a,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,3,FUT	v,a,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,1,HOD	t,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,2,HOD	w,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,2,HOD	m,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,3,HOD	v,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,3,PRS	a,n,o,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,1,PRS	n,d,i,n,o,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,3,PST	v,a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,PL,1,FUT	t,i,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,1,HOD	n,d,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,$,V,SG,2,PRS	u,n,o,t,e,n,g,e,s,a
c,h,e,m,a,$,V,SG,2,FUT	u,c,h,a,c,h,e,m,a
c,h,e,m,a,$,V,PL,3,HOD	v,a,c,h,e,m,a
c,h,e,m,a,$,V,SG,2,PST	w,a,k,a,c,h,e,m,a
c,h,e,m,a,$,V,SG,2,HOD	w,a,c,h,e,m,a
c,h,e,m,a,$,V,PL,3,FUT	v,a,c,h,a,c,h,e,m,a
c,h,e,m,a,$,V,PL,1,PRS	t,i,n,o,c,h,e,m,a
c,h,e,m,a,$,V,PL,1,PST	t,a,k,a,c,h,e,m,a
c,h,e,m,a,$,V,SG,3,FUT	a,c,h,a,c,h,e,m,a
c,h,e,m,a,$,V,PL,2,FUT	m,u,c,h,a,c,h,e,m,a
c,h,e,m,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,c,h,e,m,a
c,h,e,m,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,c,h,e,m,a
c,h,e,m,a,$,V,SG,1,HOD	n,d,a,c,h,e,m,a
c,h,e,m,a,$,V,PL,1,HOD	t,a,c,h,e,m,a
c,h,e,m,a,$,V,SG,2,PRS	u,n,o,c,h,e,m,a
c,h,e,m,a,$,V,SG,3,PST	a,k,a,c,h,e,m,a
c,h,e,m,a,$,V,SG,3,PRS	a,n,o,c,h,e,m,a
c,h,e,m,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,c,h,e,m,a
c,h,e,m,a,$,V,SG,1,FUT	n,d,i,c,h,a,c,h,e,m,a
c,h,e,m,a,$,V,PL,3,PST	v,a,k,a,c,h,e,m,a
c,h,e,m,a,$,V,PL,2,HOD	m,a,c,h,e,m,a
c,h,e,m,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,c,h,e,m,a
c,h,e,m,a,$,V,PL,2,PST	m,a,k,a,c,h,e,m,a
c,h,e,m,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,c,h,e,m,a
c,h,e,m,a,$,V,PL,3,PRS	v,a,n,o,c,h,e,m,a
c,h,e,m,a,$,V,SG,1,PST	n,d,a,k,a,c,h,e,m,a
c,h,e,m,a,$,V,SG,1,PRS	n,d,i,n,o,c,h,e,m,a
c,h,e,m,a,$,V,PL,1,FUT	t,i,c,h,a,c,h,e,m,a
c,h,e,m,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,c,h,e,m,a
c,h,e,m,a,$,V,SG,3,HOD	a,c,h,e,m,a
c,h,e,m,a,$,V,PL,2,PRS	m,u,n,o,c,h,e,m,a
i,n,w,a,$,V,PL,2,PST	m,a,k,a,n,w,a
i,n,w,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,n,w,a
i,n,w,a,$,V,PL,2,FUT	m,u,c,h,a,n,w,a
i,n,w,a,$,V,SG,3,FUT	a,c,h,a,n,w,a
i,n,w,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,n,w,a
i,n,w,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,n,w,a
i,n,w,a,$,V,PL,3,FUT	v,a,c,h,a,n,w,a
i,n,w,a,$,V,PL,3,PST	v,a,k,a,n,w,a
i,n,w,a,$,V,PL,1,HOD	t,a,n,w,a
i,n,w,a,$,V,PL,1,FUT	t,i,c,h,a,n,w,a
i,n,w,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,n,w,a
i,n,w,a,$,V,SG,1,HOD	n,d,a,n,w,a
i,n,w,a,$,V,SG,2,HOD	w,a,n,w,a
i,n,w,a,$,V,SG,2,PRS	u,n,o,n,w,a
i,n,w,a,$,V,PL,3,HOD	v,a,n,w,a
i,n,w,a,$,V,SG,3,HOD	a,n,w,a
i,n,w,a,$,V,SG,3,PRS	a,n,o,n,w,a
i,n,w,a,$,V,PL,1,PRS	t,i,n,o,n,w,a
i,n,w,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,n,w,a
i,n,w,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,n,w,a
i,n,w,a,$,V,PL,2,HOD	m,a,n,w,a
i,n,w,a,$,V,PL,3,PRS	v,a,n,o,n,w,a
i,n,w,a,$,V,PL,2,PRS	m,u,n,o,n,w,a
i,n,w,a,$,V,PL,1,PST	t,a,k,a,n,w,a
i,n,w,a,$,V,SG,2,FUT	u,c,h,a,n,w,a
i,n,w,a,$,V,SG,1,PST	n,d,a,k,a,n,w,a
i,n,w,a,$,V,SG,1,FUT	n,d,i,c,h,a,n,w,a
i,n,w,a,$,V,SG,3,PST	a,k,a,n,w,a
i,n,w,a,$,V,SG,1,PRS	n,d,i,n,o,n,w,a
i,n,w,a,$,V,SG,2,PST	w,a,k,a,n,w,a
b,a,t,s,i,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,3,PST	v,a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,2,HOD	w,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,3,PRS	v,a,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,1,PRS	n,d,i,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,2,FUT	u,c,h,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,1,PRS	t,i,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,2,HOD	m,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,3,PST	a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,1,HOD	t,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,3,HOD	a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,3,PRS	a,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,1,PST	t,a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,2,PRS	u,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,1,PST	n,d,a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,3,HOD	v,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,2,PST	m,a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,1,HOD	n,d,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,2,PRS	m,u,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,2,PST	w,a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,PL,3,FUT	v,a,c,h,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,$,V,SG,3,FUT	a,c,h,a,b,a,t,s,i,r,a
g,o,n,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,g,o,n,a
g,o,n,a,$,V,SG,3,PRS	a,n,o,g,o,n,a
g,o,n,a,$,V,SG,3,FUT	a,c,h,a,g,o,n,a
g,o,n,a,$,V,SG,3,HOD	a,g,o,n,a
g,o,n,a,$,V,SG,2,FUT	u,c,h,a,g,o,n,a
g,o,n,a,$,V,PL,2,HOD	m,a,g,o,n,a
g,o,n,a,$,V,PL,1,PRS	t,i,n,o,g,o,n,a
g,o,n,a,$,V,PL,3,PRS	v,a,n,o,g,o,n,a
g,o,n,a,$,V,PL,3,FUT	v,a,c,h,a,g,o,n,a
g,o,n,a,$,V,PL,3,PST	v,a,k,a,g,o,n,a
g,o,n,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,g,o,n,a
g,o,n,a,$,V,PL,2,PST	m,a,k,a,g,o,n,a
g,o,n,a,$,V,SG,2,HOD	w,a,g,o,n,a
g,o,n,a,$,V,PL,1,FUT	t,i,c,h,a,g,o,n,a
g,o,n,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,g,o,n,a
g,o,n,a,$,V,PL,2,FUT	m,u,c,h,a,g,o,n,a
g,o,n,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,g,o,n,a
g,o,n,a,$,V,PL,2,PRS	m,u,n,o,g,o,n,a
g,o,n,a,$,V,PL,1,PST	t,a,k,a,g,o,n,a
g,o,n,a,$,V,SG,1,HOD	n,d,a,g,o,n,a
g,o,n,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,g,o,n,a
g,o,n,a,$,V,SG,3,PST	a,k,a,g,o,n,a
g,o,n,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,g,o,n,a
g,o,n,a,$,V,SG,1,PRS	n,d,i,n,o,g,o,n,a
g,o,n,a,$,V,SG,1,PST	n,d,a,k,a,g,o,n,a
g,o,n,a,$,V,SG,2,PRS	u,n,o,g,o,n,a
g,o,n,a,$,V,SG,2,PST	w,a,k,a,g,o,n,a
g,o,n,a,$,V,PL,1,HOD	t,a,g,o,n,a
g,o,n,a,$,V,SG,1,FUT	n,d,i,c,h,a,g,o,n,a
g,o,n,a,$,V,PL,3,HOD	v,a,g,o,n,a
k,a,n,g,a,n,w,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,2,PST	w,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,2,PRS	m,u,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,3,HOD	a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,2,PST	m,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,1,PST	n,d,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,1,PST	t,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,1,FUT	t,i,c,h,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,3,PST	a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,2,FUT	u,c,h,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,1,PRS	t,i,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,1,FUT	n,d,i,c,h,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,3,PRS	v,a,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,2,HOD	w,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,3,FUT	v,a,c,h,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,3,HOD	v,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,1,HOD	n,d,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,3,FUT	a,c,h,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,2,HOD	m,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,1,PRS	n,d,i,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,1,HOD	t,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,2,PRS	u,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,SG,3,PRS	a,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,3,PST	v,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,$,V,PL,2,FUT	m,u,c,h,a,k,a,n,g,a,n,w,a
r,a,t,i,d,z,a,$,V,PL,1,FUT	t,i,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,1,PRS	n,d,i,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,1,FUT	n,d,i,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,1,PST	n,d,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,1,PRS	t,i,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,2,FUT	u,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,2,PRS	m,u,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,3,PST	v,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,2,PST	w,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,1,PST	t,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,2,HOD	w,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,1,HOD	n,d,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,3,FUT	v,a,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,2,PRS	u,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,2,PST	m,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,2,HOD	m,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,3,PRS	a,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,3,FUT	a,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,3,HOD	v,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,2,FUT	m,u,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,3,PRS	v,a,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,3,HOD	a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,SG,3,PST	a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,$,V,PL,1,HOD	t,a,r,a,t,i,d,z,a
t,u,m,i,r,a,$,V,SG,2,PRS	u,n,o,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,3,FUT	a,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,2,HOD	w,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,3,PRS	v,a,n,o,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,1,HOD	t,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,1,HOD	n,d,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,2,PST	m,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,3,HOD	a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,2,PRS	m,u,n,o,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,1,PST	n,d,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,$,V,SG,3,PRS	a,n,o,t,u,m,i,r,a
